p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
8.99864005751206e-47	1.72515874437228	0.92	0.667	1.9064518825845e-42	ZC3HAV1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.32482727841249e-46	0.849896286753109	0.78	0.501	2.8067790720447e-42	HELZ2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.68061685718161e-45	1.00791318290173	0.92	0.885	9.91635487362496e-41	SPEN	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.33696127373929e-44	0.714680859344137	0.82	0.551	7.06968615454405e-40	C19orf66	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.092099752492e-44	0.956231750235414	0.88	0.593	1.07881225356295e-39	ZFP36	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.19572550176349e-43	1.57365480622974	1	0.869	2.53326404803612e-39	PPP1R15A	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.9856396570636e-42	1.7335331787253	0.88	0.237	4.20677617745494e-38	IFIT1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.44007559631219e-42	1.95666630532241	0.84	0.037	5.16954415834701e-38	CXCL10	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.60151282764056e-41	-0.757099381940114	0.98	1	7.63016507663928e-37	CALM1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.00499122097005e-41	-0.971138192297011	1	1	1.48407744007472e-36	B2M	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.1159880648949e-40	0.95148555739044	0.96	0.797	4.48293231428634e-36	NFAT5	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.10295404658368e-40	0.861210198156306	0.96	0.919	1.08111184430922e-35	SP100	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.82872798789699e-40	-1.02370102923461	0.82	0.998	1.23487431151586e-35	DSG2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.28681498679559e-40	0.870956107635377	0.8	0.638	1.33192462310251e-35	DDX60	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.84378739561194e-39	0.665834016698956	0.82	0.723	8.14344797634345e-35	PNPT1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.20805381158187e-39	-0.7302700068125	0.98	0.993	1.10337828052173e-34	CALM2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.53656848656973e-38	0.940717937125911	0.92	0.906	3.25537399564663e-34	STAT1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.70934253168064e-38	0.968504620581452	0.94	0.51	3.6214130876186e-34	ZC3H12A	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.01013254312863e-38	-0.915572649301535	0.8	1	6.37726680587232e-34	CLDN7	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.63846446799525e-38	-0.966736411586106	1	1	9.82705082189473e-34	FTH1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.39008672448421e-38	-1.06907288102811	0.94	0.996	1.14194377344922e-33	ANXA2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.91929246740031e-37	-0.82494163226161	0.8	0.993	8.3034130214343e-33	COX6A1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.26908443008233e-37	-0.660746404080757	0.94	0.996	9.04448227357242e-33	SPINT2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.33020168276333e-37	1.30069869489073	0.94	0.708	1.12925652851024e-32	MX1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.20665574919345e-36	0.914758914413695	0.78	0.2	2.55642087024124e-32	OAS2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
