p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
9.85419701263051e-102	0.893566814825085	0.94	0.858	2.0877101790959e-97	LAP3	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.0052480710054e-98	0.754573103364031	0.81	0.248	2.12971856323205e-94	CMPK2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.11092325065603e-96	0.755138569080043	0.913	0.501	2.35360199883986e-92	HELZ2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.55312725712867e-94	0.700373251452193	0.883	0.551	1.60020554069528e-89	C19orf66	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.766626041719e-93	0.781154619880462	0.928	0.882	5.86137393198587e-89	NT5C3A	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.93692434339956e-93	1.03324611622936	0.994	0.985	6.2221679139263e-89	RNF213	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.34541372390639e-90	0.729548693268237	0.97	0.919	7.08759351546807e-86	SP100	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.3799088041848e-89	0.789850682056878	0.898	0.634	5.04207479254591e-85	TRIM22	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.91980220825157e-85	0.787135080626425	0.928	0.802	1.04230929584018e-80	ZNFX1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.43262908852502e-83	1.26435242242537	0.973	0.937	7.27236798694911e-79	TNFSF10	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.003489767516e-82	0.721264540362659	0.786	0.495	2.12599342145939e-78	UBE2L6	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.3826011851257e-81	0.768576956505431	0.657	0.089	1.77593788708073e-76	TNFSF13B	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.8702313237833e-80	0.940395766039869	0.87	0.627	6.0808720825673e-76	GBP1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.64797719815522e-76	0.733045082935107	0.717	0.285	2.04402044920117e-71	SAMHD1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.54716532990453e-75	0.610550910053957	0.898	0.725	5.39642446793574e-71	IFI35	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.51201290581533e-72	0.527031091938629	0.907	0.813	3.20335054226036e-68	DTX3L	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.68908836401233e-72	0.835503409565205	0.711	0.22	7.81570260799653e-68	GBP4	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.80791875652338e-72	0.899870696082138	0.78	0.292	8.06745667757044e-68	BST2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.19381984093848e-69	1.06774757455848	0.982	0.78	1.31222267150123e-64	IFI6	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.56068191634953e-68	0.513226677371735	0.717	0.196	3.30646070797811e-64	ZBP1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.52161530068061e-68	0.445757277794911	0.75	0.357	7.46089417602194e-64	TMEM238	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.2116876384349e-67	0.584533768531623	0.801	0.346	2.56708143078818e-63	IRF7	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.11941483137426e-67	0.529317492427222	0.967	0.926	1.72017922617495e-62	ADAR	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.60438547175387e-65	0.459682024701427	0.786	0.338	3.39905106045776e-61	HSH2D	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.25301875540733e-65	0.550131529751103	0.952	0.9	4.77324553520598e-61	APOL6	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.40578418146235e-65	0.619774077953783	0.94	0.869	7.21549436684613e-61	PLSCR1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.18859474291039e-64	0.98225906607	0.952	0.874	8.87395682232994e-60	IFITM3	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.04409613222404e-64	0.492233639263801	0.81	0.638	1.49236220657299e-59	HERC6	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.62662910049433e-63	0.370999077110001	0.587	0.072	1.19205764123073e-58	LAMP3	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.92784503566489e-62	1.09259112458845	0.795	0.338	1.04401324925596e-57	MT2A	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.58788341896551e-61	0.502359714675536	0.925	0.889	7.60128981142032e-57	TRIM25	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.06863374169787e-61	0.488069851750671	0.855	0.747	1.92128074451611e-56	LGALS9	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.28177016265597e-60	0.409649871245464	0.747	0.388	2.71555826660293e-56	SLC25A28	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.97889473920294e-60	0.551027173107547	0.934	0.898	4.19248639447534e-56	TAP1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.3988814545418e-60	0.600474700729364	0.946	0.937	1.14380702495923e-55	NUB1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.42245588737023e-58	0.528586822847755	0.94	0.869	1.36066150429826e-53	TRIM56	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.85155194675479e-57	0.496524502407382	0.877	0.719	3.9226979543947e-53	PML	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.26074924502249e-56	0.483028544793814	0.889	0.723	9.02682335050465e-52	TRIM38	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.8764555392297e-55	0.455057425287675	0.684	0.303	8.21265870541204e-51	GMPR	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.86376122200512e-54	0.581437274464269	0.617	0.187	1.66601645249401e-49	IFI16	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.4494793802235e-53	0.517682673719259	0.946	0.837	7.30806701494151e-49	XRN1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
