p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
0.00458402636213347	0.591841770607409	1	0.837	1	PSMA4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00461504908717118	0.338874789236468	1	0.242	1	COMMD9	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00473208521353102	0.267130935703324	0.25	0.178	1	LAGE3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00476575561330128	0.318264507289933	0.25	0.052	1	CDC25B	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00477157299082547	-0.288277279054902	0.5	0.985	1	FCGRT	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00484500804655077	0.365430105657927	0.5	0.411	1	TMEM60	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00484899102942921	0.383752989172335	0.5	0.018	1	MX2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00503793653990421	-0.419004686946804	0	0.672	1	AGAP1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00523539637176732	-0.381440400111527	0	0.669	1	PSMC6	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00524407010319486	0.460695518325481	0.75	0.371	1	JPX	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00525570706782766	-0.673964222425181	0.75	0.923	1	CDX1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00543882367011694	-0.362810680431807	0	0.666	1	PSMC4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00556315534772476	0.538977314162383	1	0.61	1	BOLA3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00573036308714275	0.413201832570262	0.75	0.267	1	GTPBP4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00602738046545811	0.399305183646692	1	0.39	1	EBAG9	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00607426009343019	-0.553401307200616	1	0.982	1	CLIC1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00616981535218134	0.262764159494738	0.5	0.018	1	CTXN1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00670441048225027	0.518502423607067	1	0.656	1	SPRED1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00672495814750134	0.2623706714728	0.5	0.025	1	IFI44	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00678489418293509	-0.614622012325749	0.75	0.985	1	LSR	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00704110005552069	-0.342305677793277	0	0.644	1	MFSD10	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00705989496200185	-0.758980321376147	1	0.994	1	ATP1B3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00756036099803058	-0.323763606673097	0	0.638	1	LYPLA2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00756036099803083	-0.647834466420484	0	0.638	1	TNNC1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00763237942898004	0.474349696596488	1	0.632	1	WBP4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0077626278630201	0.36258255956385	0.5	0.104	1	TNFAIP8	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00777061690864802	-0.589267752178993	1	0.96	1	IDI1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00780257918330972	0.442602476916891	1	0.54	1	AZIN1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00803143386674639	0.385035815818833	0.75	0.368	1	ATXN3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0081090650778308	-0.32568331899546	0	0.632	1	SLC39A1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00820428109529477	0.369930801902392	0.5	0.086	1	ZBP1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00841793363841927	0.340584216767985	0.75	0.442	1	SS18L2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00868267660636223	0.271967775545893	1	0.27	1	INO80E	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00868842557569844	-0.383745339707978	0	0.626	1	ABHD11	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00872722040423052	0.315022140976994	0.75	0.301	1	TUBAL3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00873868232138237	0.3217296251347	0.5	0.172	1	LRRC23	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00908222935566539	0.460564706596933	1	0.445	1	SORBS2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00917189763699852	0.259910748894513	0.5	0.021	1	ZBTB20	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00967915384840661	0.407742045041444	0.75	0.331	1	BBIP1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.00974211863265556	0.473276492881641	1	0.887	1	SMAP1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0102792272994822	-0.311909046640622	0	0.61	1	DCAF10	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.01096062416129	-0.466796174397163	1	0.887	1	IGF2R	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.011138897728861	0.354092664215525	0.75	0.163	1	RP1-276N6.2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0112386375219216	0.454640436153821	1	0.656	1	RAB3IP	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0113653401833154	-0.638661831987677	0.75	0.911	1	LITAF	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0113830104998016	0.367461681138045	0.75	0.304	1	SS18	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0113935379650039	0.409933866930218	1	0.543	1	CSNK1E	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0115708975856582	0.643558338533656	0.25	0.233	1	TM4SF4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.011577444721995	0.344038448996535	1	0.383	1	PARP9	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.011709232694809	-0.294442472557286	0	0.598	1	DERL2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.011709232694809	-0.303337635233792	0	0.598	1	HNRNPH2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0117154881430033	0.3834085383393	0.75	0.816	1	USP34	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0119256459463476	0.820587142770966	1	0.905	1	RNF213	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0121503508640905	0.323245026604408	0.5	0.046	1	AHNAK2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0123017236249876	0.337280831926986	0.75	0.92	1	B3GNT5	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0123778384640038	0.258510997869513	0.5	0.031	1	LBX2-AS1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0124804902944922	-0.314659503275338	0	0.592	1	MAF1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0126686912886823	0.354911730723525	0.75	0.635	1	MYEOV	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0128808130346597	-0.35351139992781	0	0.589	1	CEBPB	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0132861223287422	0.257618852484746	0.75	0.12	1	PARP3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0133138048878511	0.384224002025857	1	0.454	1	TMEM164	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0137117751549611	-0.279173254329768	0	0.583	1	FAM3A	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0137117751549611	-0.300931647180717	0	0.583	1	TADA3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
