p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
1.73564464661531e-78	1.78710980582131	0.98	0.902	3.67713674831919e-74	IRF1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.0270522958639e-72	4.20260221367513	1	0	1.91247129940173e-67	COVID19	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.25508860051457e-67	1.4615274510912	0.88	0.706	1.53706307090502e-62	DDX60L	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.93720522723287e-65	2.05560047556059	1	0.937	6.22276299441556e-61	JUN	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.17064742267298e-64	1.46505093894938	0.88	0.523	1.3073133629675e-59	XAF1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.04758987287004e-64	-1.31071801415466	0.8	0.996	1.70496239046625e-59	CD63	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.54349341198129e-63	1.98401847373528	0.94	0.551	3.27004514262355e-59	IFIT3	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.55745883636442e-59	1.31579255542036	0.92	0.758	1.38926322907217e-54	IFIH1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.92275680936201e-58	-1.41554459857128	0.84	0.993	2.10223525763144e-53	TSPAN1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.30764814155297e-57	1.18005916755619	0.92	0.73	4.88898335269412e-53	REL	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
