SYMBOL	gene_symbol	human_protein	viral_protein
GIGYF2	nsp2	GIGYF2	nsp2
FKBP15	nsp2	FKBP15	nsp2
WASHC4	nsp2	WASHC4	nsp2
RAP1GDS1	nsp2	RAP1GDS1	nsp2
POR	nsp2	POR	nsp2
EIF4E2	nsp2	EIF4E2	nsp2
SLC27A2	nsp2	SLC27A2	nsp2
MCM3	nsp3	MCM3	nsp3
MCM3	nsp8	MCM3	nsp8
MCM3	nsp10	MCM3	nsp10
MCM3	nsp12	MCM3	nsp12
MCM3	orf14	MCM3	orf14
PFKFB3	nsp3	PFKFB3	nsp3
PFKFB3	nsp12	PFKFB3	nsp12
PFKFB3	nsp13	PFKFB3	nsp13
FMR1	nsp3	FMR1	nsp3
MYL12A	nsp3	MYL12A	nsp3
MYL12A	nsp5	MYL12A	nsp5
MYL12A	nsp8	MYL12A	nsp8
MYL12A	nsp13	MYL12A	nsp13
MYL12A	orf9b	MYL12A	orf9b
PARP10	nsp3	PARP10	nsp3
ISG15	nsp3	ISG15	nsp3
SNRPA	nsp4	SNRPA	nsp4
RFC2	nsp4	RFC2	nsp4
TEX10	nsp4	TEX10	nsp4
ZNF768	nsp4	ZNF768	nsp4
YBX3	nsp4	YBX3	nsp4
RPS12	nsp4	RPS12	nsp4
