SYMBOL	gene_symbol	human_protein	viral_protein
MFAP3L	orf3a	MFAP3L	orf3a
DTNB	orf3a	DTNB	orf3a
SNX2	orf3a	SNX2	orf3a
ADCY9	orf3a	ADCY9	orf3a
ADCY9	orf7b	ADCY9	orf7b
STX10	orf3a	STX10	orf3a
STX10	orf7b	STX10	orf7b
NRP2	orf3a	NRP2	orf3a
MGRN1	orf3a	MGRN1	orf3a
SPAG9	orf3a	SPAG9	orf3a
AHCYL1	orf3a	AHCYL1	orf3a
STX6	orf3a	STX6	orf3a
STX6	orf7b	STX6	orf7b
CA12	orf3a	CA12	orf3a
CA12	orf7b	CA12	orf7b
SGCE	orf3a	SGCE	orf3a
SGCE	orf7b	SGCE	orf7b
ATP8B1	orf3a	ATP8B1	orf3a
TGOLN2	orf3a	TGOLN2	orf3a
TGOLN2	orf7b	TGOLN2	orf7b
AKR7A2	orf3a	AKR7A2	orf3a
ADCY6	orf3a	ADCY6	orf3a
SLC16A6	orf3a	SLC16A6	orf3a
SLC16A6	orf7b	SLC16A6	orf7b
STX7	orf3a	STX7	orf3a
STX7	orf7b	STX7	orf7b
PMM2	orf3a	PMM2	orf3a
TNFRSF10B	orf3a	TNFRSF10B	orf3a
TNFRSF10B	orf7b	TNFRSF10B	orf7b
TOR1B	orf3a	TOR1B	orf3a
TOR1B	orf8	TOR1B	orf8
TOR1A	orf3a	TOR1A	orf3a
TOR1A	orf8	TOR1A	orf8
WWP2	orf3a	WWP2	orf3a
WWP2	orf7b	WWP2	orf7b
TNFRSF10A	orf3a	TNFRSF10A	orf3a
TNFRSF10A	orf7b	TNFRSF10A	orf7b
STXBP3	orf3a	STXBP3	orf3a
PDLIM1	orf3a	PDLIM1	orf3a
PDLIM1	nsp6	PDLIM1	nsp6
RABGAP1L	orf3a	RABGAP1L	orf3a
SHTN1	orf3a	SHTN1	orf3a
LTBR	orf3a	LTBR	orf3a
LTBR	orf7b	LTBR	orf7b
AKAP8L	E	AKAP8L	E
AKAP8L	M	AKAP8L	M
AKAP8L	orf14	AKAP8L	orf14
EMD	E	EMD	E
EMD	M	EMD	M
EMD	orf7a	EMD	orf7a
EMD	orf8	EMD	orf8
EMD	orf14	EMD	orf14
PPP6R3	E	PPP6R3	E
PPP6R3	M	PPP6R3	M
PPP6R3	orf7a	PPP6R3	orf7a
PPP6R3	orf14	PPP6R3	orf14
SLC44A2	E	SLC44A2	E
ZC3H18	E	ZC3H18	E
CWC27	E	CWC27	E
BRD2	E	BRD2	E
BRD4	E	BRD4	E
AP3B1	E	AP3B1	E
POLR2B	M	POLR2B	M
POLR2B	orf7a	POLR2B	orf7a
POLR2B	orf8	POLR2B	orf8
POLR2B	orf14	POLR2B	orf14
IPO8	M	IPO8	M
CLPB	M	CLPB	M
PSMC5	M	PSMC5	M
PSMC5	orf7a	PSMC5	orf7a
PSMC5	orf8	PSMC5	orf8
PSMC5	nsp3	PSMC5	nsp3
DPM1	M	DPM1	M
DPM1	orf7b	DPM1	orf7b
PSMD11	M	PSMD11	M
PSMD11	orf14	PSMD11	orf14
DDX20	M	DDX20	M
DDX20	orf7a	DDX20	orf7a
DDX20	orf8	DDX20	orf8
DDX20	orf14	DDX20	orf14
HAUS6	M	HAUS6	M
HAUS6	orf14	HAUS6	orf14
DNAJA3	M	DNAJA3	M
DNAJA3	orf7a	DNAJA3	orf7a
PSMD6	M	PSMD6	M
PSMD6	orf7a	PSMD6	orf7a
PSMD6	orf8	PSMD6	orf8
PSMA7	M	PSMA7	M
PSMA7	orf8	PSMA7	orf8
PSMA6	M	PSMA6	M
PSMD7	M	PSMD7	M
PSMD7	orf7a	PSMD7	orf7a
PSMC1	M	PSMC1	M
PSMC1	orf7a	PSMC1	orf7a
ATP5F1B	M	ATP5F1B	M
ATP5F1B	orf6	ATP5F1B	orf6
ATP5F1B	orf7a	ATP5F1B	orf7a
ATP5F1B	orf8	ATP5F1B	orf8
ATP5F1B	nsp3	ATP5F1B	nsp3
ATP5F1B	nsp6	ATP5F1B	nsp6
ATP5F1B	nsp7	ATP5F1B	nsp7
ATP5F1B	nsp8	ATP5F1B	nsp8
ATP5F1B	nsp12	ATP5F1B	nsp12
ATP5F1B	orf7b	ATP5F1B	orf7b
DNAJC7	M	DNAJC7	M
DNAJC7	orf7a	DNAJC7	orf7a
DNAJC7	nsp10	DNAJC7	nsp10
UBR5	M	UBR5	M
UBR5	orf7a	UBR5	orf7a
UBR5	orf8	UBR5	orf8
PSMD2	M	PSMD2	M
PSMD2	orf7a	PSMD2	orf7a
PSMD2	orf8	PSMD2	orf8
PSMD2	nsp8	PSMD2	nsp8
PSMC2	M	PSMC2	M
PSMC2	orf7a	PSMC2	orf7a
PSMC2	orf8	PSMC2	orf8
PSMC2	nsp3	PSMC2	nsp3
PSMC2	nsp8	PSMC2	nsp8
PSMD1	M	PSMD1	M
PSMD1	orf7a	PSMD1	orf7a
PSMD1	orf8	PSMD1	orf8
PSMD1	nsp8	PSMD1	nsp8
SMC4	M	SMC4	M
SMC4	nsp3	SMC4	nsp3
SMC4	orf14	SMC4	orf14
NPEPPS	M	NPEPPS	M
NPEPPS	orf7a	NPEPPS	orf7a
NPEPPS	orf8	NPEPPS	orf8
NPEPPS	nsp7	NPEPPS	nsp7
NPEPPS	orf7b	NPEPPS	orf7b
RCN1	M	RCN1	M
HSPA4	M	HSPA4	M
HSPA4	orf7a	HSPA4	orf7a
HSPA4	nsp2	HSPA4	nsp2
COPB2	M	COPB2	M
COPB2	orf7a	COPB2	orf7a
COPB2	orf14	COPB2	orf14
COPB2	orf7b	COPB2	orf7b
BZW2	M	BZW2	M
AAR2	M	AAR2	M
AASS	M	AASS	M
FAM8A1	M	FAM8A1	M
FAM8A1	nsp6	FAM8A1	nsp6
RTN4	M	RTN4	M
TARS2	M	TARS2	M
TUBGCP2	M	TUBGCP2	M
SLC25A21	M	SLC25A21	M
INTS4	M	INTS4	M
INTS4	orf7a	INTS4	orf7a
REEP6	M	REEP6	M
SAAL1	M	SAAL1	M
COQ8B	M	COQ8B	M
TUBGCP3	M	TUBGCP3	M
SLC30A7	M	SLC30A7	M
FASTKD5	M	FASTKD5	M
SLC30A9	M	SLC30A9	M
PITRM1	M	PITRM1	M
PMPCA	M	PMPCA	M
REEP5	M	REEP5	M
REEP5	orf7b	REEP5	orf7b
