viral_protein	human_protein
cov-miR-1	Q12913
cov-miR-1	A0A024R8K6
cov-miR-1	P52948
cov-miR-1	NA
cov-miR-1	Q8NC51
cov-miR-1	Q5VST6
cov-miR-1	Q9NRX5
cov-miR-1	Q96LD8
cov-miR-1	Q5JUX0
cov-miR-1	Q8NC69
cov-miR-1	P29017
cov-miR-1	Q16659
cov-miR-1	Q9H8W5
cov-miR-1	A0A087WY66
cov-miR-1	Q5SYE7
cov-miR-1	Q9P0K1
cov-miR-1	A5PLL7
cov-miR-1	A0A140VJG7
cov-miR-1	Q7Z5S9
cov-miR-1	P17948
cov-miR-1	Q8IYD9
cov-miR-1	A0A024RDX3
cov-miR-1	Q13740
cov-miR-1	A0A090N7T7
cov-miR-1	P55285
cov-miR-1	Q8IYA7
cov-miR-1	Q5SRI9
cov-miR-1	P63151
cov-miR-1	P61812
cov-miR-1	A0A024RD59
cov-miR-1	Q8IX03
cov-miR-1	Q7LG56
cov-miR-1	Q5T753
cov-miR-1	Q9UNQ0
cov-miR-1	O60942
cov-miR-1	Q15375
cov-miR-1	Q8IW19
cov-miR-1	Q13705
cov-miR-1	Q9Y597
cov-miR-1	B4DXK0
cov-miR-1	Q9BX84
cov-miR-1	Q8N6M0
cov-miR-1	B2RB70
cov-miR-1	K7PPU3
cov-miR-1	Q8TAA9
cov-miR-1	Q5TAB7
cov-miR-1	Q96JJ3
cov-miR-1	Q9Y3B3
cov-miR-1	Q8IY57
cov-miR-1	Q6P3S1
cov-miR-1	O95394
cov-miR-1	A0A024RDQ9
cov-miR-1	Q68CZ1
cov-miR-1	Q8WZ60
cov-miR-1	P30085
cov-miR-1	P11226
cov-miR-1	P18440
cov-miR-1	P41229
cov-miR-1	Q9BYG5
cov-miR-1	NA
cov-miR-1	Q8IWW6
cov-miR-1	Q5VZL5
cov-miR-1	Q6PI78
cov-miR-1	Q9HCK4
cov-miR-1	P19320
cov-miR-1	P42224
cov-miR-1	Q5H9F3
cov-miR-1	Q9GZY1
cov-miR-1	Q6P3W7
cov-miR-1	A0A024RAJ9
cov-miR-1	A0A024R9E4
cov-miR-1	Q86T70
cov-miR-2	P14859
cov-miR-2	Q9H410
cov-miR-2	P83876
cov-miR-2	Q6ZR37
cov-miR-2	P51828
cov-miR-2	O43304
cov-miR-2	Q9C0G0
cov-miR-2	Q8IWF2
cov-miR-2	Q9NVE5
cov-miR-2	A0A024RB20
cov-miR-2	B4DGR6
cov-miR-2	A6NGB9
cov-miR-2	Q9UNW1
cov-miR-2	A0A024R9Z2
cov-miR-2	Q6L8G5
cov-miR-2	B2RDH3
cov-miR-2	Q96P16
cov-miR-2	Q13451
cov-miR-2	A0A024RBC0
cov-miR-2	Q14DG7
cov-miR-2	Q6PI26
cov-miR-2	Q96FX2
cov-miR-2	A0A0S2Z3Q2
cov-miR-2	Q5VXU3
cov-miR-2	Q59EK3
cov-miR-2	Q9UK00
cov-miR-2	O60825
cov-miR-2	P54687
cov-miR-2	Q9H3J6
cov-miR-2	Q6UY01
cov-miR-2	Q5TA31
cov-miR-2	NA
cov-miR-2	Q9HD33
cov-miR-2	Q96CT2
cov-miR-2	Q6ZPD9
cov-miR-2	A0A0S2Z4V0
cov-miR-2	Q6UXV0
cov-miR-2	O75449
cov-miR-2	NA
cov-miR-2	A0A0C4DGH3
cov-miR-2	B7ZLW0
cov-miR-2	D9YZV9
cov-miR-2	P30533
cov-miR-2	Q12879
cov-miR-2	P98169
cov-miR-2	A0A024R0K3
cov-miR-2	Q16534
cov-miR-2	Q7Z5S9
cov-miR-2	P37088
cov-miR-2	Q08999
cov-miR-2	Q7L5N7
cov-miR-2	Q9UL26
cov-miR-2	NA
cov-miR-2	NA
cov-miR-2	Q9H1H9
