viral_protein	human_protein
cov-miR-4	RMI2
cov-miR-4	TMEM35
cov-miR-4	GNPDA2
cov-miR-4	SLC2A2
cov-miR-4	SWAP70
cov-miR-4	CCNE1
cov-miR-4	TGFBR3
cov-miR-4	DGKB
cov-miR-4	CASK
cov-miR-4	ZNF154
cov-miR-4	ADAM9
cov-miR-4	ARL1
cov-miR-4	TMEM245
cov-miR-4	RLIM
cov-miR-4	ACTR2
cov-miR-4	FBXL20
cov-miR-4	ZNF547
cov-miR-4	POLH
cov-miR-4	AMOTL2
cov-miR-4	PTCD3
cov-miR-4	PPAP2B
cov-miR-4	SLC44A1
cov-miR-4	PDP1
cov-miR-4	FAM135B
cov-miR-4	MMAB
cov-miR-5	ST3GAL1
cov-miR-5	PRPF4B
cov-miR-5	CNOT4
cov-miR-5	LAPTM4B
cov-miR-5	IMPG2
cov-miR-5	EML1
cov-miR-5	GAREM
cov-miR-5	TBC1D14
cov-miR-5	SRP9
cov-miR-5	SYNJ2BP
cov-miR-5	PEX2
cov-miR-5	SLC17A8
cov-miR-5	CPSF7
cov-miR-5	ATXN1
cov-miR-5	TTC30A
cov-miR-5	TFDP2
cov-miR-5	NFXL1
cov-miR-5	RBM44
cov-miR-5	HS6ST1
cov-miR-5	POLE3
cov-miR-5	TMED7
cov-miR-5	RBP3
cov-miR-5	RIMKLA
cov-miR-5	CAPRIN2
cov-miR-5	CCDC6
cov-miR-5	TSPAN5
cov-miR-5	UTP23
cov-miR-5	PRSS36
cov-miR-5	FTO
cov-miR-5	ARHGEF38
cov-miR-5	FAM208A
cov-miR-5	PHLDA1
cov-miR-5	GRM6
cov-miR-5	PRRG1
cov-miR-5	GDF3
cov-miR-5	ACER2
cov-miR-5	SYNJ1
cov-miR-5	PHAX
cov-miR-5	AGO1
cov-miR-5	TCF4
cov-miR-5	KATNAL1
cov-miR-5	RAB1A
cov-miR-5	GCA
cov-miR-5	PSEN1
cov-miR-5	CPA4
cov-miR-5	FOXN3
cov-miR-5	OR11A1
cov-miR-5	VPS37A
cov-miR-5	MITF
cov-miR-5	GOLGA8O
cov-miR-5	DCTN5
cov-miR-5	TXLNG
cov-miR-5	ZNF318
cov-miR-5	ZNF561
cov-miR-5	CTDSPL2
cov-miR-5	ADCYAP1
cov-miR-5	FAM91A1
cov-miR-5	UBAC1
cov-miR-5	CDC42BPA
cov-miR-5	MARCH1
cov-miR-5	AKAP1
cov-miR-5	CXCL6
cov-miR-5	NEK6
cov-miR-5	SLC41A2
cov-miR-5	EGLN3
cov-miR-5	ARMCX3
cov-miR-5	PWWP2A
cov-miR-5	GPR83
cov-miR-5	ZNF529
cov-miR-5	ETS1
cov-miR-5	CNTLN
cov-miR-5	NEDD4L
cov-miR-5	CNRIP1
cov-miR-6	KIAA1644
cov-miR-6	RIPK4
cov-miR-6	TRIM45
cov-miR-6	BLOC1S6
cov-miR-6	DIRC2
cov-miR-6	MRPS25
cov-miR-6	CEND1
cov-miR-6	ATP6V1C2
cov-miR-6	FADD
cov-miR-6	PLIN4
cov-miR-6	IGSF3
cov-miR-6	LCOR
cov-miR-6	DHX40
cov-miR-6	PTPN3
cov-miR-6	ZNF592
cov-miR-6	THSD7A
cov-miR-6	ST3GAL3
cov-miR-6	PTPRF
cov-miR-6	ZSCAN31
cov-miR-6	ZNF605
cov-miR-6	RIMKLA
cov-miR-6	DYNLT3
cov-miR-6	SPOCK1
cov-miR-6	FBXL7
cov-miR-6	PROCR
cov-miR-6	LRRN4CL
cov-miR-6	KPNA6
cov-miR-6	REEP3
cov-miR-6	ADK
cov-miR-6	NRN1
cov-miR-6	TYW1B
cov-miR-6	TYW1
cov-miR-6	CAPN7
cov-miR-6	EGLN3
cov-miR-6	ZCCHC2
cov-miR-6	FKBP4
cov-miR-6	IRF6
cov-miR-6	LOX
cov-miR-6	AMOT
cov-miR-6	CREB3L2
cov-miR-6	MEGF8
cov-miR-6	SPECC1L
cov-miR-6	METTL16
cov-miR-6	STK11
cov-miR-6	WFDC13
cov-miR-6	CYB5B
cov-miR-6	NDUFA10
cov-miR-6	DGKB
cov-miR-6	EPGN
cov-miR-6	DAAM2
cov-miR-6	WDR35
cov-miR-6	CHD2
cov-miR-6	MGAT5
cov-miR-6	KIAA1467
cov-miR-6	GSE1
cov-miR-6	IPMK
cov-miR-6	CHMP2B
cov-miR-6	DIP2A
cov-miR-6	NETO1
cov-miR-6	KIAA2022
cov-miR-6	HSPB7
cov-miR-6	TBXA2R
cov-miR-6	APITD1
cov-miR-6	C15orf62
cov-miR-6	IL17RD
cov-miR-6	SLC22A5
cov-miR-6	DCAF5
cov-miR-6	PDE7B
cov-miR-6	TMEM236
cov-miR-6	SRSF1
cov-miR-6	RCOR3
cov-miR-6	IL17RE
cov-miR-6	KIF16B
cov-miR-6	NPTX2
cov-miR-6	SSTR5
cov-miR-6	BDNF
cov-miR-6	CTDSPL
cov-miR-6	ATP9A
cov-miR-6	MKL2
cov-miR-6	KCNA1
cov-miR-6	THRB
cov-miR-6	UHMK1
cov-miR-6	CIDEB
cov-miR-6	TRDN
cov-miR-6	ZNF787
cov-miR-6	ADTRP
cov-miR-6	LOC729020
cov-miR-6	FIBCD1
cov-miR-6	SYN2
cov-miR-6	ZNF367
cov-miR-6	CCNYL1
cov-miR-6	CLDN18
cov-miR-6	MEGF11
cov-miR-6	IL7R
cov-miR-6	SMCR8
cov-miR-6	IPCEF1
cov-miR-6	RBFOX2
cov-miR-6	NTRK2
cov-miR-6	CD84
cov-miR-6	HELZ
cov-miR-6	MMRN2
cov-miR-6	MAPK11
cov-miR-6	PTPN21
cov-miR-6	ZC3H7B
cov-miR-6	C17orf51
cov-miR-6	PIGQ
cov-miR-6	CTCFL
cov-miR-6	ADAM10
cov-miR-6	ZNF22
cov-miR-6	FAXDC2
cov-miR-6	RPTOR
cov-miR-6	FGF23
cov-miR-6	PKNOX1
cov-miR-6	ROBO2
cov-miR-6	TMCC3
cov-miR-6	IKZF1
cov-miR-6	WDR26
cov-miR-6	VSTM4
cov-miR-6	SCN8A
cov-miR-6	APOOL
cov-miR-6	PLEKHA8
cov-miR-6	NAV1
cov-miR-6	MCF2L
cov-miR-6	FDXACB1
cov-miR-6	CLEC19A
cov-miR-6	AIDA
cov-miR-6	FKBP7
cov-miR-6	TPR
cov-miR-6	ASXL2
cov-miR-6	FBXL17
cov-miR-6	SZRD1
cov-miR-6	CGGBP1
cov-miR-6	C16orf52
cov-miR-6	ZMYM2
cov-miR-6	DISP2
cov-miR-6	KCTD4
cov-miR-6	GNPDA2
cov-miR-6	ZNF280D
cov-miR-6	SMAD3
cov-miR-6	AGPS
cov-miR-6	CNOT6L
cov-miR-6	TP53AIP1
cov-miR-6	EME1
cov-miR-6	TNFSF8
cov-miR-6	IQCF3
cov-miR-6	CXorf36
cov-miR-6	MYCBP
cov-miR-6	SLC37A2
cov-miR-6	LRCH1
cov-miR-6	GID4
cov-miR-6	PRMT2
cov-miR-6	ENTPD4
cov-miR-6	ARHGEF12
cov-miR-6	XPNPEP3
cov-miR-6	PPARA
cov-miR-6	DBT
cov-miR-6	SPATA16
cov-miR-7	JRKL
cov-miR-7	FRMD7
cov-miR-7	IFNLR1
cov-miR-7	VENTX
cov-miR-7	NPC1
cov-miR-7	RGMB
cov-miR-7	SREK1IP1
cov-miR-7	CDC5L
cov-miR-7	LRRCC1
cov-miR-7	PARPBP
cov-miR-7	AMBN
cov-miR-7	EIF5B
cov-miR-7	LUZP1
cov-miR-7	TWISTNB
cov-miR-7	OSBPL10
cov-miR-7	MSTN
cov-miR-7	UTP15
cov-miR-7	ADHFE1
cov-miR-7	TXNRD1
cov-miR-7	HAUS5
cov-miR-7	LRCH2
cov-miR-7	NUMBL
cov-miR-7	FOXO1
cov-miR-7	TMEM167A
cov-miR-7	ZNF615
cov-miR-7	RPRD1A
cov-miR-7	KCNK2
cov-miR-7	IL36RN
cov-miR-7	DESI1
cov-miR-7	COL3A1
cov-miR-7	AWAT2
cov-miR-7	LDLRAD4
cov-miR-7	SWT1
cov-miR-7	ZFR
cov-miR-7	SLC1A2
cov-miR-7	ECHDC1
cov-miR-7	ARMCX3
cov-miR-7	ACYP2
cov-miR-7	MAPK1IP1L
cov-miR-7	RAPH1
cov-miR-8	ACSL4
cov-miR-8	TRPS1
cov-miR-8	SLC16A10
cov-miR-8	METTL15
cov-miR-8	KIAA1239
cov-miR-8	MPP5
cov-miR-8	GGCT
cov-miR-8	CEP120
cov-miR-8	AAK1
cov-miR-8	THBS2
cov-miR-8	GPAM
cov-miR-8	IPP
cov-miR-8	GPATCH8
cov-miR-8	ATXN7L1
cov-miR-8	ZDHHC20
cov-miR-8	PTPRJ
cov-miR-8	PATE4
cov-miR-8	NTRK2
cov-miR-8	YWHAG
cov-miR-8	ATCAY
cov-miR-8	CDS1
cov-miR-8	SLC5A12
cov-miR-8	IPMK
cov-miR-8	ANKRD36B
cov-miR-8	TMEM144
cov-miR-8	CEACAM5
cov-miR-8	KCNIP4
cov-miR-8	LRRC2
cov-miR-8	U2SURP
cov-miR-8	UGGT2
cov-miR-8	BCL11A
cov-miR-8	ZFAND5
cov-miR-8	ZNF678
cov-miR-8	SIM2
cov-miR-8	GPLD1
cov-miR-8	CD59
cov-miR-8	ZNF559
cov-miR-8	CRIPT
cov-miR-8	KCTD21
cov-miR-8	SAMD8
cov-miR-8	PEG3
cov-miR-8	ZNF780A
cov-miR-8	NPY2R
cov-miR-8	RPRD2
cov-miR-8	ZNF780B
cov-miR-8	ENAH
cov-miR-8	ZNF397
cov-miR-8	CTPS2
cov-miR-8	MRS2
cov-miR-8	NAB1
cov-miR-8	FBN1
cov-miR-8	ZNF716
cov-miR-8	VPS53
cov-miR-8	LRAT
cov-miR-8	PRRG1
cov-miR-8	GAN
cov-miR-8	UVRAG
cov-miR-8	YES1
cov-miR-8	HECA
cov-miR-8	STK4
cov-miR-8	DAAM1
cov-miR-8	CREBZF
cov-miR-8	PDXK
cov-miR-8	SCN2A
cov-miR-8	NDUFB4
cov-miR-8	HGC6.3
cov-miR-8	TM7SF3
cov-miR-8	INIP
cov-miR-8	GZMK
cov-miR-8	KCNMA1
cov-miR-8	ZNF493
cov-miR-8	FAM210A
cov-miR-8	CNIH4
cov-miR-8	C1QTNF2
cov-miR-8	NUFIP1
cov-miR-8	COL5A1
cov-miR-8	PLCL1
cov-miR-8	SEZ6L
cov-miR-8	EPHA7
cov-miR-8	PCDH11Y
cov-miR-8	PCDH11X
cov-miR-8	XPNPEP3
cov-miR-8	TBP
cov-miR-8	NOA1
cov-miR-8	CLLU1
cov-miR-8	NEK3
cov-miR-8	ORC2
cov-miR-8	C6orf170
cov-miR-8	PADI1
cov-miR-8	ASCC3
cov-miR-8	DCAF16
cov-miR-8	PRKCI
cov-miR-8	SLIT1
cov-miR-8	RNF165
cov-miR-8	UHRF1BP1
cov-miR-9	MCTS1
cov-miR-9	ANKLE2
cov-miR-9	ANKRD34C
cov-miR-9	RBM41
cov-miR-9	KCTD9
cov-miR-9	C7orf33
cov-miR-9	PLN
cov-miR-9	ENPP4
cov-miR-9	GABRA4
cov-miR-9	CNOT4
cov-miR-9	MED9
cov-miR-9	CYTL1
cov-miR-9	NCKAP5
cov-miR-9	RWDD4
cov-miR-9	C7orf76
cov-miR-9	GPR65
cov-miR-9	MSRB3
cov-miR-9	ZNF772
cov-miR-9	CISD2
cov-miR-9	PI15
cov-miR-9	NFIB
cov-miR-9	CUL4A
cov-miR-9	PTAR1
cov-miR-9	GABBR1
cov-miR-9	DMXL2
cov-miR-9	MAP4K3
cov-miR-9	KIAA1737
cov-miR-9	KIAA0232
cov-miR-9	ZNF652
cov-miR-9	PODNL1
cov-miR-9	LARP4
cov-miR-9	MAP3K2
cov-miR-9	CYP7A1
cov-miR-9	MBTD1
cov-miR-9	GPBP1
cov-miR-9	DISC1
cov-miR-9	CDK2AP1
cov-miR-9	GAN
cov-miR-9	GNB4
cov-miR-9	SENP2
cov-miR-9	F2R
cov-miR-9	SYT4
cov-miR-9	UST
cov-miR-9	FAM169A
cov-miR-9	SLC31A1
cov-miR-9	TLN2
cov-miR-9	DSEL
cov-miR-9	OPCML
cov-miR-9	HS2ST1
cov-miR-9	TMCC3
cov-miR-9	GTF2H5
cov-miR-9	UGT2A3
cov-miR-9	ST3GAL2
cov-miR-9	CDH19
cov-miR-9	CLCN5
cov-miR-9	ARID1A
cov-miR-9	TRDN
cov-miR-9	NUDT12
cov-miR-9	ARCN1
cov-miR-9	C7orf60
cov-miR-9	CYFIP2
cov-miR-9	MAPK9
cov-miR-9	FNIP1
cov-miR-9	MED1
cov-miR-9	LRRTM3
cov-miR-9	BCL2L13
cov-miR-9	RPRD1A
cov-miR-9	KCTD20
cov-miR-9	GDA
cov-miR-9	ZDHHC20
cov-miR-9	CDH6
cov-miR-9	HIPK2
cov-miR-9	FANCC
cov-miR-9	XPNPEP2
cov-miR-9	AK9
cov-miR-9	ZBTB11
cov-miR-9	GREB1
cov-miR-9	SEPT14
cov-miR-9	STAT5B
cov-miR-9	FAM227A
cov-miR-9	INO80D
cov-miR-9	GRIA3
cov-miR-9	C3orf38
cov-miR-9	TAF4
cov-miR-9	CASC4
cov-miR-9	UBXN7
cov-miR-9	CASK
cov-miR-9	APBB2
cov-miR-9	RAB27B
cov-miR-9	AGTPBP1
cov-miR-9	CCT6A
cov-miR-9	MLLT11
cov-miR-9	TMEM161B
cov-miR-9	LMAN2L
cov-miR-9	MDM1
cov-miR-9	TERF1
cov-miR-9	SLMO2
cov-miR-9	BRWD1
cov-miR-9	RCBTB1
cov-miR-9	PCDH17
cov-miR-9	HECA
cov-miR-9	PPARGC1A
cov-miR-9	CCDC113
cov-miR-9	PNRC2
cov-miR-9	IL20RA
cov-miR-9	FGF23
cov-miR-9	ZNF850
cov-miR-9	MCPH1
cov-miR-9	H2AFJ
cov-miR-9	TCN1
cov-miR-9	BNIP1
cov-miR-9	TBCCD1
cov-miR-9	KIAA0907
cov-miR-9	LOC100130357
cov-miR-9	MALT1
cov-miR-9	TM7SF3
cov-miR-9	EBF1
cov-miR-9	MMAB
cov-miR-9	TRAK2
cov-miR-9	SLC2A13
cov-miR-9	DDHD1
cov-miR-9	CNOT10
cov-miR-9	FMO1
cov-miR-9	FAM104B
cov-miR-9	TMSB4Y
cov-miR-9	ZSCAN32
cov-miR-9	MTERF
cov-miR-9	RSPO1
cov-miR-9	LARP1B
cov-miR-9	DLX3
cov-miR-9	LRRFIP1
cov-miR-9	CALCR
cov-miR-9	SLCO2A1
cov-miR-9	UBR5
cov-miR-9	ASB17
cov-miR-9	KLLN
cov-miR-9	FGF1
cov-miR-9	DCAF17
cov-miR-9	TECPR2
cov-miR-9	LIN7C
cov-miR-9	MAFG
cov-miR-9	CXorf23
cov-miR-9	NEURL1B
cov-miR-9	PLEKHG3
cov-miR-9	CD300A
cov-miR-9	RSF1
cov-miR-9	GABRA6
cov-miR-9	MTOR
cov-miR-9	FAM98A
cov-miR-9	HCCS
cov-miR-9	PRR23A
cov-miR-9	GUCA1B
cov-miR-9	CDCA5
cov-miR-9	DCAF8
cov-miR-9	WDR5
cov-miR-9	UBP1
cov-miR-9	PAK7
cov-miR-9	KDM4B
cov-miR-9	SPATA2
cov-miR-9	CDV3
cov-miR-9	C4orf3
cov-miR-9	TMLHE
cov-miR-9	MAST4
cov-miR-9	FAM91A1
cov-miR-9	CLCN3
cov-miR-9	BACH1
cov-miR-9	FAR1
cov-miR-9	MED12L
cov-miR-9	DUSP4
cov-miR-9	SPOPL
cov-miR-10	PPP3R1
cov-miR-10	ZNF649
cov-miR-10	CALM1
cov-miR-10	GNPTAB
cov-miR-10	DENND6A
cov-miR-10	LPP
cov-miR-10	SUPT5H
cov-miR-10	C9orf91
cov-miR-10	GNB2
cov-miR-10	MDK
cov-miR-10	ZNF518A
cov-miR-10	PARP11
cov-miR-10	FEZ2
cov-miR-10	AFTPH
cov-miR-10	PODN
cov-miR-10	PAX5
cov-miR-10	PDZK1
cov-miR-10	NIPAL4
cov-miR-10	STX16
cov-miR-10	TNFRSF9
cov-miR-10	STK24
cov-miR-10	KLHL42
cov-miR-10	SLC17A4
cov-miR-10	CDV3
cov-miR-10	STRN3
cov-miR-10	TP53RK
cov-miR-10	USP45
cov-miR-10	NFIX
cov-miR-10	CYB561
cov-miR-10	NUDT21
cov-miR-10	ITGAV
cov-miR-10	CRKL
cov-miR-10	DNMBP
cov-miR-10	BCL2L15
cov-miR-10	FAM219A
cov-miR-10	LIN28A
cov-miR-10	B4GALT5
cov-miR-10	FAM133B
cov-miR-10	FAM181B
cov-miR-10	HAS3
cov-miR-10	OPTN
cov-miR-10	COL6A5
cov-miR-10	AAGAB
cov-miR-10	GNE
cov-miR-10	ZBTB44
cov-miR-10	TET2
cov-miR-10	CCER1
cov-miR-10	CASP7
cov-miR-10	OSBPL9
cov-miR-10	ZEB1
cov-miR-10	IKZF5
cov-miR-10	TUB
cov-miR-10	MVB12B
cov-miR-10	FBRSL1
cov-miR-10	PSMD11
cov-miR-10	PCMT1
cov-miR-10	DOK4
cov-miR-10	CLDN11
cov-miR-10	GNG12
cov-miR-10	PPARA
cov-miR-10	SMAD2
cov-miR-10	STIP1
cov-miR-10	THOP1
cov-miR-10	GRAMD1C
cov-miR-10	TNRC6B
cov-miR-10	RAX
cov-miR-10	PIGT
cov-miR-10	FAM13B
cov-miR-11	SEC14L2
cov-miR-11	FXR2
cov-miR-11	RAD9B
cov-miR-11	SYT7
cov-miR-11	CNDP2
cov-miR-11	GNB2
cov-miR-11	SLC39A7
cov-miR-11	SPNS2
cov-miR-11	PHLPP2
cov-miR-11	MVB12B
cov-miR-11	SMC1A
cov-miR-11	OPCML
cov-miR-11	KIAA0226
cov-miR-11	TRIM16L
cov-miR-11	FBXW2
cov-miR-11	FAM20B
cov-miR-11	ZHX1
cov-miR-11	BCL2L13
cov-miR-11	SLC36A1
cov-miR-11	PI4K2A
cov-miR-11	PPP3R1
cov-miR-11	PNMAL1
cov-miR-11	SHC3
cov-miR-11	H2AFV
cov-miR-11	SLC25A35
cov-miR-11	DERL3
cov-miR-11	TMEM86A
cov-miR-11	TEX22
cov-miR-11	SLC35C2
cov-miR-11	LST1
cov-miR-11	PWWP2A
cov-miR-11	HIF1AN
cov-miR-11	KCNJ2
cov-miR-11	KY
cov-miR-11	UBE4A
cov-miR-11	MYOD1
cov-miR-11	PSD3
cov-miR-11	RBBP4
cov-miR-11	SFMBT2
cov-miR-11	UNC13A
cov-miR-11	KMO
cov-miR-11	APC2
cov-miR-11	TNS4
cov-miR-11	NDUFC2-KCTD14
cov-miR-11	SEL1L3
cov-miR-11	KCTD14
cov-miR-11	MBOAT7
cov-miR-11	TRPC3
cov-miR-11	EBF4
cov-miR-11	C22orf24
cov-miR-11	NTM
cov-miR-11	P2RY8
cov-miR-11	GPC4
cov-miR-11	DHRSX
cov-miR-11	ILDR2
cov-miR-11	LASP1
cov-miR-11	POMT2
cov-miR-11	GFOD2
cov-miR-11	NHLRC2
cov-miR-11	ARFIP2
cov-miR-11	CEP85L
cov-miR-11	TEDDM1
cov-miR-11	ISL2
cov-miR-11	TFEC
