"source_genesymbol" "target_genesymbol" "from" "to" "consensus_stimulation" "consensus_inhibition"
"92" "AR" "IFI35" "P10275" "P80217" 1 0
"93" "AR" "IGF1R" "P10275" "P08069" 1 0
"94" "AR" "IGFBP3" "P10275" "B3KPF0" 1 0
"95" "AR" "IL1R1" "P10275" "P14778" 1 0
"96" "AR" "JUN" "P10275" "P05412" 1 0
"97" "AR" "KCNH2" "P10275" "A0A090N8Q0" 1 0
"98" "AR" "KIAA1217" "P10275" "Q5T5P2" 0 1
"99" "AR" "KLF5" "P10275" "Q13887" 1 0
"100" "AR" "KLK2" "P10275" "A0A024R4N3" 1 0
"101" "AR" "KLK3" "P10275" "P07288" 1 0
"102" "AR" "KLK4" "P10275" "Q5BQA0" 1 0
"103" "AR" "KRT18" "P10275" "A0A024RAY2" 1 0
"104" "AR" "KRT8" "P10275" "Q7L4M3" 1 0
"105" "AR" "LIFR" "P10275" "A8K1Z4" 1 0
"106" "AR" "MED1" "P10275" "Q15648" 1 0
"107" "AR" "MMP13" "P10275" "P45452" 1 0
"108" "AR" "MRPS27" "P10275" "Q6PKB3" 1 0
"109" "AR" "MT2A" "P10275" "P02795" 1 0
"110" "AR" "MUC1" "P10275" "P15941" 0 1
"111" "AR" "MYC" "P10275" "A0A087WVR4" 1 0
"112" "AR" "NCOA2" "P10275" "Q15596" 0 1
"113" "AR" "NDRG1" "P10275" "Q92597" 1 0
"114" "AR" "NKX3-1" "P10275" "Q99801" 1 0
"115" "AR" "NLGN4X" "P10275" "A0A024RBV0" 1 0
"116" "AR" "NME7" "P10275" "Q9Y5B8" 1 0
"117" "AR" "NPAT" "P10275" "Q14207" 1 0
"118" "AR" "NPEPPS" "P10275" "B7Z899" 1 0
"119" "AR" "NUP214" "P10275" "P35658" 1 0
"120" "AR" "ORM1" "P10275" "P02763" 1 0
"121" "AR" "ORM2" "P10275" "P19652" 1 0
"122" "AR" "PEX6" "P10275" "A0A024RD09" 1 0
"123" "AR" "PGC" "P10275" "P20142" 1 0
"124" "AR" "PIGR" "P10275" "P01833" 1 0
"125" "AR" "PIN1" "P10275" "Q13526" 1 0
"126" "AR" "PMAIP1" "P10275" "A0A0S2Z490" 1 0
"127" "AR" "PMEPA1" "P10275" "Q969W9" 1 0
"128" "AR" "PNPLA4" "P10275" "A0A024RBU8" 1 0
"129" "AR" "PNRC1" "P10275" "Q12796" 1 0
"130" "AR" "PPP2R5D" "P10275" "Q14738" 1 0
"131" "AR" "PRAME" "P10275" "A0A024R1E6" 1 0
"132" "AR" "PRKCD" "P10275" "A0A024R328" 1 0
