"source_genesymbol" "target_genesymbol" "from" "to" "consensus_stimulation" "consensus_inhibition"
"2908" "ESRRA" "RGS6" "P11474" "P49758" 1 0
"2909" "ESRRA" "SLC35F6" "P11474" "Q8N357" 1 0
"2910" "ESRRA" "SOX6" "P11474" "P35712" 1 0
"2911" "ESRRA" "STARD10" "P11474" "A0A024R5L8" 1 0
"2912" "ESRRA" "STRBP" "P11474" "Q96SI9" 1 0
"2913" "ESRRA" "SYNPO" "P11474" "Q8N3V7" 1 0
"2914" "ESRRA" "SYT12" "P11474" "B0AZL9" 1 0
"2915" "ESRRA" "TENM4" "P11474" "Q6N022" 1 0
"2916" "ESRRA" "TGM2" "P11474" "P21980" 1 0
"2917" "ESRRA" "TMCO4" "P11474" "Q5TGY1" 1 0
"2918" "ESRRA" "TMEM164" "P11474" "Q5U3C3" 1 0
"2919" "ESRRA" "TRIB3" "P11474" "Q96RU7" 1 0
"2920" "ESRRA" "TXNRD1" "P11474" "Q16881" 1 0
"2921" "ESRRA" "UBE2V1" "P11474" "Q13404" 1 0
"2922" "ESRRA" "VDR" "P11474" "F1D8P8" 1 0
"2923" "ESRRA" "WNK2" "P11474" "Q9Y3S1" 1 0
"2924" "ESRRA" "XYLT1" "P11474" "Q86Y38" 1 0
"2925" "ETS1" "ABCB1" "P14921" "A4D1D2" 1 0
"2926" "ETS1" "ABCC1" "P14921" "P33527" 1 0
"2927" "ETS1" "ANGPT2" "P14921" "O15123" 1 0
"2928" "ETS1" "ANPEP" "P14921" "A0A024RC61" 1 0
"2929" "ETS1" "ASAP1" "P14921" "A0A0A0MRE5" 1 0
"2930" "ETS1" "ATP2A3" "P14921" "A8K9K1" 1 0
"2931" "ETS1" "ATXN2" "P14921" "F8VQP2" 1 0
"2932" "ETS1" "B3GAT3" "P14921" "Q5U676" 1 0
"2933" "ETS1" "BAX" "P14921" "Q07812" 0 1
"2934" "ETS1" "BCL2" "P14921" "A0A024R2B3" 1 0
"2935" "ETS1" "BID" "P14921" "A8ASI8" 1 0
"2936" "ETS1" "BIRC2" "P14921" "Q13490" 1 0
"2937" "ETS1" "BMP4" "P14921" "P12644" 1 0
"2938" "ETS1" "CASP8" "P14921" "A0A024R3Z8" 1 0
"2939" "ETS1" "CCND1" "P14921" "P24385" 1 0
"2940" "ETS1" "CD3D" "P14921" "B0YIY4" 1 0
"2941" "ETS1" "CD4" "P14921" "B4DT49" 1 0
"2942" "ETS1" "CD5" "P14921" "P06127" 1 0
"2943" "ETS1" "CD53" "P14921" "P19397" 1 0
"2944" "ETS1" "CD6" "P14921" "P30203" 1 0
"2945" "ETS1" "CD8A" "P14921" "P01732" 1 0
"2946" "ETS1" "CDC37" "P14921" "A0A024R7B7" 1 0
"2947" "ETS1" "CDH13" "P14921" "B7Z9B1" 1 0
"2948" "ETS1" "CDK11A" "P14921" "Q9UQ88" 1 0
"2949" "ETS1" "CDK4" "P14921" "A0A024RBB6" 1 0
"2950" "ETS1" "CDKN1A" "P14921" "A0A024RCX5" 1 0
"2951" "ETS1" "CDKN1B" "P14921" "P46527" 1 0
"2952" "ETS1" "CDKN2A" "P14921" "K7PML8" 1 0
"2953" "ETS1" "CHUK" "P14921" "O15111" 1 0
"2954" "ETS1" "COL1A1" "P14921" "P02452" 1 0
"2955" "ETS1" "COPS2" "P14921" "P61201" 1 0
"2956" "ETS1" "COX4I1" "P14921" "P13073" 1 0
"2957" "ETS1" "CSF2" "P14921" "P04141" 1 0
"2958" "ETS1" "CSF3R" "P14921" "Q99062" 1 0
"2959" "ETS1" "CSNK2A1" "P14921" "P68400" 1 0
"2960" "ETS1" "CSNK2A2" "P14921" "P19784" 1 0
"2961" "ETS1" "CSNK2B" "P14921" "A0A1U9X7J2" 1 0
"2962" "ETS1" "CTSB" "P14921" "Q5HYG5" 1 0
"2963" "ETS1" "CXCR4" "P14921" "P61073" 1 0
"2964" "ETS1" "DAD1" "P14921" "P61803" 1 0
"2965" "ETS1" "DNTT" "P14921" "P04053" 1 0
"2966" "ETS1" "DUSP6" "P14921" "A0A024RBC1" 1 0
"2967" "ETS1" "ECE1" "P14921" "A0A024RAB0" 1 0
"2968" "ETS1" "EGR1" "P14921" "P18146" 1 0
"2969" "ETS1" "EGR2" "P14921" "P11161" 1 0
"2970" "ETS1" "ERG" "P14921" "B4DN83" 1 0
"2971" "ETS1" "ETS2" "P14921" "P15036" 1 0
"2972" "ETS1" "ETV4" "P14921" "P43268" 1 0
"2973" "ETS1" "F13A1" "P14921" "P00488" 1 0
"2974" "ETS1" "FAS" "P14921" "P25445" 1 0
"2975" "ETS1" "FASLG" "P14921" "P48023" 1 0
"2976" "ETS1" "FGFBP1" "P14921" "Q14512" 1 0
"2977" "ETS1" "FLI1" "P14921" "A0A024R3N6" 1 0
"2978" "ETS1" "FLT1" "P14921" "P17948" 1 0
"2979" "ETS1" "FOS" "P14921" "P01100" 1 0
"2980" "ETS1" "FOSL1" "P14921" "E9PPX2" 1 0
"2981" "ETS1" "FOXD1" "P14921" "Q16676" 1 0
"2982" "ETS1" "GABPA" "P14921" "A8IE48" 1 0
"2983" "ETS1" "GP5" "P14921" "P40197" 1 0
"2984" "ETS1" "GP6" "P14921" "Q9HCN6" 1 0
"2985" "ETS1" "GP9" "P14921" "P14770" 1 0
"2986" "ETS1" "GRPR" "P14921" "P30550" 1 0
"2987" "ETS1" "GZMB" "P14921" "J3KQ52" 1 0
"2988" "ETS1" "HMOX1" "P14921" "P09601" 1 0
"2989" "ETS1" "HPGD" "P14921" "P15428" 1 0
"2990" "ETS1" "IER5" "P14921" "Q5VY09" 1 0
"2991" "ETS1" "IL10" "P14921" "P22301" 1 0
"2992" "ETS1" "IL12B" "P14921" "P29460" 1 0
"2993" "ETS1" "IL2" "P14921" "P60568" 0 1
"2994" "ETS1" "IL2RB" "P14921" "P14784" 1 0
"2995" "ETS1" "IL3" "P14921" "P08700" 1 0
"2996" "ETS1" "IL5" "P14921" "P05113" 1 0
"2997" "ETS1" "ITGA4" "P14921" "P13612" 1 0
"2998" "ETS1" "ITGA5" "P14921" "B2R627" 1 0
"2999" "ETS1" "ITGB3" "P14921" "P05106" 1 0
"3000" "ETS1" "JAK3" "P14921" "A0A024R7M7" 1 0
"3001" "ETS1" "LCK" "P14921" "A0A0S2Z3Y8" 1 0
"3002" "ETS1" "LCP1" "P14921" "A0A024RDT4" 1 0
"3003" "ETS1" "LTB" "P14921" "Q06643" 1 0
"3004" "ETS1" "LTF" "P14921" "P02788" 1 0
"3005" "ETS1" "MCL1" "P14921" "A0A087WT64" 1 0
"3006" "ETS1" "MDM2" "P14921" "A0A0A8KB75" 0 1
"3007" "ETS1" "MET" "P14921" "A0A024R759" 1 0
"3008" "ETS1" "MGAT5" "P14921" "Q09328" 1 0
"3009" "ETS1" "MGAT5B" "P14921" "Q3V5L5" 1 0
"3010" "ETS1" "MMP1" "P14921" "B4DN15" 1 0
"3011" "ETS1" "MMP13" "P14921" "P45452" 1 0
"3012" "ETS1" "MMP2" "P14921" "P08253" 1 0
"3013" "ETS1" "MMP3" "P14921" "P08254" 1 0
"3014" "ETS1" "MMP9" "P14921" "P14780" 1 0
"3015" "ETS1" "MPL" "P14921" "P40238" 1 0
"3016" "ETS1" "MYB" "P14921" "P10242" 1 0
"3017" "ETS1" "NDRG1" "P14921" "Q92597" 0 1
"3018" "ETS1" "NFKB1" "P14921" "A0A024RDJ4" 1 0
"3019" "ETS1" "NOS3" "P14921" "P29474" 1 0
"3020" "ETS1" "NRP1" "P14921" "O14786" 1 0
"3021" "ETS1" "OAS2" "P14921" "P29728" 1 0
"3022" "ETS1" "PARP1" "P14921" "A0A024R3T8" 1 0
"3023" "ETS1" "PCSK6" "P14921" "A2RQD9" 1 0
"3024" "ETS1" "PF4" "P14921" "P02776" 1 0
"3025" "ETS1" "PLAU" "P14921" "P00749" 1 0
"3026" "ETS1" "POLD1" "P14921" "A0A024R4F4" 1 0
"3027" "ETS1" "POR" "P14921" "P16435" 1 0
"3028" "ETS1" "PRL" "P14921" "P01236" 1 0
"3029" "ETS1" "PSEN1" "P14921" "A0A024R6A3" 1 0
"3030" "ETS1" "PTGS2" "P14921" "P35354" 1 0
"3031" "ETS1" "PTHLH" "P14921" "P12272" 1 0
"3032" "ETS1" "RAD51" "P14921" "Q06609" 1 0
"3033" "ETS1" "RUNX1" "P14921" "Q01196" 1 0
"3034" "ETS1" "SLC19A1" "P14921" "P41440" 1 0
"3035" "ETS1" "SLC26A3" "P14921" "P40879" 1 0
"3036" "ETS1" "SMAD4" "P14921" "A0A024R274" 1 0
"3037" "ETS1" "SOCS1" "P14921" "O15524" 1 0
"3038" "ETS1" "SPRY2" "P14921" "O43597" 1 0
"3039" "ETS1" "SURF1" "P14921" "A0A087WYS9" 1 0
"3040" "ETS1" "TAF12" "P14921" "Q16514" 1 0
"3041" "ETS1" "TBXA2R" "P14921" "P21731" 1 0
"3042" "ETS1" "TBXAS1" "P14921" "P24557" 0 1
"3043" "ETS1" "TCEAL1" "P14921" "Q15170" 1 0
"3044" "ETS1" "TERT" "P14921" "O14746" 0 1
"3045" "ETS1" "TFAP2A" "P14921" "P05549" 1 0
"3046" "ETS1" "TFRC" "P14921" "P02786" 1 0
"3047" "ETS1" "TGFBR2" "P14921" "D2JYI1" 1 0
"3048" "ETS1" "THBS1" "P14921" "P07996" 1 0
"3049" "ETS1" "TIMP1" "P14921" "P01033" 0 1
"3050" "ETS1" "TNC" "P14921" "B4E1W8" 1 0
"3051" "ETS1" "TNF" "P14921" "P01375" 1 0
"3052" "ETS1" "TNFRSF10A" "P14921" "O00220" 1 0
"3053" "ETS1" "TNFRSF10B" "P14921" "O14763" 1 0
"3054" "ETS1" "TNFRSF8" "P14921" "A5D8T4" 1 0
"3055" "ETS1" "TNFSF14" "P14921" "O43557" 1 0
"3056" "ETS1" "TOM1" "P14921" "B3KUF5" 1 0
"3057" "ETS1" "TP53" "P14921" "K7PPA8" 1 0
"3058" "ETS1" "TTYH3" "P14921" "A0A024R816" 1 0
"3059" "ETS1" "VEGFA" "P14921" "A0A087WUD8" 1 0
"3060" "ETS1" "VWF" "P14921" "P04275" 1 0
"3061" "ETS1" "WAS" "P14921" "A0A024QYX8" 1 0
"3062" "ETS1" "WT1" "P14921" "A0A1W2PQQ0" 1 0
"3063" "ETS1" "ZNF175" "P14921" "Q9Y473" 1 0
"3064" "ETS2" "ANGPT2" "P15036" "O15123" 1 0
"3065" "ETS2" "ANPEP" "P15036" "A0A024RC61" 1 0
"3066" "ETS2" "BRCA1" "P15036" "P38398" 1 0
"3067" "ETS2" "CD163" "P15036" "Q86VB7" 1 0
"3068" "ETS2" "CDK1" "P15036" "B7Z3D6" 1 0
"3069" "ETS2" "CDKN2A" "P15036" "K7PML8" 1 0
"3070" "ETS2" "CGA" "P15036" "P01215" 1 0
"3071" "ETS2" "CHRNE" "P15036" "Q04844" 1 0
"3072" "ETS2" "CSF2" "P15036" "P04141" 1 0
"3073" "ETS2" "CSF3R" "P15036" "Q99062" 1 0
"3074" "ETS2" "EGR1" "P15036" "P18146" 1 0
"3075" "ETS2" "ERG" "P15036" "B4DN83" 1 0
"3076" "ETS2" "FLI1" "P15036" "A0A024R3N6" 1 0
"3077" "ETS2" "FOS" "P15036" "P01100" 1 0
"3078" "ETS2" "FOSL1" "P15036" "E9PPX2" 1 0
"3079" "ETS2" "ICAM1" "P15036" "P05362" 1 0
"3080" "ETS2" "IL12B" "P15036" "P29460" 1 0
"3081" "ETS2" "IL5" "P15036" "P05113" 1 0
"3082" "ETS2" "JAK3" "P15036" "A0A024R7M7" 1 0
"3083" "ETS2" "MDM2" "P15036" "A0A0A8KB75" 1 0
"3084" "ETS2" "MMP3" "P15036" "P08254" 1 0
"3085" "ETS2" "MMP9" "P15036" "P14780" 1 0
"3086" "ETS2" "MSR1" "P15036" "P21757" 1 0
"3087" "ETS2" "MYC" "P15036" "A0A087WVR4" 1 0
"3088" "ETS2" "PDE7A" "P15036" "Q13946" 1 0
"3089" "ETS2" "PSEN1" "P15036" "A0A024R6A3" 1 0
"3090" "ETS2" "PTHLH" "P15036" "P12272" 1 0
"3091" "ETS2" "TERT" "P15036" "O14746" 1 0
"3092" "ETS2" "TP53" "P15036" "K7PPA8" 1 0
"3093" "ETS2" "VWF" "P15036" "P04275" 1 0
"3094" "ETV1" "ADAMTSL3" "P50549" "P82987" 1 0
"3095" "ETV1" "ANKRD44" "P50549" "Q8N8A2" 1 0
"3096" "ETV1" "BIRC6" "P50549" "Q9NR09" 1 0
"3097" "ETV1" "CDK18" "P50549" "A0A024R996" 1 0
"3098" "ETV1" "CGGBP1" "P50549" "Q9UFW8" 1 0
"3099" "ETV1" "COQ8A" "P50549" "A0A024R3S3" 1 0
"3100" "ETV1" "CTTN" "P50549" "Q14247" 1 0
"3101" "ETV1" "DUSP6" "P50549" "A0A024RBC1" 1 0
"3102" "ETV1" "ERCC1" "P50549" "P07992" 1 0
"3103" "ETV1" "FMR1" "P50549" "Q06787" 1 0
"3104" "ETV1" "IQGAP2" "P50549" "B7Z7U6" 1 0
"3105" "ETV1" "ISG20L2" "P50549" "Q9H9L3" 1 0
"3106" "ETV1" "JMJD6" "P50549" "Q6NYC1" 1 0
"3107" "ETV1" "KCNN3" "P50549" "A0A087WYJ0" 1 0
"3108" "ETV1" "KDM5A" "P50549" "P29375" 1 0
"3109" "ETV1" "LIMCH1" "P50549" "Q9UPQ0" 1 0
"3110" "ETV1" "MATN2" "P50549" "O00339" 1 0
"3111" "ETV1" "MZF1" "P50549" "P28698" 1 0
"3112" "ETV1" "NAV1" "P50549" "Q8NEY1" 1 0
"3113" "ETV1" "NFIA" "P50549" "Q12857" 1 0
"3114" "ETV1" "NSMCE1" "P50549" "Q8WV22" 1 0
"3115" "ETV1" "PDE9A" "P50549" "A0A0S2Z4A3" 1 0
"3116" "ETV1" "RAP1GAP" "P50549" "P47736" 1 0
"3117" "ETV1" "SEC14L1" "P50549" "A5PLM6" 1 0
"3118" "ETV1" "TANK" "P50549" "B2R7S3" 1 0
"3119" "ETV1" "TCF4" "P50549" "B3KVA4" 1 0
"3120" "ETV1" "TNIK" "P50549" "Q9UKE5" 1 0
"3121" "ETV1" "UTRN" "P50549" "P46939" 1 0
"3122" "ETV1" "WDR37" "P50549" "Q9Y2I8" 1 0
"3123" "ETV4" "AGTR1" "P43268" "P30556" 1 0
"3124" "ETV4" "BDKRB1" "P43268" "P46663" 1 0
"3125" "ETV4" "ERBB2" "P43268" "P04626" 0 1
"3126" "ETV4" "ETS1" "P43268" "P14921" 1 0
"3127" "ETV4" "MMP2" "P43268" "P08253" 1 0
"3128" "ETV4" "MMP7" "P43268" "P09237" 1 0
"3129" "ETV4" "MUC4" "P43268" "A0A0G2JS65" 1 0
"3130" "ETV4" "PLAUR" "P43268" "Q03405" 1 0
"3131" "ETV4" "PTGS2" "P43268" "P35354" 1 0
"3132" "ETV4" "SYN2" "P43268" "A0A087X2E3" 1 0
"3133" "ETV4" "TGFBR2" "P43268" "D2JYI1" 1 0
"3134" "ETV4" "TIMP2" "P43268" "A0A140VK57" 1 0
"3135" "ETV4" "TNF" "P43268" "P01375" 1 0
"3136" "ETV4" "VIM" "P43268" "P08670" 1 0
"3137" "ETV4" "WT1" "P43268" "A0A1W2PQQ0" 1 0
"3138" "FLI1" "ERG" "A0A024R3N6" "B4DN83" 1 0
"3139" "FLI1" "EYA3" "A0A024R3N6" "Q99504" 1 0
"3140" "FLI1" "FOS" "A0A024R3N6" "P01100" 1 0
"3141" "FLI1" "GATA1" "A0A024R3N6" "P15976" 1 0
"3142" "FLI1" "GP6" "A0A024R3N6" "Q9HCN6" 1 0
"3143" "FLI1" "GP9" "A0A024R3N6" "P14770" 1 0
"3144" "FLI1" "HMOX1" "A0A024R3N6" "P09601" 1 0
"3145" "FLI1" "ID2" "A0A024R3N6" "Q02363" 1 0
"3146" "FLI1" "IGFBP3" "A0A024R3N6" "B3KPF0" 0 1
"3147" "FLI1" "ITGA2B" "A0A024R3N6" "P08514" 1 0
"3148" "FLI1" "MPL" "A0A024R3N6" "P40238" 1 0
"3149" "FLI1" "TERT" "A0A024R3N6" "O14746" 1 0
"3150" "FLI1" "TGFBR2" "A0A024R3N6" "D2JYI1" 1 0
"3151" "FOS" "ACP5" "P01100" "A0A024R7F8" 1 0
"3152" "FOS" "ACTA1" "P01100" "P68133" 1 0
"3153" "FOS" "ARNT" "P01100" "A8K6P0" 1 0
"3154" "FOS" "BATF3" "P01100" "Q9NR55" 1 0
"3155" "FOS" "BCL2L1" "P01100" "Q07817" 1 0
"3156" "FOS" "BCL2L11" "P01100" "O43521" 1 0
"3157" "FOS" "CCL2" "P01100" "P13500" 1 0
"3158" "FOS" "CCL5" "P01100" "D0EI67" 1 0
"3159" "FOS" "CCND1" "P01100" "P24385" 0 1
"3160" "FOS" "CD40LG" "P01100" "P29965" 1 0
"3161" "FOS" "CD69" "P01100" "Q07108" 1 0
"3162" "FOS" "CDH1" "P01100" "B3GN61" 1 0
"3163" "FOS" "CDK4" "P01100" "A0A024RBB6" 1 0
"3164" "FOS" "CDKN1A" "P01100" "A0A024RCX5" 1 0
"3165" "FOS" "CLU" "P01100" "P10909" 0 1
"3166" "FOS" "CREM" "P01100" "Q03060" 1 0
"3167" "FOS" "CSF2" "P01100" "P04141" 1 0
"3168" "FOS" "CSTA" "P01100" "P01040" 1 0
"3169" "FOS" "CTSL" "P01100" "A0A024R276" 1 0
"3170" "FOS" "CXCL8" "P01100" "A0A024RDA5" 1 0
"3171" "FOS" "DDIT3" "P01100" "P35638" 1 0
"3172" "FOS" "ERCC1" "P01100" "P07992" 1 0
"3173" "FOS" "ERCC4" "P01100" "A0A1W1GSK9" 1 0
"3174" "FOS" "EZR" "P01100" "P15311" 1 0
"3175" "FOS" "FAS" "P01100" "P25445" 1 0
"3176" "FOS" "FASLG" "P01100" "P48023" 1 0
"3177" "FOS" "FASN" "P01100" "P49327" 1 0
"3178" "FOS" "FGF2" "P01100" "A0A087WUF6" 1 0
"3179" "FOS" "FOSL1" "P01100" "E9PPX2" 1 0
"3180" "FOS" "FOXA1" "P01100" "P55317" 1 0
"3181" "FOS" "GATA3" "P01100" "P23771" 1 0
"3182" "FOS" "GREB1" "P01100" "Q4ZG55" 1 0
"3183" "FOS" "GSTP1" "P01100" "P09211" 1 0
"3184" "FOS" "HLA-DRA" "P01100" "A0A0G2JMH6" 1 0
"3185" "FOS" "HSPA1A" "P01100" "A8K5I0" 1 0
"3186" "FOS" "HSPH1" "P01100" "A0A024RDQ0" 1 0
"3187" "FOS" "IL12A" "P01100" "O60595" 1 0
"3188" "FOS" "IL12B" "P01100" "P29460" 1 0
"3189" "FOS" "IL1A" "P01100" "P01583" 1 0
"3190" "FOS" "IL1B" "P01100" "P01584" 1 0
"3191" "FOS" "IL2" "P01100" "P60568" 1 0
"3192" "FOS" "IL2RA" "P01100" "P01589" 1 0
"3193" "FOS" "IL4R" "P01100" "P24394" 1 0
"3194" "FOS" "IL6" "P01100" "B4DVM1" 1 0
"3195" "FOS" "ITGA5" "P01100" "B2R627" 1 0
"3196" "FOS" "LOXL4" "P01100" "Q96JB6" 1 0
"3197" "FOS" "LRIG2" "P01100" "O94898" 1 0
"3198" "FOS" "MAF" "P01100" "O75444" 1 0
"3199" "FOS" "MMP1" "P01100" "B4DN15" 1 0
"3200" "FOS" "MMP2" "P01100" "P08253" 1 0
"3201" "FOS" "MMP3" "P01100" "P08254" 1 0
"3202" "FOS" "MMP7" "P01100" "P09237" 1 0
"3203" "FOS" "MMP9" "P01100" "P14780" 1 0
"3204" "FOS" "MYC" "P01100" "A0A087WVR4" 0 1
"3205" "FOS" "NAT1" "P01100" "P18440" 1 0
"3206" "FOS" "NEFL" "P01100" "P07196" 1 0
"3207" "FOS" "NFATC1" "P01100" "O95644" 1 0
"3208" "FOS" "NFKB1" "P01100" "A0A024RDJ4" 0 1
"3209" "FOS" "NGF" "P01100" "P01138" 1 0
"3210" "FOS" "NOS1" "P01100" "A0PJJ7" 1 0
"3211" "FOS" "NOS2" "P01100" "P35228" 1 0
"3212" "FOS" "NPPA" "P01100" "P01160" 1 0
"3213" "FOS" "NQO1" "P01100" "P15559" 1 0
"3214" "FOS" "NR3C1" "P01100" "F1D8N4" 1 0
"3215" "FOS" "NTF3" "P01100" "P20783" 1 0
"3216" "FOS" "NTS" "P01100" "P30990" 1 0
"3217" "FOS" "PDGFB" "P01100" "P01127" 1 0
"3218" "FOS" "PDHA1" "P01100" "A0A024RBX9" 1 0
"3219" "FOS" "PENK" "P01100" "A0A024R7V4" 1 0
"3220" "FOS" "PGR" "P01100" "P06401" 1 0
"3221" "FOS" "PLA2G4A" "P01100" "B4DZI4" 1 0
"3222" "FOS" "PLAU" "P01100" "P00749" 1 0
"3223" "FOS" "PLAUR" "P01100" "Q03405" 1 0
"3224" "FOS" "PPARD" "P01100" "A0A024RCW6" 1 0
"3225" "FOS" "PTGS2" "P01100" "P35354" 1 0
"3226" "FOS" "RUNX2" "P01100" "Q13950" 1 0
"3227" "FOS" "SMAD4" "P01100" "A0A024R274" 1 0
"3228" "FOS" "SMAD7" "P01100" "O15105" 1 0
"3229" "FOS" "SP3" "P01100" "Q02447" 1 0
"3230" "FOS" "SPRR3" "P01100" "Q9UBC9" 1 0
"3231" "FOS" "SRR" "P01100" "Q3ZK31" 1 0
"3232" "FOS" "STAR" "P01100" "P49675" 1 0
"3233" "FOS" "STIM1" "P01100" "G0XQ39" 1 0
"3234" "FOS" "TNFAIP6" "P01100" "P98066" 1 0
"3235" "FOS" "TP53" "P01100" "K7PPA8" 1 0
"3236" "FOS" "UBP1" "P01100" "A0A024R2J0" 1 0
"3237" "FOS" "VDR" "P01100" "F1D8P8" 1 0
"3238" "FOS" "VEGFA" "P01100" "A0A087WUD8" 1 0
"3239" "FOSL1" "CDKN2A" "E9PPX2" "K7PML8" 1 0
"3240" "FOSL1" "CLU" "E9PPX2" "P10909" 1 0
"3241" "FOSL1" "ELN" "E9PPX2" "P15502" 1 0
"3242" "FOSL1" "GCLC" "E9PPX2" "E1CEI4" 1 0
"3243" "FOSL1" "IL6" "E9PPX2" "B4DVM1" 1 0
"3244" "FOSL1" "ITGB3" "E9PPX2" "P05106" 0 1
"3245" "FOSL1" "IVL" "E9PPX2" "P07476" 1 0
"3246" "FOSL1" "MMP1" "E9PPX2" "B4DN15" 1 0
"3247" "FOSL1" "MMP9" "E9PPX2" "P14780" 1 0
"3248" "FOSL1" "NQO1" "E9PPX2" "P15559" 1 0
"3249" "FOSL1" "PLAUR" "E9PPX2" "Q03405" 1 0
"3250" "FOSL2" "BCL6" "P15408" "P41182" 1 0
"3251" "FOSL2" "BRCA1" "P15408" "P38398" 1 0
"3252" "FOSL2" "CCR4" "P15408" "A0N0Q1" 1 0
"3253" "FOSL2" "CLU" "P15408" "P10909" 1 0
"3254" "FOSL2" "FOSL1" "P15408" "E9PPX2" 1 0
"3255" "FOSL2" "IVL" "P15408" "P07476" 1 0
"3256" "FOSL2" "MMP13" "P15408" "P45452" 1 0
"3257" "FOSL2" "NOS2" "P15408" "P35228" 1 0
"3258" "FOSL2" "PLAUR" "P15408" "Q03405" 1 0
"3259" "FOSL2" "UGT2B15" "P15408" "P54855" 1 0
"3260" "FOXA1" "ABCA1" "P55317" "B2RUU2" 0 1
"3261" "FOXA1" "AGR2" "P55317" "O95994" 1 0
"3262" "FOXA1" "APOA1" "P55317" "A0A024R3E3" 1 0
"3263" "FOXA1" "APOB" "P55317" "P04114" 1 0
"3264" "FOXA1" "BCL2" "P55317" "A0A024R2B3" 0 1
"3265" "FOXA1" "BRCA1" "P55317" "P38398" 1 0
"3266" "FOXA1" "CCNG2" "P55317" "A0A024RDC7" 1 0
"3267" "FOXA1" "CEBPA" "P55317" "P49715" 1 0
"3268" "FOXA1" "CFTR" "P55317" "A0A024R730" 0 1
"3269" "FOXA1" "CYP7A1" "P55317" "P22680" 1 0
"3270" "FOXA1" "ERBB3" "P55317" "P21860" 1 0
"3271" "FOXA1" "ESR1" "P55317" "G4XH65" 1 0
"3272" "FOXA1" "FOXC1" "P55317" "Q12948" 1 0
"3273" "FOXA1" "G6PC" "P55317" "P35575" 1 0
"3274" "FOXA1" "GREB1" "P55317" "Q4ZG55" 1 0
"3275" "FOXA1" "HSPA1A" "P55317" "A8K5I0" 1 0
"3276" "FOXA1" "IFI27" "P55317" "A8K0H0" 1 0
"3277" "FOXA1" "KLK3" "P55317" "P07288" 1 0
"3278" "FOXA1" "KRT7" "P55317" "P08729" 1 0
"3279" "FOXA1" "MUC4" "P55317" "A0A0G2JS65" 1 0
"3280" "FOXA1" "MYC" "P55317" "A0A087WVR4" 1 0
"3281" "FOXA1" "NF1" "P55317" "P21359" 1 0
"3282" "FOXA1" "PDX1" "P55317" "P52945" 1 0
"3283" "FOXA1" "RET" "P55317" "P07949" 1 0
"3284" "FOXA1" "RPRM" "P55317" "Q9NS64" 0 1
"3285" "FOXA1" "SCGB1A1" "P55317" "A0A0S2Z4R6" 1 0
"3286" "FOXA1" "SFTPB" "P55317" "D6W5L6" 1 0
"3287" "FOXA1" "TFF1" "P55317" "P04155" 1 0
"3288" "FOXA1" "TTR" "P55317" "E9KL36" 1 0
"3289" "FOXA1" "UGT2B15" "P55317" "P54855" 1 0
"3290" "FOXA1" "UGT2B17" "P55317" "O75795" 1 0
"3291" "FOXA2" "APOA1" "B0ZTD4" "A0A024R3E3" 1 0
"3292" "FOXA2" "CDH1" "B0ZTD4" "B3GN61" 1 0
"3293" "FOXA2" "CFTR" "B0ZTD4" "A0A024R730" 0 1
"3294" "FOXA2" "CYP7A1" "B0ZTD4" "P22680" 1 0
"3295" "FOXA2" "G6PC" "B0ZTD4" "P35575" 1 0
"3296" "FOXA2" "HHEX" "B0ZTD4" "Q03014" 1 0
"3297" "FOXA2" "MUC4" "B0ZTD4" "A0A0G2JS65" 1 0
"3298" "FOXA2" "PDX1" "B0ZTD4" "P52945" 1 0
"3299" "FOXA2" "TTR" "B0ZTD4" "E9KL36" 1 0
"3300" "FOXA2" "TCF7L2" "B0ZTD4" "Q9NQB0" 1 0
"3301" "FOXA2" "WWC1" "B0ZTD4" "Q8IX03" 1 0
"3302" "FOXJ2" "SUN1" "Q9P0K8" "O94901" 1 0
"3303" "FOXJ2" "ANTXR2" "Q9P0K8" "P58335" 1 0
"3304" "FOXJ2" "ARID4A" "Q9P0K8" "A0A024R657" 1 0
"3305" "FOXJ2" "AZI2" "Q9P0K8" "Q9H6S1" 1 0
"3306" "FOXJ2" "BFSP1" "Q9P0K8" "B7Z999" 1 0
"3307" "FOXJ2" "CASC1" "Q9P0K8" "B4E376" 1 0
"3308" "FOXJ2" "CC2D2A" "Q9P0K8" "Q9P2K1" 1 0
"3309" "FOXJ2" "CFAP69" "Q9P0K8" "A5D8W1" 1 0
"3310" "FOXJ2" "CRB1" "Q9P0K8" "P82279" 1 0
"3311" "FOXJ2" "CWC27" "Q9P0K8" "Q6UX04" 1 0
"3312" "FOXJ2" "DNAJC16" "Q9P0K8" "Q9Y2G8" 1 0
"3313" "FOXJ2" "ERMN" "Q9P0K8" "Q8TAM6" 1 0
"3314" "FOXJ2" "FAM13A" "Q9P0K8" "O94988" 1 0
"3315" "FOXJ2" "FAM81B" "Q9P0K8" "Q96LP2" 1 0
"3316" "FOXJ2" "FHL1" "Q9P0K8" "Q13642" 1 0
"3317" "FOXJ2" "FOXP1" "Q9P0K8" "Q9H334" 1 0
"3318" "FOXJ2" "HBP1" "Q9P0K8" "B4DJ36" 1 0
"3319" "FOXJ2" "HIBADH" "Q9P0K8" "A0A024RA75" 1 0
"3320" "FOXJ2" "JAK1" "Q9P0K8" "P23458" 1 0
