ligand	ligand_cell_source	receptor_cat	receptor_cat_sh	receptor_cat_count	mean_num_imm_cells	num_receptors_targeted	receptors_in_group	sum_incoming_receptors	log_sum_incoming_receptors
HLA-F	ciliated_cells	LILRs	LILRs	2	4	1	LILRA3,LILRB2	6	1.79175946922805
HSPA1A	ciliated_cells	ENPP1	ENPP1	1	2	1	ENPP1	1	0
HSPA1A	ciliated_cells	NODs	NODs	1	4	1	NOD2	1	0
HSPA1A	ciliated_cells	NRs	NRs	1	9	1	NR3C1	2	0.693147180559945
HSPA1A	ciliated_cells	TLRs	TLRs	5	1	1	TLR2,TLR3,TLR4,TLR5,TLR6	9	2.19722457733622
LCN2	ciliated_cells	NRs	NRs	1	9	1	NR3C1	2	0.693147180559945
LCN2	ciliated_cells	PKDs	PKDs	1	4	1	PKD1	1	0
LYPD3	ciliated_cells	AGRs	AGRs	1	6	1	AGR2	2	0.693147180559945
MDK	ciliated_cells	ITGs	ITGs	17	6.33333333333333	3	ITGA1,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA9,ITGAM,ITGAV,ITGB1,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8	25	3.2188758248682
MDK	ciliated_cells	LRPs	LRPs	1	4	1	LRP1	2	0.693147180559945
MDK	ciliated_cells	SDs	SDs	2	1	2	SDC1,SDC3	4	1.38629436111989
MDK	ciliated_cells	TSPs	TSPs	2	6	1	TSPAN1	1	0
MIF	ciliated_cells	CDs	CDs	7	10	1	CD247,CD33,CD3D,CD3G,CD4,CD5,CD74	17	2.83321334405622
MIF	ciliated_cells	CXCRs	CXCRs	6	4.5	2	CX3CR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6	21	3.04452243772342
MIF	ciliated_cells	TNFRs	TNFRs	1	2	1	TNFRSF10D	1	0
MUC2	ciliated_cells	AGRs	AGRs	1	6	1	AGR2	2	0.693147180559945
PI3	ciliated_cells	PLs	PLs	4	3	1	PLA2R1,PLD2,PLSCR1,PLSCR4	5	1.6094379124341
PLA2G10	ciliated_cells	PLs	PLs	4	1	1	PLA2R1,PLD2,PLSCR1,PLSCR4	5	1.6094379124341
PLAT	ciliated_cells	ITGs	ITGs	17	6	1	ITGA1,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA9,ITGAM,ITGAV,ITGB1,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8	25	3.2188758248682
PLAT	ciliated_cells	LRPs	LRPs	1	4	1	LRP1	2	0.693147180559945
S100A4	ciliated_cells	AKTs	AKTs	1	8	1	AKT1	2	0.693147180559945
S100A6	ciliated_cells	ESRs	ESRs	1	1	1	ESR1	2	0.693147180559945
S100A8	ciliated_cells	TLRs	TLRs	5	1	1	TLR2,TLR3,TLR4,TLR5,TLR6	9	2.19722457733622
SAA1	ciliated_cells	Fs	Fs	3	5	1	F3,FCGR2A,FCRL4	4	1.38629436111989
SAA1	ciliated_cells	TLRs	TLRs	5	2	1	TLR2,TLR3,TLR4,TLR5,TLR6	9	2.19722457733622
SCGB3A1	ciliated_cells	MARCO	MARCO	1	1	1	MARCO	1	0
