source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
FOXP1	HECTD1	Q9H334	Q9ULT8	0	1
FOXP1	HIVEP2	Q9H334	P31629	0	1
FOXP1	IGF1R	Q9H334	P08069	0	1
FOXP1	ITGA4	Q9H334	P13612	0	1
FOXP1	ITPR1	Q9H334	B4DER3	0	1
FOXP1	JADE2	Q9H334	A0A0C4DFT8	0	1
FOXP1	KDM4C	Q9H334	Q9H3R0	0	1
FOXP1	KIAA1217	Q9H334	Q5T5P2	0	1
FOXP1	LAMC1	Q9H334	P11047	0	1
FOXP1	LIMCH1	Q9H334	Q9UPQ0	0	1
FOXP1	LIMS1	Q9H334	P48059	0	1
FOXP1	LNX1	Q9H334	Q8TBB1	0	1
FOXP1	LRIG1	Q9H334	Q96JA1	0	1
FOXP1	LSAMP	Q9H334	B7Z661	0	1
FOXP1	LTBP1	Q9H334	Q14766	0	1
FOXP1	MAD1L1	Q9H334	Q9Y6D9	0	1
FOXP1	MAGI1	Q9H334	Q96QZ7	0	1
FOXP1	MAML3	Q9H334	Q96JK9	0	1
FOXP1	MAP2	Q9H334	P11137	0	1
FOXP1	MCTP1	Q9H334	Q6DN14	0	1
FOXP1	MCTP2	Q9H334	Q6DN12	0	1
FOXP1	MECOM	Q9H334	Q03112	0	1
FOXP1	MIPOL1	Q9H334	A8K735	0	1
FOXP1	MPZL1	Q9H334	O95297	0	1
FOXP1	MSI2	Q9H334	B4DHE8	0	1
FOXP1	MTA3	Q9H334	D6W5A2	0	1
FOXP1	NAV2	Q9H334	A7E2D6	0	1
FOXP1	NCOR2	Q9H334	C9JE98	0	1
FOXP1	NPAS3	Q9H334	Q8IXF0	0	1
FOXP1	NRP2	Q9H334	O60462	0	1
FOXP1	NRXN3	Q9H334	Q9HDB5	0	1
FOXP1	NUP98	Q9H334	P52948	0	1
FOXP1	PACS1	Q9H334	A0A024R5H6	0	1
FOXP1	PARP1	Q9H334	A0A024R3T8	0	1
FOXP1	PDE4B	Q9H334	Q07343	0	1
FOXP1	PDS5B	Q9H334	Q9NTI5	0	1
FOXP1	PHLPP1	Q9H334	O60346	0	1
FOXP1	PHTF2	Q9H334	Q8N3S3	0	1
FOXP1	PIK3R1	Q9H334	P27986	0	1
FOXP1	PIP4K2A	Q9H334	P48426	0	1
FOXP1	PLCB1	Q9H334	Q9NQ66	0	1
FOXP1	PMAIP1	Q9H334	A0A0S2Z490	0	1
FOXP1	POU2F1	Q9H334	P14859	0	1
FOXP1	PPP1R12A	Q9H334	B2RAH5	0	1
FOXP1	PREX1	Q9H334	Q8TCU6	0	1
FOXP1	PRKCB	Q9H334	P05771	0	1
FOXP1	PTCH1	Q9H334	Q13635	0	1
FOXP1	RABGAP1L	Q9H334	Q5R372	0	1
FOXP1	RAD51B	Q9H334	O15315	0	1
FOXP1	RAPGEF1	Q9H334	Q13905	0	1
FOXP1	RAPGEF4	Q9H334	Q8WZA2	0	1
FOXP1	RAPGEF5	Q9H334	A8MQ07	0	1
FOXP1	RBPJ	Q9H334	Q06330	0	1
FOXP1	RBPMS	Q9H334	Q93062	0	1
FOXP1	RERE	Q9H334	A0A024R4E9	0	1
FOXP1	RFTN1	Q9H334	Q14699	0	1
FOXP1	RIN2	Q9H334	Q8WYP3	0	1
FOXP1	ROCK1	Q9H334	Q13464	0	1
FOXP1	ROR2	Q9H334	Q01974	0	1
FOXP1	RPTOR	Q9H334	Q8N122	0	1
FOXP1	RUNX1	Q9H334	Q01196	0	1
FOXP1	SDK2	Q9H334	Q58EX2	0	1
FOXP1	SHANK2	Q9H334	Q9UPX8	0	1
FOXP1	SLC22A23	Q9H334	A1A5C7	0	1
FOXP1	SMARCC1	Q9H334	Q58EY4	0	1
FOXP1	SND1	Q9H334	A0A140VK49	0	1
FOXP1	SNX25	Q9H334	Q9H3E2	0	1
FOXP1	SORL1	Q9H334	A0A024R3H2	0	1
FOXP1	SPAG9	Q9H334	O60271	0	1
FOXP1	SPIDR	Q9H334	Q14159	0	1
FOXP1	SSBP2	Q9H334	A0A087X159	0	1
FOXP1	STAG1	Q9H334	Q4LE48	0	1
FOXP1	STAG2	Q9H334	Q6MZP3	0	1
FOXP1	STAT3	Q9H334	P40763	0	1
FOXP1	STIM2	Q9H334	B3KUB5	0	1
FOXP1	SVIL	Q9H334	O95425	0	1
FOXP1	TBC1D2B	Q9H334	Q9UPU7	0	1
FOXP1	TBXAS1	Q9H334	P24557	0	1
FOXP1	TCF12	Q9H334	F5GY10	0	1
FOXP1	TENM4	Q9H334	Q6N022	0	1
FOXP1	THADA	Q9H334	Q6YHU6	0	1
FOXP1	TPD52	Q9H334	P55327	0	1
FOXP1	TPP2	Q9H334	P29144	0	1
FOXP1	TRAPPC9	Q9H334	Q96Q05	0	1
FOXP1	TXNRD1	Q9H334	Q16881	0	1
FOXP1	U2SURP	Q9H334	O15042	0	1
FOXP1	UBE3C	Q9H334	Q15386	0	1
FOXP1	UST	Q9H334	Q9Y2C2	0	1
FOXP1	UTRN	Q9H334	P46939	0	1
FOXP1	VGLL4	Q9H334	G5E9M7	0	1
FOXP1	VPS13A	Q9H334	Q96RL7	0	1
FOXP1	VPS13C	Q9H334	Q709C8	0	1
FOXP1	VPS41	Q9H334	P49754	0	1
FOXP1	WNK1	Q9H334	Q9H4A3	0	1
FOXP1	XXYLT1	Q9H334	A0A140T9D0	0	1
FOXP1	YPEL3	Q9H334	A0A024R624	0	1
FOXP1	ZBTB16	Q9H334	A0A024R3C6	0	1
FOXP1	ZFAT	Q9H334	Q4KMQ4	0	1
FOXP1	ZFP36L1	Q9H334	A0A024R658	0	1
FOXP1	ZMYM2	Q9H334	A0A024RDS3	0	1
FOXP1	ZNF608	Q9H334	B3KPE6	0	1
FOXP2	CNTNAP2	B7ZLK5	A0A090N7T7	0	1
FOXP2	MET	B7ZLK5	A0A024R759	0	1
FOXP2	PLAUR	B7ZLK5	Q03405	1	0
FOXP2	ACOT7	B7ZLK5	O00154	0	1
FOXP2	ARHGEF4	B7ZLK5	Q9NR80	0	1
FOXP2	CDKN1A	B7ZLK5	A0A024RCX5	0	1
FOXP2	DIP2C	B7ZLK5	Q86XV3	0	1
FOXP2	FOXO3	B7ZLK5	O43524	0	1
FOXP2	FOXP1	B7ZLK5	Q9H334	0	1
FOXP2	FYN	B7ZLK5	P06241	0	1
FOXP2	GNAS	B7ZLK5	A0A0S2Z3H8	0	1
FOXP2	HIVEP3	B7ZLK5	Q5T1R4	0	1
FOXP2	IGF1R	B7ZLK5	P08069	0	1
FOXP2	KLHL23	B7ZLK5	Q8NBE8	0	1
FOXP2	MEIS2	B7ZLK5	A0A024R9L4	0	1
FOXP2	MGAT1	B7ZLK5	P26572	0	1
FOXP2	MXI1	B7ZLK5	A0A0S2Z3X5	0	1
FOXP2	NR3C1	B7ZLK5	F1D8N4	0	1
FOXP2	PBX1	B7ZLK5	A8K5V0	0	1
FOXP2	PLEKHA5	B7ZLK5	A0A024RAY7	0	1
FOXP2	PTCH1	B7ZLK5	Q13635	0	1
FOXP2	RBFOX2	B7ZLK5	O43251	0	1
FOXP2	RORA	B7ZLK5	A0A0C4DFP5	0	1
FOXP2	RUNX1	B7ZLK5	Q01196	0	1
FOXP2	SLC1A5	B7ZLK5	Q15758	0	1
FOXP2	SLC8A2	B7ZLK5	Q9UPR5	0	1
FOXP2	STAT1	B7ZLK5	P42224	0	1
FOXP2	TCF4	B7ZLK5	B3KVA4	0	1
FOXP2	TFAP4	B7ZLK5	Q01664	0	1
FOXP2	TGIF1	B7ZLK5	Q15583	0	1
FOXP2	TRIO	B7ZLK5	O75962	0	1
FOXP2	ZBTB4	B7ZLK5	Q9P1Z0	0	1
FOXP2	ZNF395	B7ZLK5	Q7L9C8	0	1
GABPA	BRCA1	A8IE48	P38398	1	0
GABPA	CDK13	A8IE48	A0A024RA85	1	0
GABPA	AAK1	A8IE48	Q2M2I8	1	0
GABPA	ACTB	A8IE48	P60709	1	0
GABPA	ARHGEF4	A8IE48	Q9NR80	1	0
GABPA	ARHGEF7	A8IE48	Q14155	1	0
GABPA	ARPC5L	A8IE48	A0A024R897	1	0
GABPA	ASPSCR1	A8IE48	Q9BZE9	1	0
GABPA	CAP1	A8IE48	D3DPU2	1	0
GABPA	CBX8	A8IE48	Q9HC52	1	0
GABPA	CCDC171	A8IE48	Q6TFL3	1	0
GABPA	DLG1	A8IE48	Q12959	1	0
GABPA	DOCK4	A8IE48	Q8N1I0	1	0
GABPA	EFR3A	A8IE48	Q14156	1	0
GABPA	ELOVL6	A8IE48	A0A024RDK5	1	0
GABPA	ERBB2	A8IE48	P04626	1	0
GABPA	ERCC1	A8IE48	P07992	1	0
GABPA	EXOC6	A8IE48	B3KXY5	1	0
GABPA	FRYL	A8IE48	B3KXG5	1	0
GABPA	IPO11	A8IE48	Q9UI26	1	0
GABPA	LARP4B	A8IE48	Q92615	1	0
GABPA	LIG4	A8IE48	A0A024RE06	1	0
GABPA	LSM4	A8IE48	U3KQK1	1	0
GABPA	MAD2L1BP	A8IE48	Q15013	1	0
GABPA	MARK2	A8IE48	Q7KZI7	1	0
GABPA	MBNL1	A8IE48	Q86VM6	1	0
GABPA	MED15	A8IE48	Q6PKB8	1	0
GABPA	NCOA2	A8IE48	Q15596	1	0
GABPA	NEK7	A8IE48	A0A024R964	1	0
GABPA	NFIB	A8IE48	O00712	1	0
GABPA	NIPBL	A8IE48	Q6KC79	1	0
GABPA	OXR1	A8IE48	Q8N573	1	0
GABPA	PNKP	A8IE48	Q96T60	1	0
GABPA	PTK2B	A8IE48	Q14289	1	0
GABPA	PTPN12	A8IE48	B4E105	1	0
GABPA	PTTG1IP	A8IE48	B4DPZ0	1	0
GABPA	RABGEF1	A8IE48	A0A0A0MSJ3	1	0
GABPA	RNF38	A8IE48	Q9H0F5	1	0
GABPA	SEC31A	A8IE48	O94979	1	0
GABPA	STIM2	A8IE48	B3KUB5	1	0
GABPA	TBC1D5	A8IE48	Q92609	1	0
GABPA	TCF12	A8IE48	F5GY10	1	0
GABPA	TM9SF3	A8IE48	A0A024QYS2	1	0
GABPA	TRAPPC10	A8IE48	P48553	1	0
GABPA	TSNARE1	A8IE48	E5RHT3	1	0
GABPA	UBR4	A8IE48	Q5T4S7	1	0
GABPA	UTRN	A8IE48	P46939	1	0
GABPA	VPS13B	A8IE48	Q7Z7G8	1	0
GABPA	VPS53	A8IE48	B3KS06	1	0
GABPA	WDR37	A8IE48	Q9Y2I8	1	0
GABPA	ZNF280D	A8IE48	Q6N043	1	0
GATA2	ADH1A	P23769	P07327	1	0
GATA2	AMOTL1	P23769	Q8IY63	1	0
GATA2	ANGPT2	P23769	O15123	1	0
GATA2	APEX1	P23769	P27695	0	1
GATA2	AR	P23769	P10275	1	0
GATA2	ARRDC4	P23769	A0A024RC80	1	0
GATA2	CCM2	P23769	Q9BSQ5	0	1
GATA2	CCRL2	P23769	O00421	1	0
GATA2	CTSH	P23769	P09668	1	0
GATA2	CYBB	P23769	A0A0S2Z3S6	0	1
GATA2	DPYSL2	P23769	A0A1C7CYX9	1	0
GATA2	EFCAB2	P23769	Q5VUJ9	0	1
GATA2	ELMO1	P23769	Q92556	1	0
GATA2	FCER1A	P23769	P12319	1	0
GATA2	FDPS	P23769	P14324	1	0
GATA2	FOXO3	P23769	O43524	1	0
GATA2	GPR146	P23769	A4D2Q3	1	0
GATA2	GULP1	P23769	Q9UBP9	0	1
GATA2	HMGB1	P23769	A0A024RDR0	1	0
GATA2	ICAM4	P23769	Q14773	1	0
GATA2	IL1RL1	P23769	Q01638	1	0
GATA2	LYL1	P23769	P12980	1	0
GATA2	MYC	P23769	A0A087WVR4	1	0
GATA2	NOS3	P23769	P29474	1	0
GATA2	PLSCR2	P23769	Q9NRY7	1	0
GATA2	PNPLA8	P23769	A0A024R746	0	1
GATA2	PPARG	P23769	E9PFX5	0	1
GATA2	PPP1R15A	P23769	O75807	1	0
GATA2	PSD4	P23769	Q8NDX1	1	0
GATA2	SGK1	P23769	O00141	0	1
GATA2	TGFB2	P23769	P61812	0	1
GATA2	TNFAIP8L1	P23769	Q8WVP5	1	0
GATA2	VWA5A	P23769	A0A024R3H3	1	0
GATA3	ABCC2	P23771	Q92887	1	0
GATA3	APBA1	P23771	Q02410	1	0
GATA3	ARNT2	P23771	Q7Z3A3	1	0
GATA3	ATP2B1	P23771	P20020	1	0
GATA3	ATXN10	P23771	Q9UBB4	1	0
GATA3	BCAS3	P23771	Q9H6U6	1	0
GATA3	BLCAP	P23771	P62952	1	0
GATA3	BPIFB1	P23771	Q8TDL5	1	0
GATA3	CD40LG	P23771	P29965	1	0
GATA3	CD8A	P23771	P01732	1	0
GATA3	CD8B	P23771	P10966	1	0
GATA3	CDH1	P23771	B3GN61	1	0
GATA3	EDN1	P23771	P05305	1	0
GATA3	EGFR	P23771	Q504U8	1	0
GATA3	EPHA7	P23771	Q15375	1	0
GATA3	EPOR	P23771	P19235	1	0
GATA3	ESR1	P23771	G4XH65	1	0
GATA3	FBXO11	P23771	Q86XK2	1	0
GATA3	FN1	P23771	B7ZLE5	1	0
GATA3	FNDC3B	P23771	Q53EP0	1	0
GATA3	FOXC1	P23771	Q12948	0	1
GATA3	GALNT10	P23771	Q86SR1	1	0
GATA3	GREB1	P23771	Q4ZG55	1	0
GATA3	GRM7	P23771	B2R693	1	0
GATA3	IFNG	P23771	P01579	1	0
GATA3	IL12RB2	P23771	B4DGA4	0	1
GATA3	IL13	P23771	P35225	1	0
GATA3	IL2RA	P23771	P01589	1	0
GATA3	IL4	P23771	D4HNR6	1	0
GATA3	IL4R	P23771	P24394	1	0
GATA3	IL5	P23771	P05113	1	0
GATA3	ITPK1	P23771	A0A024R6H3	1	0
GATA3	KMT2E	P23771	Q8IZD2	1	0
GATA3	MAF	P23771	O75444	1	0
GATA3	MDM2	P23771	A0A0A8KB75	1	0
GATA3	MYC	P23771	A0A087WVR4	1	0
GATA3	MYRIP	P23771	Q8NFW9	1	0
GATA3	NCOA3	P23771	Q59EE8	1	0
GATA3	NFKB1	P23771	A0A024RDJ4	1	0
GATA3	NRCAM	P23771	Q14CA1	1	0
GATA3	PDE3A	P23771	Q14432	1	0
GATA3	PDE7B	P23771	Q9NP56	1	0
GATA3	PPARG	P23771	E9PFX5	1	0
GATA3	RBMS1	P23771	A0A0S2Z499	1	0
GATA3	RHOH	P23771	Q15669	1	0
GATA3	SH3KBP1	P23771	Q96B97	1	0
GATA3	SLC24A3	P23771	Q9HC58	1	0
GATA3	SLCO4C1	P23771	Q6ZQN7	1	0
GATA3	SLIT2	P23771	O94813	1	0
GATA3	SPEF2	P23771	A0A140VKD0	1	0
GATA3	ST8SIA6	P23771	P61647	1	0
GATA3	SVIL	P23771	O95425	1	0
GATA3	TCF7L2	P23771	Q9NQB0	1	0
GATA3	TEK	P23771	Q02763	1	0
GATA3	TET2	P23771	A0A158SIU0	1	0
GATA3	TFF1	P23771	P04155	1	0
GATA3	TGFBR3	P23771	A0A0A8KWK3	1	0
GATA3	TLR5	P23771	O60602	1	0
GATA3	UST	P23771	Q9Y2C2	1	0
GATA3	VAPB	P23771	O95292	1	0
GATA3	ZEB1	P23771	B2RBI8	1	0
GATA3	ZNF217	P23771	O75362	1	0
GATA3	ZNF507	P23771	Q8TCN5	1	0
GATA3	ZXDC	P23771	Q2QGD7	1	0
GATA6	APOA1	Q92908	A0A024R3E3	1	0
GATA6	CYP17A1	Q92908	P05093	1	0
GATA6	SEMA6A	Q92908	A0A0A0MQU6	1	0
GATA6	SVIL	Q92908	O95425	1	0
GATA6	ABCC5	Q92908	O15440	1	0
GATA6	ATE1	Q92908	B3KWA3	1	0
GATA6	ATP2B1	Q92908	P20020	1	0
GATA6	BARX2	Q92908	Q9UMQ3	1	0
GATA6	BCAR3	Q92908	O75815	1	0
GATA6	BCAS3	Q92908	Q9H6U6	1	0
GATA6	BMPR1B	Q92908	O00238	1	0
GATA6	CEP128	Q92908	Q6ZU80	1	0
GATA6	CLIC5	Q92908	Q53G01	1	0
GATA6	CUX1	Q92908	P39880	1	0
GATA6	DLC1	Q92908	A8K119	1	0
GATA6	DPYSL2	Q92908	A0A1C7CYX9	1	0
GATA6	FILIP1L	Q92908	Q4L180	1	0
GATA6	FLNB	Q92908	O75369	1	0
GATA6	GALNT2	Q92908	B7Z6K2	1	0
GATA6	KRT18	Q92908	A0A024RAY2	1	0
GATA6	KRT8	Q92908	Q7L4M3	1	0
GATA6	LMCD1	Q92908	Q9NZU5	1	0
GATA6	MEF2C	Q92908	Q06413	1	0
GATA6	MICAL2	Q92908	O94851	1	0
GATA6	MID1	Q92908	A0A024RBV4	1	0
GATA6	MYLK	Q92908	Q05B97	1	0
GATA6	NR5A2	Q92908	O00482	1	0
GATA6	PCSK5	Q92908	Q92824	1	0
GATA6	PDE4D	Q92908	A0A140VJR0	1	0
GATA6	PHLDB2	Q92908	Q86SQ0	1	0
GATA6	PKDCC	Q92908	Q504Y2	1	0
GATA6	PKIB	Q92908	Q9C010	1	0
GATA6	PLCB4	Q92908	Q15147	1	0
GATA6	PLEKHA7	Q92908	E9PKC0	1	0
GATA6	PRDM16	Q92908	Q9HAZ2	1	0
GATA6	PTK2B	Q92908	Q14289	1	0
GATA6	RBM47	Q92908	A0AV96	1	0
GATA6	RGS3	Q92908	A0A024R831	1	0
GATA6	SH3KBP1	Q92908	Q96B97	1	0
GATA6	SH3RF2	Q92908	Q08AM8	1	0
GATA6	SIPA1L2	Q92908	Q9P2F8	1	0
GATA6	SLC15A2	Q92908	Q16348	1	0
GATA6	SOX6	Q92908	P35712	1	0
GATA6	SPTB	Q92908	P11277	1	0
GATA6	STARD13	Q92908	Q9Y3M8	1	0
GATA6	SYNE1	Q92908	B4E3R1	1	0
GATA6	SYNE2	Q92908	Q8WXH0	1	0
GATA6	TBC1D1	Q92908	Q86TI0	1	0
GATA6	TMSB4X	Q92908	A2VCK8	1	0
GATA6	ZFP36L1	Q92908	A0A024R658	1	0
GATAD1	AKAP9	Q8WUU5	Q5GIA7	1	0
GATAD1	CDKN2A	Q8WUU5	K7PML8	1	0
GATAD1	CEP57	Q8WUU5	Q86XR8	1	0
GATAD1	DDB2	Q8WUU5	Q92466	1	0
GATAD1	IFT140	Q8WUU5	Q96RY7	1	0
GATAD1	LRRC28	Q8WUU5	A0A024RC88	1	0
GATAD1	OGT	Q8WUU5	O15294	1	0
GATAD1	PAAF1	Q8WUU5	A0A024R5N4	1	0
GATAD1	RBM39	Q8WUU5	Q14498	1	0
GATAD1	SLC25A36	Q8WUU5	Q96CQ1	1	0
GATAD1	SRSF11	Q8WUU5	Q05519	1	0
GATAD1	SRSF5	Q8WUU5	A0A024R6D8	1	0
GATAD1	ZBTB37	Q8WUU5	B7Z7Z4	1	0
GLI2	BCL2	P10070	A0A024R2B3	1	0
GLI2	CCND1	P10070	P24385	1	0
GLI2	COL5A2	P10070	P05997	1	0
GLI2	EFEMP1	P10070	A0A0S2Z4F1	0	1
GLI2	FAS	P10070	P25445	0	1
GLI2	FGF13	P10070	Q92913	1	0
GLI2	FOXE1	P10070	O00358	1	0
GLI2	FST	P10070	P19883	1	0
GLI2	IFNGR1	P10070	A0A0S2Z3Y2	0	1
GLI2	LUM	P10070	P51884	0	1
GLI2	PCNA	P10070	P12004	1	0
GLI2	PTCH1	P10070	Q13635	1	0
GLI2	UGCG	P10070	A0A024R157	0	1
GLI2	WNT2B	P10070	Q5TEH8	1	0
GRHL2	KIAA1522	B4DL28	Q9P206	1	0
GRHL2	LAD1	B4DL28	O00515	1	0
GRHL2	LIPH	B4DL28	Q8WWY8	1	0
GRHL2	ABCA4	B4DL28	P78363	1	0
GRHL2	ABLIM1	B4DL28	O14639	1	0
GRHL2	AFAP1	B4DL28	Q6ZRV0	1	0
GRHL2	ALCAM	B4DL28	Q13740	1	0
GRHL2	ALK	B4DL28	B6D4Y2	1	0
GRHL2	ARHGAP32	B4DL28	A7KAX9	1	0
GRHL2	ARHGEF4	B4DL28	Q9NR80	1	0
GRHL2	ATP8B1	B4DL28	O43520	1	0
GRHL2	CALML3	B4DL28	P27482	1	0
GRHL2	CAST	B4DL28	P20810	1	0
GRHL2	CCDC12	B4DL28	Q8WUD4	1	0
GRHL2	CDCP1	B4DL28	Q9H5V8	1	0
GRHL2	CDH1	B4DL28	B3GN61	1	0
GRHL2	CLDN4	B4DL28	O14493	1	0
GRHL2	CTNNBIP1	B4DL28	A0A024R4D7	1	0
GRHL2	CUEDC1	B4DL28	Q9NWM3	1	0
GRHL2	EHF	B4DL28	Q9NZC4	1	0
GRHL2	ELMSAN1	B4DL28	A0A024R689	1	0
GRHL2	EPB41L1	B4DL28	A0A0C4DH22	1	0
GRHL2	ESYT2	B4DL28	A0FGR8	1	0
GRHL2	ETV6	B4DL28	A0A0S2Z3C9	1	0
GRHL2	EVL	B4DL28	A0A024R6K5	1	0
GRHL2	EXPH5	B4DL28	Q149M6	1	0
GRHL2	FAT2	B4DL28	Q6PIA2	1	0
GRHL2	FBLN2	B4DL28	P98095	1	0
GRHL2	GDPD5	B4DL28	Q8WTR4	1	0
GRHL2	GSN	B4DL28	P06396	1	0
GRHL2	HSPB1	B4DL28	P04792	1	0
GRHL2	IQSEC1	B4DL28	A0A087WWK8	1	0
GRHL2	ITGB6	B4DL28	P18564	1	0
GRHL2	KIAA1217	B4DL28	Q5T5P2	1	0
GRHL2	LIMCH1	B4DL28	Q9UPQ0	1	0
GRHL2	LIMK2	B4DL28	P53671	1	0
GRHL2	LPP	B4DL28	B7ZLW0	1	0
GRHL2	MACF1	B4DL28	Q6ZSD7	1	0
GRHL2	MAL2	B4DL28	A0A024R9E4	1	0
GRHL2	MAP4K4	B4DL28	O95819	1	0
GRHL2	MARK2	B4DL28	Q7KZI7	1	0
GRHL2	MECOM	B4DL28	Q03112	1	0
GRHL2	MID1	B4DL28	A0A024RBV4	1	0
GRHL2	MYO5B	B4DL28	Q7Z7A5	1	0
GRHL2	NCEH1	B4DL28	A0A0A0MTJ9	1	0
GRHL2	OSBPL3	B4DL28	Q9H4L5	1	0
GRHL2	PACSIN2	B4DL28	Q9UNF0	1	0
GRHL2	PKP1	B4DL28	Q13835	1	0
GRHL2	PLB1	B4DL28	B2RWP8	1	0
GRHL2	PLEKHA7	B4DL28	E9PKC0	1	0
GRHL2	RBM47	B4DL28	A0AV96	1	0
GRHL2	RP1	B4DL28	P56715	1	0
GRHL2	SCEL	B4DL28	O95171	1	0
GRHL2	SCNN1A	B4DL28	P37088	1	0
GRHL2	SGMS1	B4DL28	D3DWC4	1	0
GRHL2	SHANK2	B4DL28	Q9UPX8	1	0
GRHL2	SIPA1L3	B4DL28	B2RWP0	1	0
GRHL2	SLC12A8	B4DL28	A0AV02	1	0
GRHL2	SLC22A23	B4DL28	A1A5C7	1	0
GRHL2	SLC35F2	B4DL28	Q8IXU6	1	0
GRHL2	SLC3A2	B4DL28	J3KPF3	1	0
GRHL2	SLC44A3	B4DL28	Q8N4M1	1	0
GRHL2	SLCO3A1	B4DL28	Q9UIG8	1	0
GRHL2	SPIDR	B4DL28	Q14159	1	0
GRHL2	SPINT2	B4DL28	A0A140VJV6	1	0
GRHL2	ST14	B4DL28	Q9Y5Y6	1	0
GRHL2	SULT2B1	B4DL28	O00204	1	0
GRHL2	TAF1B	B4DL28	Q53T94	1	0
GRHL2	TGFA	B4DL28	P01135	1	0
GRHL2	TIAM2	B4DL28	Q8IVF5	1	0
GRHL2	TMC1	B4DL28	Q8TDI8	1	0
GRHL2	TNS3	B4DL28	Q68CZ2	1	0
GRHL2	UMODL1	B4DL28	Q5DID0	1	0
GRHL2	WWC1	B4DL28	Q8IX03	1	0
GRHL2	ZNF608	B4DL28	B3KPE6	1	0
HBP1	MIF	B4DJ36	I4AY87	0	1
HBP1	NCF1	B4DJ36	P14598	0	1
HBP1	RUNX1	B4DJ36	Q01196	1	0
HBP1	AFF1	B4DJ36	P51825	0	1
HBP1	ARID1B	B4DJ36	Q8NFD5	0	1
HBP1	ARID5B	B4DJ36	Q14865	0	1
HBP1	ATAD2	B4DJ36	A0A024R9G7	0	1
HBP1	CDK19	B4DJ36	I6W807	0	1
HBP1	CITED2	B4DJ36	D9ZGF1	0	1
HBP1	CLN6	B4DJ36	A0A024R601	0	1
HBP1	EHD1	B4DJ36	B2R5U3	0	1
HBP1	ELF2	B4DJ36	Q15723	0	1
HBP1	ERCC1	B4DJ36	P07992	0	1
HBP1	FOXO3	B4DJ36	O43524	0	1
HBP1	GABARAPL2	B4DJ36	P60520	0	1
HBP1	GNA13	B4DJ36	Q14344	0	1
HBP1	GTF2I	B4DJ36	A8K9W7	0	1
HBP1	HECTD1	B4DJ36	Q9ULT8	0	1
HBP1	HERC3	B4DJ36	B4DK41	0	1
HBP1	JMJD1C	B4DJ36	B7ZLC8	0	1
HBP1	KANK1	B4DJ36	Q14678	0	1
HBP1	KLHDC2	B4DJ36	Q9Y2U9	0	1
HBP1	LRCH1	B4DJ36	Q9Y2L9	0	1
HBP1	MAP1LC3B	B4DJ36	Q658J6	0	1
HBP1	MXI1	B4DJ36	A0A0S2Z3X5	0	1
HBP1	NIPBL	B4DJ36	Q6KC79	0	1
HBP1	PHPT1	B4DJ36	Q9NRX4	0	1
HBP1	PJA2	B4DJ36	O43164	0	1
HBP1	PPM1A	B4DJ36	A0A024R6A5	0	1
HBP1	PPM1D	B4DJ36	A0A0S2Z4M2	0	1
HBP1	RNF13	B4DJ36	O43567	0	1
HBP1	RNF38	B4DJ36	Q9H0F5	0	1
HBP1	SIN3A	B4DJ36	Q96ST3	0	1
HBP1	SMARCA2	B4DJ36	B4DSC8	0	1
HBP1	SQSTM1	B4DJ36	Q13501	0	1
HBP1	TLK1	B4DJ36	Q9UKI8	0	1
HBP1	TOPORS	B4DJ36	Q9NS56	0	1
HBP1	VPS26A	B4DJ36	O75436	0	1
HHEX	HNF4A	Q03014	F1D8T1	1	0
HHEX	TLE1	Q03014	Q04724	0	1
HHEX	A2M	Q03014	P01023	0	1
HHEX	ACSS3	Q03014	A0A0B4J1R2	0	1
HHEX	ADAP2	Q03014	Q2V6Q1	0	1
HHEX	ELMO1	Q03014	Q92556	0	1
HHEX	NINJ2	Q03014	F8WBZ3	0	1
HHEX	NR2F2	Q03014	P24468	0	1
HHEX	PLCG2	Q03014	P16885	0	1
HHEX	SLC23A2	Q03014	A0A140VK48	0	1
HIF1A	ABCA1	Q16665	B2RUU2	1	0
HIF1A	ABCG2	Q16665	Q9UNQ0	1	0
HIF1A	ADAM17	Q16665	B2RNB2	1	0
HIF1A	ADM	Q16665	P35318	1	0
HIF1A	ADORA2B	Q16665	P29275	1	0
HIF1A	AGT	Q16665	B0ZBE2	1	0
HIF1A	ALDOA	Q16665	P04075	1	0
HIF1A	ANGPT2	Q16665	O15123	1	0
HIF1A	ANKRD37	Q16665	Q7Z713	1	0
HIF1A	APH1A	Q16665	Q96BI3	1	0
HIF1A	APLN	Q16665	Q9ULZ1	1	0
HIF1A	AQP1	Q16665	A0A024RA31	1	0
HIF1A	AURKA	Q16665	O14965	1	0
HIF1A	BAX	Q16665	Q07812	1	0
HIF1A	BCL2L1	Q16665	Q07817	1	0
HIF1A	BHLHE40	Q16665	O14503	1	0
HIF1A	BHLHE41	Q16665	A0A024RAV8	1	0
HIF1A	BIRC5	Q16665	O15392	1	0
HIF1A	BNIP3	Q16665	Q12983	1	0
HIF1A	BNIP3L	Q16665	O60238	1	0
HIF1A	CA9	Q16665	A0A0S2Z3D0	1	0
HIF1A	CCL2	Q16665	P13500	1	0
HIF1A	CCND1	Q16665	P24385	0	1
HIF1A	CD36	Q16665	A4D1B1	1	0
HIF1A	CDH13	Q16665	B7Z9B1	1	0
