source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
AR	PRPS1	P10275	B7ZB02	1	0
AR	PTGS2	P10275	P35354	0	1
AR	PTPN9	P10275	P43378	1	0
AR	PTPRM	P10275	P28827	1	0
AR	RBMX	P10275	P38159	1	0
AR	RBPMS	P10275	Q93062	1	0
AR	RELA	P10275	Q04206	0	1
AR	RNASE4	P10275	P34096	1	0
AR	SCAP	P10275	B7Z6H0	1	0
AR	SCNN1A	P10275	P37088	1	0
AR	SDF2	P10275	Q6IBU4	1	0
AR	SERPINB5	P10275	A0A024R2B6	0	1
AR	SERPINI1	P10275	A0A0S2Z455	1	0
AR	SLC25A11	P10275	Q6IBH0	1	0
AR	SMARCA2	P10275	B4DSC8	1	0
AR	SMS	P10275	P52788	1	0
AR	SNAI2	P10275	O43623	1	0
AR	SORD	P10275	Q00796	1	0
AR	SOX4	P10275	Q06945	1	0
AR	SPDEF	P10275	O95238	1	0
AR	STK39	P10275	Q9UEW8	1	0
AR	STXBP2	P10275	Q15833	1	0
AR	SUOX	P10275	A0A024RB79	1	0
AR	TESK1	P10275	Q15569	1	0
AR	THRA	P10275	P10827	1	0
AR	TMPRSS2	P10275	O15393	1	0
AR	TNFRSF1A	P10275	P19438	1	0
AR	TRPS1	P10275	Q9UHF7	1	0
AR	UBC	P10275	P0CG48	1	0
AR	UBE2D3	P10275	D6RAH7	1	0
AR	UGT2B15	P10275	P54855	1	0
AR	VAPA	P10275	Q9P0L0	1	0
AR	VEGFA	P10275	A0A087WUD8	1	0
AR	XPA	P10275	P23025	1	0
AR	ZBTB16	P10275	A0A024R3C6	1	0
AR	ZCCHC9	P10275	A0A024RAL5	1	0
AR	ZFHX4	P10275	Q86UP3	1	0
AR	ZNF559	P10275	A0A0A0MTT2	1	0
ARID1A	CDKN1A	O14497	A0A024RCX5	1	0
ARID1A	SMAD3	O14497	P84022	1	0
ARID1A	ANKRD11	O14497	Q6UB99	1	0
ARID1A	ARID1B	O14497	Q8NFD5	1	0
ARID1A	BCL9L	O14497	Q86UU0	1	0
ARID1A	CHD8	O14497	Q9HCK8	1	0
