all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
bindingprot	bindingprot	NA	NA	CDK12	0.469746155	Q9NYV4	Q9NYV4	viralmirna	3.05E-08	NA	FALSE	Q9NYV4	NA
cov2	NA	cov2	NA	NA		cov-miR-3	cov-miR-3	viralmirna		NA	FALSE	cov-miR-3	NA
bindingprot	bindingprot	NA	NA	RGS19		P49795	P49795	viralmirna		NA	FALSE	P49795	NA
bindingprot	bindingprot	NA	NA	LRP2		P98164	P98164	viralmirna		NA	FALSE	P98164	NA
bindingprot	bindingprot	NA	NA	ARPC1A	-0.306676442	Q92747	Q92747	viralmirna	0.06488308	NA	FALSE	Q92747	NA
bindingprot	bindingprot	NA	NA	SS18L1		O75177	O75177	viralmirna		NA	FALSE	O75177	NA
bindingprot;protein	bindingprot	NA	NA	PAX6		P26367	P26367	viralmirna		protein	FALSE	P26367	NA
bindingprot	bindingprot	NA	NA	SEMA6D		Q8NFY4	Q8NFY4	viralmirna		NA	FALSE	Q8NFY4	NA
bindingprot	bindingprot	NA	NA	PAG1		Q9NWQ8	Q9NWQ8	viralmirna		NA	FALSE	Q9NWQ8	NA
bindingprot	bindingprot	NA	NA	CREM		Q03060	Q03060	viralmirna		NA	FALSE	Q03060	NA
bindingprot	bindingprot	NA	NA	MME		P08473	P08473	viralmirna		NA	FALSE	P08473	NA
cov2	NA	cov2	NA	NA		cov-miR-4	cov-miR-4	viralmirna		NA	FALSE	cov-miR-4	NA
bindingprot	bindingprot	NA	NA	RCAN1	0.66610806	P53805	P53805	viralmirna	3.12E-08	NA	FALSE	P53805	NA
bindingprot	bindingprot	NA	NA	ENAH		Q8N8S7	Q8N8S7	viralmirna		NA	FALSE	Q8N8S7	NA
bindingprot	bindingprot	NA	NA	PPP6C		O00743	O00743	viralmirna		NA	FALSE	O00743	NA
bindingprot	bindingprot	NA	NA	SLC10A2	-0.352923088	Q12908	Q12908	viralmirna	1	NA	FALSE	Q12908	NA
bindingprot	bindingprot	NA	NA	RLIM		Q9NVW2	Q9NVW2	viralmirna		NA	FALSE	Q9NVW2	NA
bindingprot;protein	bindingprot	NA	NA	ACTR2	-0.459648064	P61160	P61160	viralmirna	8.32E-14	protein	FALSE	P61160	NA
bindingprot	bindingprot	NA	NA	PDP1	0.257095073	Q9P0J1	Q9P0J1	viralmirna	0.001022141	NA	FALSE	Q9P0J1	NA
cov2	NA	cov2	NA	NA		cov-miR-5	cov-miR-5	viralmirna		NA	FALSE	cov-miR-5	NA
bindingprot	bindingprot	NA	NA	CAPRIN2		Q6IMN6	Q6IMN6	viralmirna		NA	FALSE	Q6IMN6	NA
bindingprot	bindingprot	NA	NA	DCTN5		Q9BTE1	Q9BTE1	viralmirna		NA	FALSE	Q9BTE1	NA
bindingprot	bindingprot	NA	NA	TXLNG		Q9NUQ3	Q9NUQ3	viralmirna		NA	FALSE	Q9NUQ3	NA
bindingprot	bindingprot	NA	NA	CDC42BPA		Q5VT25	Q5VT25	viralmirna		NA	FALSE	Q5VT25	NA
bindingprot	bindingprot	NA	NA	CXCL6		P80162	P80162	viralmirna		NA	FALSE	P80162	NA
bindingprot	bindingprot	NA	NA	NEK6		Q9HC98	Q9HC98	viralmirna		NA	FALSE	Q9HC98	NA
cov2	NA	cov2	NA	NA		cov-miR-6	cov-miR-6	viralmirna		NA	FALSE	cov-miR-6	NA
bindingprot	bindingprot	NA	NA	KPNA6		O60684	O60684	viralmirna		NA	FALSE	O60684	NA
bindingprot;protein	bindingprot	NA	NA	IRF6		O14896	O14896	viralmirna		protein	FALSE	O14896	NA
bindingprot	bindingprot	NA	NA	AMOT		Q4VCS5	Q4VCS5	viralmirna		NA	FALSE	Q4VCS5	NA
bindingprot	bindingprot	NA	NA	CTDSPL		O15194	O15194	viralmirna		NA	FALSE	O15194	NA
bindingprot;protein	bindingprot	NA	NA	IL7R		P16871	P16871	viralmirna		protein	FALSE	P16871	NA
bindingprot	bindingprot	NA	NA	PTPN21		Q16825	Q16825	viralmirna		NA	FALSE	Q16825	NA
bindingprot;protein	bindingprot	NA	NA	RPTOR		Q8N122	Q8N122	viralmirna		protein	FALSE	Q8N122	NA
bindingprot	bindingprot	NA	NA	MCF2L		O15068	O15068	viralmirna		NA	FALSE	O15068	NA
bindingprot	bindingprot	NA	NA	TPR		P12270	P12270	viralmirna		NA	FALSE	P12270	NA
bindingprot	bindingprot	NA	NA	ASXL2		Q76L83	Q76L83	viralmirna		NA	FALSE	Q76L83	NA
bindingprot	bindingprot	NA	NA	DISP2		A7MBM2	A7MBM2	viralmirna		NA	FALSE	A7MBM2	NA
bindingprot	bindingprot	NA	NA	MYCBP		Q99417	Q99417	viralmirna		NA	FALSE	Q99417	NA
bindingprot	bindingprot	NA	NA	PRMT2		P55345	P55345	viralmirna		NA	FALSE	P55345	NA
cov2	NA	cov2	NA	NA		cov-miR-7	cov-miR-7	viralmirna		NA	FALSE	cov-miR-7	NA
bindingprot	bindingprot	NA	NA	IFNLR1		Q8IU57	Q8IU57	viralmirna		NA	FALSE	Q8IU57	NA
bindingprot	bindingprot	NA	NA	EIF5B		O60841	O60841	viralmirna		NA	FALSE	O60841	NA
bindingprot	bindingprot	NA	NA	TXNRD1	-0.898538211	Q16881	Q16881	viralmirna	8.64E-12	NA	FALSE	Q16881	NA
cov2	NA	cov2	NA	NA		cov-miR-8	cov-miR-8	viralmirna		NA	FALSE	cov-miR-8	NA
bindingprot	bindingprot	NA	NA	AAK1		Q2M2I8	Q2M2I8	viralmirna		NA	FALSE	Q2M2I8	NA
bindingprot	bindingprot	NA	NA	THBS2		P35442	P35442	viralmirna		NA	FALSE	P35442	NA
bindingprot	bindingprot	NA	NA	UVRAG	0.441734552	Q9P2Y5	Q9P2Y5	viralmirna	1.66E-13	NA	FALSE	Q9P2Y5	NA
bindingprot;protein	bindingprot	NA	NA	STK4		Q13043	Q13043	viralmirna		protein	FALSE	Q13043	NA
bindingprot	bindingprot	NA	NA	CREBZF		Q9NS37	Q9NS37	viralmirna		NA	FALSE	Q9NS37	NA
bindingprot	bindingprot	NA	NA	NEK3		P51956	P51956	viralmirna		NA	FALSE	P51956	NA
cov2	NA	cov2	NA	NA		cov-miR-9	cov-miR-9	viralmirna		NA	FALSE	cov-miR-9	NA
bindingprot	bindingprot	NA	NA	CISD2		Q8N5K1	Q8N5K1	viralmirna		NA	FALSE	Q8N5K1	NA
bindingprot	bindingprot	NA	NA	NFIB		O00712	O00712	viralmirna		NA	FALSE	O00712	NA
bindingprot	bindingprot	NA	NA	CUL4A		Q13619	Q13619	viralmirna		NA	FALSE	Q13619	NA
bindingprot	bindingprot	NA	NA	GNB4		Q9HAV0	Q9HAV0	viralmirna		NA	FALSE	Q9HAV0	NA
bindingprot	bindingprot	NA	NA	SENP2		Q9HC62	Q9HC62	viralmirna		NA	FALSE	Q9HC62	NA
bindingprot	bindingprot	NA	NA	ARID1A	0.462241869	O14497	O14497	viralmirna	1.64E-17	NA	FALSE	O14497	NA
bindingprot	bindingprot	NA	NA	CYFIP2		Q96F07	Q96F07	viralmirna		NA	FALSE	Q96F07	NA
bindingprot	bindingprot	NA	NA	MED1		Q15648	Q15648	viralmirna		NA	FALSE	Q15648	NA
bindingprot	bindingprot	NA	NA	HIPK2	0.392915984	Q9H2X6	Q9H2X6	viralmirna	8.87E-10	NA	FALSE	Q9H2X6	NA
bindingprot	bindingprot	NA	NA	TERF1		P54274	P54274	viralmirna		NA	FALSE	P54274	NA
bindingprot;protein	bindingprot	NA	NA	PPARGC1A		Q9UBK2	Q9UBK2	viralmirna		protein	FALSE	Q9UBK2	NA
bindingprot	bindingprot	NA	NA	IL20RA		Q9UHF4	Q9UHF4	viralmirna		NA	FALSE	Q9UHF4	NA
bindingprot	bindingprot	NA	NA	PLEKHG3	0.487874357	A1L390	A1L390	viralmirna	2.43E-11	NA	FALSE	A1L390	NA
bindingprot	bindingprot	NA	NA	BACH1		O14867	O14867	viralmirna		NA	FALSE	O14867	NA
bindingprot	bindingprot	NA	NA	DUSP4		Q13115	Q13115	viralmirna		NA	FALSE	Q13115	NA
cov2	NA	cov2	NA	NA		cov-miR-10	cov-miR-10	viralmirna		NA	FALSE	cov-miR-10	NA
bindingprot;protein	bindingprot	NA	NA	PPP3R1		P63098	P63098	viralmirna		protein	FALSE	P63098	NA
bindingprot	bindingprot	NA	NA	GNB2		P62879	P62879	viralmirna		NA	FALSE	P62879	NA
bindingprot	bindingprot	NA	NA	TNFRSF9	0.455456637	Q07011	Q07011	viralmirna	1.09E-04	NA	FALSE	Q07011	NA
bindingprot	bindingprot	NA	NA	TP53RK		Q96S44	Q96S44	viralmirna		NA	FALSE	Q96S44	NA
bindingprot	bindingprot	NA	NA	OPTN		Q96CV9	Q96CV9	viralmirna		NA	FALSE	Q96CV9	NA
bindingprot	bindingprot	NA	NA	GNG12	-0.448881509	Q9UBI6	Q9UBI6	viralmirna	4.93E-10	NA	FALSE	Q9UBI6	NA
bindingprot	bindingprot	NA	NA	FAM13B		Q9NYF5	Q9NYF5	viralmirna		NA	FALSE	Q9NYF5	NA
cov2	NA	cov2	NA	NA		cov-miR-11	cov-miR-11	viralmirna		NA	FALSE	cov-miR-11	NA
bindingprot	bindingprot	NA	NA	PHLPP2		Q6ZVD8	Q6ZVD8	viralmirna		NA	FALSE	Q6ZVD8	NA
bindingprot	bindingprot	NA	NA	HIF1AN		Q9NWT6	Q9NWT6	viralmirna		NA	FALSE	Q9NWT6	NA
bindingprot	bindingprot	NA	NA	UBE4A		Q14139	Q14139	viralmirna		NA	FALSE	Q14139	NA
bindingprot;protein	bindingprot	NA	NA	RBBP4		Q09028	Q09028	viralmirna		protein	FALSE	Q09028	NA
cov2	NA	cov2	NA	NA		cov-miR-12	cov-miR-12	viralmirna		NA	FALSE	cov-miR-12	NA
bindingprot	bindingprot	NA	NA	UBL4A		P11441	P11441	viralmirna		NA	FALSE	P11441	NA
bindingprot;protein	bindingprot	NA	NA	PDK2		Q15119	Q15119	viralmirna		protein	FALSE	Q15119	NA
bindingprot	bindingprot	NA	NA	SSTR2		P30874	P30874	viralmirna		NA	FALSE	P30874	NA
bindingprot;protein	bindingprot	NA	NA	SDC4	0.927455169	P31431	P31431	viralmirna	1.40E-15	protein	FALSE	P31431	NA
bindingprot	bindingprot	NA	NA	XIAP		P98170	P98170	viralmirna		NA	FALSE	P98170	NA
cov2	NA	cov2	NA	NA		cov-miR-13	cov-miR-13	viralmirna		NA	FALSE	cov-miR-13	NA
bindingprot	bindingprot	NA	NA	TSLP		Q969D9	Q969D9	viralmirna		NA	FALSE	Q969D9	NA
bindingprot	bindingprot	NA	NA	RANBP2		P49792	P49792	viralmirna		NA	FALSE	P49792	NA
bindingprot	bindingprot	NA	NA	SPRED1		Q7Z699	Q7Z699	viralmirna		NA	FALSE	Q7Z699	NA
bindingprot	bindingprot	NA	NA	SUPT7L		O94864	O94864	viralmirna		NA	FALSE	O94864	NA
bindingprot	bindingprot	NA	NA	HOXA7		P31268	P31268	viralmirna		NA	FALSE	P31268	NA
bindingprot	bindingprot	NA	NA	POM121		Q96HA1	Q96HA1	viralmirna		NA	FALSE	Q96HA1	NA
cov2	NA	cov2	NA	NA		cov-miR-14	cov-miR-14	viralmirna		NA	FALSE	cov-miR-14	NA
bindingprot	bindingprot	NA	NA	USP4		Q13107	Q13107	viralmirna		NA	FALSE	Q13107	NA
cov2	NA	cov2	NA	NA		cov-miR-15	cov-miR-15	viralmirna		NA	FALSE	cov-miR-15	NA
bindingprot	bindingprot	NA	NA	CDK14		O94921	O94921	viralmirna		NA	FALSE	O94921	NA
bindingprot	bindingprot	NA	NA	CCNG1		P51959	P51959	viralmirna		NA	FALSE	P51959	NA
cov2	NA	cov2	NA	NA		cov-miR-16	cov-miR-16	viralmirna		NA	FALSE	cov-miR-16	NA
bindingprot	bindingprot	NA	NA	PRNP		P04156	P04156	viralmirna		NA	FALSE	P04156	NA
bindingprot;protein	bindingprot	NA	NA	MAML1		Q92585	Q92585	viralmirna		protein	FALSE	Q92585	NA
bindingprot	bindingprot	NA	NA	ULK1		O75385	O75385	viralmirna		NA	FALSE	O75385	NA
bindingprot	bindingprot	NA	NA	STK40		Q8N2I9	Q8N2I9	viralmirna		NA	FALSE	Q8N2I9	NA
bindingprot	bindingprot	NA	NA	TXK		P42681	P42681	viralmirna		NA	FALSE	P42681	NA
cov2	NA	cov2	NA	NA		cov-miR-17	cov-miR-17	viralmirna		NA	FALSE	cov-miR-17	NA
bindingprot	bindingprot	NA	NA	SPTLC1		O15269	O15269	viralmirna		NA	FALSE	O15269	NA
bindingprot	bindingprot	NA	NA	ASPH	-0.342284425	Q12797	Q12797	viralmirna	0.001533377	NA	FALSE	Q12797	NA
bindingprot	bindingprot	NA	NA	TPPP		O94811	O94811	viralmirna		NA	FALSE	O94811	NA
cov2	NA	cov2	NA	NA		cov-miR-18	cov-miR-18	viralmirna		NA	FALSE	cov-miR-18	NA
bindingprot	bindingprot	NA	NA	PDCD6IP	-0.354478454	Q8WUM4	Q8WUM4	viralmirna	5.97E-07	NA	FALSE	Q8WUM4	NA
bindingprot;protein	bindingprot	NA	NA	ACVR1C		Q8NER5	Q8NER5	viralmirna		protein	FALSE	Q8NER5	NA
bindingprot	bindingprot	NA	NA	ZBTB5		O15062	O15062	viralmirna		NA	FALSE	O15062	NA
bindingprot	bindingprot	NA	NA	ARHGAP32		A7KAX9	A7KAX9	viralmirna		NA	FALSE	A7KAX9	NA
bindingprot	bindingprot	NA	NA	IKZF3	0.29137669	Q9UKT9	Q9UKT9	viralmirna	0.055709679	NA	FALSE	Q9UKT9	NA
bindingprot;protein	bindingprot	NA	NA	LIMK2		P53671	P53671	viralmirna		protein	FALSE	P53671	NA
cov2	NA	cov2	NA	NA		cov-miR-19	cov-miR-19	viralmirna		NA	FALSE	cov-miR-19	NA
bindingprot	bindingprot	NA	NA	EYA3		Q99504	Q99504	viralmirna		NA	FALSE	Q99504	NA
bindingprot	bindingprot	NA	NA	ZMYND11		Q15326	Q15326	viralmirna		NA	FALSE	Q15326	NA
bindingprot	bindingprot	NA	NA	SRGAP1		Q7Z6B7	Q7Z6B7	viralmirna		NA	FALSE	Q7Z6B7	NA
bindingprot	bindingprot	NA	NA	DEK		P35659	P35659	viralmirna		NA	FALSE	P35659	NA
bindingprot	bindingprot	NA	NA	SPRY3		O43610	O43610	viralmirna		NA	FALSE	O43610	NA
protein	NA	NA	NA	CASP1		P29466	P29466	viralmirna		protein	FALSE	P29466	NA
protein	NA	NA	NA	PRKCA		P17252	P17252	viralmirna		protein	FALSE	P17252	NA
protein	NA	NA	NA	CBX5		P45973	P45973	viralmirna		protein	FALSE	P45973	NA
protein	NA	NA	NA	SH2B1		Q9NRF2	Q9NRF2	viralmirna		protein	FALSE	Q9NRF2	NA
protein	NA	NA	NA	CBL		P22681	P22681	viralmirna		protein	FALSE	P22681	NA
protein	NA	NA	NA	IFNAR1		P17181	P17181	viralmirna		protein	FALSE	P17181	NA
protein	NA	NA	NA	LAMB2		P55268	P55268	viralmirna		protein	FALSE	P55268	NA
protein	NA	NA	NA	HLA-DRA		P01903	P01903	viralmirna		protein	FALSE	P01903	NA
protein	NA	NA	NA	ANAPC2		Q9UJX6	Q9UJX6	viralmirna		protein	FALSE	Q9UJX6	NA
protein	NA	NA	NA	IKBKG		Q9Y6K9	Q9Y6K9	viralmirna		protein	FALSE	Q9Y6K9	NA
protein	NA	NA	NA	SYK		P43405	P43405	viralmirna		protein	FALSE	P43405	NA
protein;tf	NA	NA	NA	IRF1	1.787109806	P10914	P10914	viralmirna	3.68E-74	protein	FALSE	P10914	tf
protein	NA	NA	NA	ANAPC10		Q9UM13	Q9UM13	viralmirna		protein	FALSE	Q9UM13	NA
protein	NA	NA	NA	NOS2		P35228	P35228	viralmirna		protein	FALSE	P35228	NA
protein	NA	NA	NA	IL12RB1		P42701	P42701	viralmirna		protein	FALSE	P42701	NA
protein	NA	NA	NA	SMARCC2		Q8TAQ2	Q8TAQ2	viralmirna		protein	FALSE	Q8TAQ2	NA
protein	NA	NA	NA	RCC1		P18754	P18754	viralmirna		protein	FALSE	P18754	NA
protein	NA	NA	NA	RASGRP3		Q8IV61	Q8IV61	viralmirna		protein	FALSE	Q8IV61	NA
protein	NA	NA	NA	CDK16		Q00536	Q00536	viralmirna		protein	FALSE	Q00536	NA
protein	NA	NA	NA	NUP153		P49790	P49790	viralmirna		protein	FALSE	P49790	NA
protein	NA	NA	NA	STK24		Q9Y6E0	Q9Y6E0	viralmirna		protein	FALSE	Q9Y6E0	NA
protein	NA	NA	NA	IFNAR2		P48551	P48551	viralmirna		protein	FALSE	P48551	NA
protein	NA	NA	NA	PIK3R4		Q99570	Q99570	viralmirna		protein	FALSE	Q99570	NA
protein	NA	NA	NA	FRS2	0.495670225	Q8WU20	Q8WU20	viralmirna	3.86E-20	protein	FALSE	Q8WU20	NA
protein	NA	NA	NA	FGF11		Q92914	Q92914	viralmirna		protein	FALSE	Q92914	NA
protein	NA	NA	NA	H3-3B		P84243	P84243	viralmirna		protein	FALSE	P84243	NA
protein	NA	NA	NA	IL12RB2		Q99665	Q99665	viralmirna		protein	FALSE	Q99665	NA
protein	NA	NA	NA	NUP35		Q8NFH5	Q8NFH5	viralmirna		protein	FALSE	Q8NFH5	NA
protein	NA	NA	NA	MAPK13		O15264	O15264	viralmirna		protein	FALSE	O15264	NA
protein	NA	NA	NA	DGKZ		Q13574	Q13574	viralmirna		protein	FALSE	Q13574	NA
protein	NA	NA	NA	MTA1		Q13330	Q13330	viralmirna		protein	FALSE	Q13330	NA
protein;tf	NA	NA	NA	ETS2	0.514811748	P15036	P15036	viralmirna	1.52E-12	protein	FALSE	P15036	tf
protein	NA	NA	NA	CAT		P04040	P04040	viralmirna		protein	FALSE	P04040	NA
protein	NA	NA	NA	ZNF692		Q9BU19	Q9BU19	viralmirna		protein	FALSE	Q9BU19	NA
protein	NA	NA	NA	GTF3A		Q92664	Q92664	viralmirna		protein	FALSE	Q92664	NA
protein	NA	NA	NA	SOCS2	0.479186046	O14508	O14508	viralmirna	1.22E-07	protein	FALSE	O14508	NA
protein	NA	NA	NA	IL6R		P08887	P08887	viralmirna		protein	FALSE	P08887	NA
protein	NA	NA	NA	SGK1		O00141	O00141	viralmirna		protein	FALSE	O00141	NA
protein	NA	NA	NA	LAMA5		O15230	O15230	viralmirna		protein	FALSE	O15230	NA
protein	NA	NA	NA	SREBF1		P36956	P36956	viralmirna		protein	FALSE	P36956	NA
protein	NA	NA	NA	IL12A		P29459	P29459	viralmirna		protein	FALSE	P29459	NA
protein	NA	NA	NA	LATS2		Q9NRM7	Q9NRM7	viralmirna		protein	FALSE	Q9NRM7	NA
protein	NA	NA	NA	ANAPC4		Q9UJX5	Q9UJX5	viralmirna		protein	FALSE	Q9UJX5	NA
protein	NA	NA	NA	ANGPT2		O15123	O15123	viralmirna		protein	FALSE	O15123	NA
protein	NA	NA	NA	PDK1		Q15118	Q15118	viralmirna		protein	FALSE	Q15118	NA
protein	NA	NA	NA	DAPP1	0.492480915	Q9UN19	Q9UN19	viralmirna	4.30E-10	protein	FALSE	Q9UN19	NA
protein	NA	NA	NA	KPNA2		P52292	P52292	viralmirna		protein	FALSE	P52292	NA
protein	NA	NA	NA	NR1I3		Q14994	Q14994	viralmirna		protein	FALSE	Q14994	NA
protein	NA	NA	NA	LAMA3	-0.416947338	Q16787	Q16787	viralmirna	0.02533552	protein	FALSE	Q16787	NA
protein	NA	NA	NA	MAF1		Q9H063	Q9H063	viralmirna		protein	FALSE	Q9H063	NA
protein	NA	NA	NA	PER2		O15055	O15055	viralmirna		protein	FALSE	O15055	NA
protein	NA	NA	NA	LIMK1		P53667	P53667	viralmirna		protein	FALSE	P53667	NA
protein	NA	NA	NA	RBL1		P28749	P28749	viralmirna		protein	FALSE	P28749	NA
protein	NA	NA	NA	FGF18		O76093	O76093	viralmirna		protein	FALSE	O76093	NA
protein	NA	NA	NA	TSC22D3		Q99576	Q99576	viralmirna		protein	FALSE	Q99576	NA
protein	NA	NA	NA	MYOM2		P54296	P54296	viralmirna		protein	FALSE	P54296	NA
protein	NA	NA	NA	ITGA2	-0.311356871	P17301	P17301	viralmirna	0.364298321	protein	FALSE	P17301	NA
protein	NA	NA	NA	ECT2		Q9H8V3	Q9H8V3	viralmirna		protein	FALSE	Q9H8V3	NA
protein	NA	NA	NA	SKI		P12755	P12755	viralmirna		protein	FALSE	P12755	NA
protein	NA	NA	NA	FGF12		P61328	P61328	viralmirna		protein	FALSE	P61328	NA
protein	NA	NA	NA	IFNB1		P01574	P01574	viralmirna		protein	FALSE	P01574	NA
protein	NA	NA	NA	ARNT		P27540	P27540	viralmirna		protein	FALSE	P27540	NA
protein	NA	NA	NA	PKM	-0.447789185	P14618	P14618	viralmirna	9.01E-10	protein	FALSE	P14618	NA
protein	NA	NA	NA	TIRAP		P58753	P58753	viralmirna		protein	FALSE	P58753	NA
protein	NA	NA	NA	SUV39H1		O43463	O43463	viralmirna		protein	FALSE	O43463	NA
protein	NA	NA	NA	MECOM		Q03112	Q03112	viralmirna		protein	FALSE	Q03112	NA
protein	NA	NA	NA	CSNK1G2		P78368	P78368	viralmirna		protein	FALSE	P78368	NA
protein	NA	NA	NA	LAMA2		P24043	P24043	viralmirna		protein	FALSE	P24043	NA
protein	NA	NA	NA	CDC27		P30260	P30260	viralmirna		protein	FALSE	P30260	NA
protein	NA	NA	NA	NR0B2	-0.275046627	Q15466	Q15466	viralmirna	0.014469101	protein	FALSE	Q15466	NA
protein	NA	NA	NA	EFNB2		P52799	P52799	viralmirna		protein	FALSE	P52799	NA
protein	NA	NA	NA	ITGB6		P18564	P18564	viralmirna		protein	FALSE	P18564	NA
protein	NA	NA	NA	E2F5		Q15329	Q15329	viralmirna		protein	FALSE	Q15329	NA
protein	NA	NA	NA	CDKN2B		P42772	P42772	viralmirna		protein	FALSE	P42772	NA
protein	NA	NA	NA	CDC26		Q8NHZ8	Q8NHZ8	viralmirna		protein	FALSE	Q8NHZ8	NA
protein	NA	NA	NA	FLNA		P21333	P21333	viralmirna		protein	FALSE	P21333	NA
protein	NA	NA	NA	FOXA1		P55317	P55317	viralmirna		protein	FALSE	P55317	NA
protein	NA	NA	NA	FGF7		P21781	P21781	viralmirna		protein	FALSE	P21781	NA
protein	NA	NA	NA	NR1I2		O75469	O75469	viralmirna		protein	FALSE	O75469	NA
protein	NA	NA	NA	PTPN12		Q05209	Q05209	viralmirna		protein	FALSE	Q05209	NA
protein	NA	NA	NA	NR1H3		Q13133	Q13133	viralmirna		protein	FALSE	Q13133	NA
protein	NA	NA	NA	RIPK2	0.846635796	O43353	O43353	viralmirna	8.08E-23	protein	FALSE	O43353	NA
protein	NA	NA	NA	NCOA1		Q15788	Q15788	viralmirna		protein	FALSE	Q15788	NA
protein	NA	NA	NA	IL22RA1		Q8N6P7	Q8N6P7	viralmirna		protein	FALSE	Q8N6P7	NA
protein;tf	NA	NA	NA	CEBPA		P49715	P49715	viralmirna		protein	FALSE	P49715	tf
protein	NA	NA	NA	CCR6		P51684	P51684	viralmirna		protein	FALSE	P51684	NA
protein	NA	NA	NA	PAK2		Q13177	Q13177	viralmirna		protein	FALSE	Q13177	NA
protein	NA	NA	NA	PIAS2		O75928	O75928	viralmirna		protein	FALSE	O75928	NA
protein	NA	NA	NA	EPAS1		Q99814	Q99814	viralmirna		protein	FALSE	Q99814	NA
protein	NA	NA	NA	SOCS7		O14512	O14512	viralmirna		protein	FALSE	O14512	NA
protein	NA	NA	NA	NRIP1	0.521024716	P48552	P48552	viralmirna	1.49E-13	protein	FALSE	P48552	NA
protein	NA	NA	NA	DAPK3		O43293	O43293	viralmirna		protein	FALSE	O43293	NA
protein	NA	NA	NA	MST1		P26927	P26927	viralmirna		protein	FALSE	P26927	NA
protein	NA	NA	NA	MDFI		Q99750	Q99750	viralmirna		protein	FALSE	Q99750	NA
protein	NA	NA	NA	PTPRB		P23467	P23467	viralmirna		protein	FALSE	P23467	NA
protein	NA	NA	NA	CDKN2C		P42773	P42773	viralmirna		protein	FALSE	P42773	NA
protein	NA	NA	NA	E2F2		Q14209	Q14209	viralmirna		protein	FALSE	Q14209	NA
protein	NA	NA	NA	CCNT1		O60563	O60563	viralmirna		protein	FALSE	O60563	NA
protein	NA	NA	NA	MAPK8IP1		Q9UQF2	Q9UQF2	viralmirna		protein	FALSE	Q9UQF2	NA
protein	NA	NA	NA	UXT		Q9UBK9	Q9UBK9	viralmirna		protein	FALSE	Q9UBK9	NA
protein	NA	NA	NA	LAT		O43561	O43561	viralmirna		protein	FALSE	O43561	NA
protein	NA	NA	NA	IL18	-0.447929438	Q14116	Q14116	viralmirna	5.74E-06	protein	FALSE	Q14116	NA
protein	NA	NA	NA	TLR3		O15455	O15455	viralmirna		protein	FALSE	O15455	NA
protein	NA	NA	NA	C8orf44-SGK3		Q96BR1	Q96BR1	viralmirna		protein	FALSE	Q96BR1	NA
protein	NA	NA	NA	HDAC6		Q9UBN7	Q9UBN7	viralmirna		protein	FALSE	Q9UBN7	NA
protein	NA	NA	NA	VEGFB		P49765	P49765	viralmirna		protein	FALSE	P49765	NA
protein	NA	NA	NA	GTF2A2		P52657	P52657	viralmirna		protein	FALSE	P52657	NA
protein	NA	NA	NA	FGF19		O95750	O95750	viralmirna		protein	FALSE	O95750	NA
protein	NA	NA	NA	SOCS4		Q8WXH5	Q8WXH5	viralmirna		protein	FALSE	Q8WXH5	NA
protein	NA	NA	NA	SAP18	-0.319774302	O00422	O00422	viralmirna	2.26E-05	protein	FALSE	O00422	NA
protein	NA	NA	NA	NCK2		O43639	O43639	viralmirna		protein	FALSE	O43639	NA
protein	NA	NA	NA	MAP2K5		Q13163	Q13163	viralmirna		protein	FALSE	Q13163	NA
protein	NA	NA	NA	ULK2		Q8IYT8	Q8IYT8	viralmirna		protein	FALSE	Q8IYT8	NA
protein	NA	NA	NA	EIF4EBP1	-0.296905939	Q13541	Q13541	viralmirna	0.741152359	protein	FALSE	Q13541	NA
protein	NA	NA	NA	IRS2		Q9Y4H2	Q9Y4H2	viralmirna		protein	FALSE	Q9Y4H2	NA
protein	NA	NA	NA	EIF4G2	-0.415455895	P78344	P78344	viralmirna	3.30E-07	protein	FALSE	P78344	NA
protein	NA	NA	NA	FRS3		O43559	O43559	viralmirna		protein	FALSE	O43559	NA
protein	NA	NA	NA	SOCS5		O75159	O75159	viralmirna		protein	FALSE	O75159	NA
protein	NA	NA	NA	DOK1		Q99704	Q99704	viralmirna		protein	FALSE	Q99704	NA
protein	NA	NA	NA	SKIL		P12757	P12757	viralmirna		protein	FALSE	P12757	NA
protein	NA	NA	NA	CCNH		P51946	P51946	viralmirna		protein	FALSE	P51946	NA
protein	NA	NA	NA	ANAPC11	-0.382615833	Q9NYG5	Q9NYG5	viralmirna	2.04E-05	protein	FALSE	Q9NYG5	NA
protein	NA	NA	NA	CDK5		Q00535	Q00535	viralmirna		protein	FALSE	Q00535	NA
protein	NA	NA	NA	ITGA11		Q9UKX5	Q9UKX5	viralmirna		protein	FALSE	Q9UKX5	NA
protein	NA	NA	NA	GTF2B		Q00403	Q00403	viralmirna		protein	FALSE	Q00403	NA
protein	NA	NA	NA	POLR2C		P19387	P19387	viralmirna		protein	FALSE	P19387	NA
protein	NA	NA	NA	MEF2A		Q02078	Q02078	viralmirna		protein	FALSE	Q02078	NA
protein	NA	NA	NA	TEP1		Q99973	Q99973	viralmirna		protein	FALSE	Q99973	NA
protein	NA	NA	NA	DDAH2		O95865	O95865	viralmirna		protein	FALSE	O95865	NA
