all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
protein	NA	NA	NA	PIM3	0.939316844	Q86V86	Q86V86	viralmirna;viralprotein	7.14E-30	protein	FALSE	Q86V86	NA
protein	NA	NA	NA	PTK6		Q13882	Q13882	viralmirna;viralprotein		protein	FALSE	Q13882	NA
protein	NA	NA	NA	NMI		Q13287	Q13287	viralmirna;viralprotein		protein	FALSE	Q13287	NA
protein	NA	NA	NA	TRIM24		O15164	O15164	viralmirna;viralprotein		protein	FALSE	O15164	NA
protein	NA	NA	NA	LRP1		Q07954	Q07954	viralprotein		protein	FALSE	Q07954	NA
protein	NA	NA	NA	CAMKK2		Q96RR4	Q96RR4	viralmirna;viralprotein		protein	FALSE	Q96RR4	NA
protein	NA	NA	NA	HSPA2		P54652	P54652	viralprotein		protein	FALSE	P54652	NA
protein	NA	NA	NA	DKK1		O94907	O94907	viralmirna;viralprotein		protein	FALSE	O94907	NA
protein	NA	NA	NA	PER1	0.541343027	O15534	O15534	viralmirna;viralprotein	6.99E-10	protein	FALSE	O15534	NA
protein	NA	NA	NA	GNG2		P59768	P59768	viralmirna;viralprotein		protein	FALSE	P59768	NA
protein	NA	NA	NA	GRB10		Q13322	Q13322	viralmirna;viralprotein		protein	FALSE	Q13322	NA
protein	NA	NA	NA	PPP2R5C		Q13362	Q13362	viralprotein		protein	FALSE	Q13362	NA
protein	NA	NA	NA	RAP1A		P62834	P62834	viralmirna;viralprotein		protein	FALSE	P62834	NA
protein	NA	NA	NA	DAB2IP	0.340770619	Q5VWQ8	Q5VWQ8	viralprotein	4.37E-05	protein	FALSE	Q5VWQ8	NA
protein	NA	NA	NA	LIF	0.264915016	P15018	P15018	viralmirna;viralprotein	0.116679342	protein	FALSE	P15018	NA
protein	NA	NA	NA	PDCD4	-0.484610704	Q53EL6	Q53EL6	viralprotein	6.13E-06	protein	FALSE	Q53EL6	NA
protein	NA	NA	NA	SOCS1	0.496034456	O15524	O15524	viralmirna;viralprotein	4.76E-16	protein	FALSE	O15524	NA
protein	NA	NA	NA	PSMC3		P17980	P17980	viralprotein		protein	FALSE	P17980	NA
protein	NA	NA	NA	KLF5		Q13887	Q13887	viralmirna;viralprotein		protein	FALSE	Q13887	NA
