,B.cell_control,CTL_control,MC_control,MoD.Ma_control,moDC_control,NKT_control,NKT.p_control,nrMa_control,pDC_control,rMa_control,Treg_control
RANBP9,3.528929943508368,4.3992830892185015,4.488884201458341,4.408129129936669,NaN,NaN,2.121003210239777,2.722309019730233,5.726997425074969,2.543887772619839,5.299571738169279
MCUR1,1.4835410151091604,3.423467908234695,NaN,4.035520039427065,NaN,NaN,-0.10067226176975268,2.11791123743951,NaN,6.056227043903402,5.75870762170019
CD83,9.695526454693786,NaN,NaN,9.96477502863561,NaN,NaN,NaN,8.942575819818101,8.31195992579613,6.3905427858767245,3.480824009787169
RP11-560J1.2,NaN,NaN,NaN,NaN,NaN,NaN,-0.10067226176975268,NaN,NaN,NaN,NaN
JARID2,5.694554796732868,6.15985409829347,4.366942706528799,8.519990252218458,NaN,NaN,2.048740466838966,7.291958775691421,NaN,4.795874564740909,6.302853913680005
JARID2-AS1,NaN,3.99124565647855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DTNBP1,5.031775530915835,5.793604125015795,6.156092635306795,NaN,NaN,NaN,5.595959708864697,4.287446712996758,7.5902799519119535,4.269047102470475,5.1508153285178375
MYLIP,3.9792318369812825,5.133685053689832,4.488884201458341,6.156769346390537,NaN,NaN,4.7893817191485715,1.9188512900057564,NaN,3.12173916447392,3.0316216594624485
GMPR,NaN,NaN,6.998533561276822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATXN1,3.825083467946256,7.642428527425606,7.777410086590432,NaN,NaN,NaN,NaN,5.231547470199822,5.726997425074969,2.5513950166558668,7.098223322813857
RP1-151F17.1,NaN,2.7197563041339836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP1-151F17.2,NaN,4.429151073981978,NaN,NaN,NaN,NaN,-0.10067226176975268,NaN,NaN,NaN,4.498757392510146
STMND1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RBM24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1797760976958735
CAP2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAM8A1,NaN,4.134943791741056,5.663318997329682,NaN,NaN,NaN,5.537196178022169,2.5300098617789275,NaN,NaN,NaN
NUP153,5.522600581147703,5.526863588427471,4.488884201458341,4.456088442728701,NaN,NaN,4.455075491982582,4.620990888973084,5.726997425074969,NaN,5.841496440851843
RP11-500C11.3,1.4835410151091604,NaN,NaN,4.035520039427065,NaN,NaN,NaN,NaN,NaN,1.094125419379523,4.319512773074954
KIF13A,NaN,NaN,NaN,4.456088442728701,NaN,NaN,5.935842301117954,4.011231485724276,NaN,NaN,NaN
NHLRC1,NaN,2.6755810795360175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TPMT,5.121359069726612,5.916118850046749,4.488884201458341,4.035520039427065,NaN,NaN,NaN,4.479554077702911,NaN,3.1989800985038195,5.598013776899373
KDM1B,4.444645482049578,3.6193755828486878,NaN,4.035520039427065,NaN,NaN,1.3491104739863211,4.519744620107918,NaN,2.2895450895757077,NaN
DEK,6.876497881706393,8.117695230243461,8.426461931720404,7.20285424175783,NaN,NaN,9.255122018345112,7.9863083516809805,8.222269295255414,7.856063503514309,8.009310136331665
RNF144B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.870355679974788,NaN,4.158171761489455,3.788122062663328
RP4-625H18.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ID4,NaN,NaN,NaN,NaN,NaN,NaN,5.478619541913534,NaN,NaN,NaN,NaN
MBOAT1,NaN,4.391655904591452,5.663318997329682,4.456088442728701,NaN,NaN,6.3457606888749325,3.0086357989366155,7.126630897272264,NaN,5.118517004493296
E2F3,2.9269311232612716,3.780591240257389,NaN,4.456088442728701,NaN,NaN,1.3491104739863211,6.03478030675506,5.726997425074969,NaN,4.97240543689496
CDKAL1,4.368098194753092,5.6744517212886265,4.366942706528799,NaN,NaN,NaN,NaN,NaN,7.126630897272264,NaN,4.5241154040793194
SOX4,5.599495740013192,2.1726687293877407,9.1135169725519,4.408129129936669,NaN,NaN,3.8382045450820885,4.681057685415559,11.738005866316051,0.9664325159347108,3.8319242933486275
CASC15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.166502663140165,NaN,NaN,NaN
DCDC2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MRS2,4.65785483662488,5.817785263747174,NaN,NaN,NaN,NaN,5.231941896706954,NaN,NaN,NaN,5.568369187091086
GPLD1,4.293429462893376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ALDH5A1,5.622806156998021,3.6426206490665978,4.488884201458341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.771273644941502
KIAA0319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TDP2,6.015775657494271,5.805292983758574,4.366942706528799,NaN,NaN,NaN,6.1592601317939515,6.895088134107679,NaN,NaN,6.625082780678033
ACOT13,4.113897127096007,2.1781428701787604,NaN,NaN,NaN,NaN,5.98554831449781,3.8952649340629706,5.726997425074969,NaN,2.2060957962347967
RP1-30M3.5,NaN,3.430353369790815,NaN,NaN,NaN,NaN,NaN,3.0086357989366155,NaN,NaN,NaN
C6orf62,5.0963613948291675,7.24081054833913,6.719952976685066,7.091963666603075,NaN,NaN,5.271735088134234,7.510556993706687,7.126630897272264,4.146217330733162,7.0326098411692035
GMNN,2.3211204117946287,3.064193292758718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0941254193795196,2.711511497738458
C6orf229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAM65B,8.531799084083811,5.994698947176502,5.429201434433086,NaN,NaN,NaN,NaN,4.374572611740618,7.126630897272264,5.4781442133617695,5.209623784389661
RP11-367G6.3,3.49915716462059,4.655166932244437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.904310500519347
LRRC16A,3.196012545412639,2.193898706146722,5.429201434433086,NaN,NaN,NaN,7.413196722276736,1.9188512900057564,NaN,NaN,3.1797760976958735
TRIM38,8.589404038842021,7.2317725323704725,4.488884201458341,7.970111546494581,NaN,NaN,5.441643571339965,7.429999059887649,7.940607694894714,4.750246173174314,7.210877685478598
U91328.20,NaN,2.6755810795360175,NaN,NaN,NaN,NaN,NaN,1.1754488219163417,NaN,NaN,NaN
U91328.19,NaN,2.6649284133933264,NaN,4.456088442728701,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H1A,NaN,NaN,NaN,NaN,NaN,NaN,7.038956170126703,NaN,NaN,NaN,NaN
HIST1H3A,NaN,NaN,NaN,NaN,NaN,NaN,4.455075491982582,NaN,NaN,NaN,2.771273644941502
HIST1H4A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H4B,2.837325900515159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H3B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2AB,NaN,NaN,NaN,NaN,NaN,NaN,4.507927374248317,NaN,5.726997425074969,NaN,NaN
HIST1H2BB,NaN,NaN,NaN,NaN,NaN,NaN,5.758633268892551,NaN,NaN,NaN,NaN
HIST1H3C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H1C,4.043645618717156,5.912222223783981,NaN,5.77470054033081,NaN,NaN,8.658912959512366,3.490383218936929,7.726997425074971,3.90790373981328,5.779439956334667
HFE,NaN,NaN,NaN,NaN,NaN,NaN,4.555816385892864,2.182229765365362,NaN,NaN,NaN
HIST1H4C,5.729726281413591,6.0944899978956695,7.743931593102771,4.035520039427065,NaN,NaN,9.764674092784979,3.3022055683339753,NaN,NaN,6.632941246644705
HIST1H2BC,2.837325900515159,3.3856388002387057,NaN,4.456088442728701,NaN,NaN,NaN,2.0852456808370983,NaN,NaN,NaN
HIST1H2AC,4.438942424558161,3.9615814280339334,NaN,4.408129129936669,NaN,NaN,4.760330418664702,6.368242757876888,7.126630897272264,NaN,4.165284248641881
HIST1H1E,4.90575531761716,6.317827256506303,5.663318997329682,4.035520039427065,NaN,NaN,8.2140775191478,4.766229715656712,5.726997425074969,3.826389124405419,4.898957894688434
HIST1H2BD,NaN,NaN,NaN,4.035520039427065,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H4D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H3D,2.4272306015907907,NaN,NaN,NaN,NaN,NaN,NaN,3.0086357989366155,NaN,NaN,4.2686823625682155
HIST1H2AD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BF,NaN,NaN,NaN,5.626361810315451,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H4E,NaN,NaN,NaN,NaN,NaN,NaN,5.758633268892551,1.6884643341647352,5.726997425074969,NaN,NaN
HIST1H2BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.726997425074969,NaN,NaN
HIST1H2AE,NaN,NaN,NaN,5.626361810315451,NaN,NaN,5.758633268892551,NaN,5.726997425074969,NaN,NaN
HIST1H3E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H1D,4.018351895190718,5.228399954276581,NaN,NaN,NaN,NaN,6.523036827040064,2.487556662247448,7.726997425074971,0.9664325159347108,5.046930293448192
HIST1H4F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H3F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H3G,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H4H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BTN3A2,5.563186434177605,7.103404997562268,6.429201434433088,NaN,NaN,NaN,NaN,4.374901778521665,NaN,NaN,5.600943708043789
BTN2A2,4.315941791382718,4.132810908992058,NaN,5.432308065261825,NaN,NaN,NaN,3.9833669266151692,7.5902799519119535,0.9664325159347108,4.329686760777948
BTN3A1,4.552328364243568,5.374332056295947,5.9618223185096655,4.035520039427065,NaN,NaN,3.100310815086675,4.696274074458201,NaN,NaN,5.698726652627166
BTN3A3,4.981837623579322,5.380896013636853,NaN,4.456088442728701,NaN,NaN,1.799148802812601,4.051051718604588,NaN,2.2895450895757077,4.949842822664383
BTN2A1,6.060493131026782,6.582663770342257,5.663318997329682,4.035520039427065,NaN,NaN,NaN,5.035942325199952,NaN,0.9664325159347108,2.897650930711056
HCG11,NaN,4.814034298843461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.078473835755142
HMGN4,4.205864937694109,5.153009081373939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.188402921583382
ABT1,3.1093712065329195,4.760337640839125,7.062225013953552,4.035520039427065,NaN,NaN,6.758652870226848,6.26998818716678,NaN,6.643968973769303,5.2425897940209
ZNF322,4.499306171709295,3.5703224003886387,6.156092635306795,NaN,NaN,NaN,2.7860763258915715,2.5300098617789275,NaN,NaN,3.7243064625793862
RP11-457M11.5,4.095795010672225,3.7091981496278925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LINC00240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP1-86C11.7,2.3211204117946287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BJ,NaN,2.7197563041339836,NaN,NaN,NaN,NaN,6.596297653553157,NaN,NaN,NaN,NaN
HIST1H2AG,2.9269311232612716,3.3856388002387057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2BK,4.069154671718098,4.575146295091587,NaN,4.035520039427065,10.868173488035662,NaN,4.651296791258683,6.928748918541721,NaN,0.9664325159347108,NaN
HIST1H4I,NaN,2.11303631986121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2AH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRSS16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZNF184,NaN,NaN,NaN,NaN,NaN,NaN,3.121003210239777,NaN,NaN,1.9042780777266748,4.129860210407708
HIST1H2BL,NaN,NaN,NaN,4.035520039427065,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2AI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H3H,NaN,NaN,NaN,NaN,NaN,NaN,4.7160929524450514,NaN,5.726997425074969,NaN,NaN
HIST1H2AJ,NaN,NaN,NaN,NaN,NaN,NaN,4.110694110900809,NaN,NaN,NaN,NaN
HIST1H2BM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H4J,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H4K,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2AK,NaN,NaN,NaN,NaN,NaN,NaN,4.546110568136204,NaN,NaN,NaN,NaN
HIST1H2BN,2.4272306015907907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2AL,NaN,NaN,NaN,NaN,NaN,NaN,6.057018267942248,NaN,NaN,NaN,NaN
HIST1H1B,NaN,NaN,NaN,NaN,NaN,NaN,8.156423045900654,NaN,NaN,NaN,NaN
HIST1H3I,NaN,NaN,NaN,NaN,NaN,NaN,5.870126698764946,NaN,NaN,NaN,NaN
HIST1H4L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HIST1H2AM,NaN,NaN,NaN,NaN,NaN,NaN,3.121003210239777,2.5300098617789275,NaN,NaN,3.7175968757237148
HIST1H2BO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OR2B6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP1-313I6.12,4.403162132390087,2.5281570363431385,NaN,4.035520039427065,NaN,NaN,1.3491104739863211,3.755905458523535,NaN,2.2064952687670143,NaN
ZNF165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZSCAN16-AS1,3.8861095483727133,5.066137495873014,NaN,6.613637985182343,NaN,NaN,1.3491104739863211,3.349124371736451,5.726997425074969,4.25864245897747,4.276087878595342
ZSCAN16,2.3211204117946287,4.114966017642425,NaN,NaN,NaN,NaN,2.121003210239777,NaN,7.126630897272264,NaN,NaN
ZKSCAN8,NaN,5.085356488718915,5.663318997329682,NaN,NaN,NaN,NaN,2.5300098617789275,NaN,5.9425289323617845,6.248573655218429
ZSCAN9,NaN,3.6510877590058053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9664325159347108,NaN
ZKSCAN4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NKAPL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PGBD1,3.074997144451272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8319242933486275
ZSCAN31,3.1093712065329195,NaN,NaN,NaN,NaN,NaN,6.252224675350837,NaN,NaN,NaN,NaN
ZKSCAN3,2.837325900515159,3.7609343834199,4.488884201458341,NaN,NaN,NaN,1.799148802812601,1.0579832751281777,NaN,NaN,NaN
ZSCAN12,3.387992940071727,3.7240578767822714,4.488884201458341,NaN,NaN,NaN,2.121003210239777,NaN,NaN,NaN,2.9369389075624266
HCG14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TRIM27,5.437167136294883,6.143510586249083,5.3669427065288025,5.233820654252601,NaN,8.671825305633394,-0.10067226176975268,NaN,6.726997425074977,3.3663564647583533,5.624788098729808
HCG15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.301941583108804
UBD,NaN,NaN,NaN,NaN,NaN,NaN,2.349110473986324,NaN,NaN,NaN,NaN
GABBR1,NaN,NaN,5.663318997329682,4.035520039427065,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MOG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HLA-F,7.3932957190148425,7.525510192976362,6.97785330114854,4.408129129936669,NaN,NaN,7.064151969215652,5.457380867913879,NaN,5.705462389400921,7.008856047798433
HLA-G,NaN,2.7815039902427054,4.366942706528799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HLA-A,10.368445354883725,10.850753791106351,10.092487366301855,9.40205888840951,NaN,NaN,9.68537968434107,10.358236327751511,8.776051502872265,9.155781313472069,10.45092802009655
ZNRD1-AS1,3.644282723667383,4.732384226221489,NaN,NaN,NaN,NaN,1.799148802812601,NaN,NaN,NaN,5.4285836322922965
ZNRD1,3.0685035158303147,6.20337660928866,4.366942706528799,4.035520039427065,NaN,NaN,6.370116404403435,5.945707527697269,5.726997425074969,3.248617699818993,6.538482355441019
PPP1R11,5.10018777203398,5.322528398478227,5.429201434433086,4.035520039427065,NaN,NaN,NaN,4.740740756354726,NaN,NaN,4.2755301777815875
RNF39,NaN,NaN,NaN,NaN,NaN,NaN,2.141676924552575,5.95026887437192,NaN,6.779125267459977,NaN
TRIM31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TRIM31-AS1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TRIM40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TRIM26,3.8597725319202096,3.7086638432395236,4.488884201458341,4.035520039427065,NaN,NaN,5.080430245302649,4.263431369019744,NaN,2.031691268725242,4.797940876918131
HCG17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HCG18,5.25128314293919,7.525554501226789,4.488884201458341,6.247512474177253,NaN,NaN,4.017179762838088,5.426316416950879,7.126630897272264,1.9042780777266748,6.547600701601422
TRIM39,1.8892893221366074,4.60585400558803,NaN,NaN,NaN,NaN,NaN,1.296619295854298,NaN,NaN,2.1786326443262816
RPP21,3.121302004328581,4.586450997296782,4.366942706528799,NaN,NaN,NaN,5.267306110255522,NaN,NaN,NaN,3.7388793163807947
HLA-E,9.916216182930718,10.361150416688771,9.068885931678485,7.305360730267178,NaN,9.916153516937486,8.661632871216908,9.252112456908852,6.726997425074977,7.43953165503545,9.962637849241185
XXbac-BPG249D20.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GNL1,5.800135684073872,5.141470879993911,5.488884201458341,4.408129129936669,NaN,NaN,2.9805545582772157,1.8865181883764353,6.726997425074977,2.7549650614260583,5.090479229072365
PRR3,1.4835410151091604,4.031190310561224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8372536539394355
ABCF1,6.435647947758977,6.652198250794847,5.9618223185096655,6.0252409911453135,NaN,NaN,3.267913996335478,6.232811727860823,6.726997425074977,6.119614388078475,6.520452202266785
PPP1R10,6.464405138005098,7.908769538571967,6.405691908326567,6.673021602555387,NaN,NaN,6.981896524736311,7.43223458400515,7.5902799519119535,5.24952176445018,8.346286296219382
MRPS18B,5.083968263468897,5.126710763797478,6.073846702179497,4.035520039427065,NaN,NaN,6.191266384227946,3.7632205625152344,NaN,5.434498270571105,4.833362364419202
ATAT1,3.387992940071727,NaN,NaN,NaN,NaN,NaN,NaN,1.0579832751281777,NaN,NaN,NaN
C6orf136,NaN,3.6054943495728478,NaN,NaN,NaN,NaN,4.540593563168638,NaN,NaN,3.745950928715545,4.565920276873858
DHX16,4.203300993501633,3.7815039902426992,NaN,NaN,NaN,NaN,4.1795057957750075,3.3507028914359647,NaN,NaN,NaN
PPP1R18,7.683869397694089,6.895039449818333,5.3669427065288025,6.4400668417377265,10.868173488035662,8.671825305633394,NaN,7.1314698994584145,5.726997425074969,6.0614323807332715,7.0763679881146615
NRM,3.6114766632511826,NaN,4.488884201458341,NaN,NaN,NaN,NaN,1.0579832751281777,NaN,NaN,NaN
MDC1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2839545566353814,NaN,0.9664325159347108,3.0316216594624485
TUBB,7.135336327049204,6.807217401274208,8.198665529035505,5.626361810315451,NaN,NaN,8.560240501288257,7.141971410512513,NaN,6.75784694614269,7.292456443666127
XXbac-BPG252P9.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FLOT1,2.221986600214439,5.819184984785057,7.551004028276353,6.455249119076575,NaN,NaN,5.693581858452369,7.554663442182047,NaN,5.654864716418238,5.412587416467292
XXbac-BPG252P9.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0423973691573734
IER3,2.4272306015907907,2.5281570363431385,4.366942706528799,8.551792202427649,NaN,NaN,5.565576128937839,10.299875824610945,5.726997425074969,7.991642496417771,2.1786326443262816
HCG20,NaN,NaN,5.9618223185096655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDR1-AS1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DDR1,NaN,2.799470536772153,NaN,NaN,NaN,NaN,6.036345746047091,NaN,NaN,NaN,NaN
GTF2H4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VARS2,NaN,NaN,NaN,NaN,NaN,NaN,4.792452769258354,NaN,NaN,NaN,2.897650930711056
SFTA2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DPCR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HCG21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MUC21,NaN,NaN,NaN,NaN,NaN,NaN,5.621369337759579,NaN,NaN,NaN,NaN
MUC22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HCG22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PSORS1C1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PSORS1C2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CCHCR1,NaN,NaN,NaN,NaN,NaN,NaN,6.394253484306438,1.9188512900057564,NaN,NaN,NaN
TCF19,NaN,3.7191378445511405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
POU5F1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
XXbac-BPG299F13.17,4.946570678065492,3.665621221143646,NaN,NaN,NaN,NaN,NaN,2.1665026631401663,NaN,NaN,5.599243910640185
HCG27,NaN,2.5391840584921623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HLA-C,10.492961022135598,11.148765706722862,10.746781045982486,8.757344679709282,NaN,11.096500778197194,9.194051440967177,10.176472843845918,7.726997425074971,9.38685393272515,10.684879520501433
HLA-B,10.928398799189782,11.3535886455327,9.96757481444771,10.110387116160004,NaN,9.671825305633394,9.794977367463304,11.11828093919363,9.088301309113723,10.21737990397188,10.995682237393284
XXbac-BPG181B23.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MICA,NaN,3.3856388002387057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.458822208711306
MICB,3.8287480138074996,4.822142621894559,4.366942706528799,NaN,NaN,NaN,NaN,1.0579832751281777,NaN,NaN,NaN
DDX39B,7.129468512576818,7.058957837497312,6.0343337733695,6.532595199101098,NaN,NaN,3.918502817351048,6.4295242429038035,NaN,0.9664325159347108,7.620549777862919
ATP6V1G2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NFKBIL1,2.221986600214439,4.280567661925211,5.663318997329682,NaN,NaN,NaN,4.3427955708368104,2.296619295854295,NaN,6.313595805904042,NaN
LTA,6.500682028816915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.897991247757652
TNF,7.727170547357283,8.39538863693262,NaN,NaN,NaN,NaN,NaN,2.641024420040411,NaN,7.941504825515587,9.391599649167947
LTB,9.29543194815065,7.352149553445293,NaN,5.035520039427065,NaN,NaN,NaN,1.9188512900057564,8.72699742507497,9.41883398462294,9.860467720389618
LST1,3.593880552624175,3.4774620935212623,5.488884201458341,9.06317526652618,11.868173488035666,NaN,NaN,9.283006846176507,NaN,9.645263679252539,6.401744262770262
NCR3,5.334434040971364,4.853309217921219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.787036348621031
AIF1,NaN,2.604366817872874,NaN,9.428018304758012,10.868173488035662,8.671825305633394,NaN,10.616737396134091,NaN,10.077393692887673,3.957841311586382
PRRC2A,6.2380257391692435,5.507455845720715,6.837950686812624,6.626361810315453,NaN,NaN,6.3110251109232625,4.6904251521635025,NaN,2.715790029976403,5.535504054374383
BAG6,5.095905519873472,4.861855986069583,NaN,4.035520039427065,NaN,NaN,5.492531551357846,4.560370529723548,NaN,2.543887772619839,4.113912102776015
APOM,4.230264307427179,2.5281570363431385,NaN,5.035520039427065,NaN,NaN,NaN,1.296619295854298,NaN,NaN,NaN
C6orf47,4.924346502498469,5.016203221911877,4.488884201458341,NaN,NaN,NaN,3.2357282113796826,2.487556662247448,NaN,NaN,5.133698354781742
C6orf47-AS1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GPANK1,4.368098194753092,5.798377119388374,4.366942706528799,NaN,NaN,NaN,2.4012376757942535,3.6282303121764508,NaN,NaN,6.332303889528299
CSNK2B,6.808295746818261,6.559822021680492,7.614490222895562,7.6583559131086085,NaN,NaN,7.8019114389303335,6.052384090942121,6.726997425074977,7.279229883289334,6.667765615164548
LY6G5B,1.4835410151091604,3.3856388002387057,NaN,NaN,NaN,NaN,NaN,NaN,5.726997425074969,NaN,3.301941583108804
LY6G5C,3.1093712065329195,4.386545562019897,NaN,NaN,NaN,NaN,NaN,1.0579832751281777,NaN,NaN,2.897650930711056
ABHD16A,1.4835410151091604,2.831563344901454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C6orf25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LY6G6C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6884643341647352,NaN,NaN,NaN
DDAH2,4.513651812962857,4.281368997824557,6.374386923623364,5.035520039427065,NaN,NaN,5.863819312746662,5.3900354910282156,5.726997425074969,6.653640389753072,3.2060957962347967
CLIC1,8.69978507099435,8.784495696330815,10.214616712482917,9.038175210711469,NaN,8.671825305633394,9.202621551848422,8.664463980140422,7.3119599257961285,9.745129495998613,8.222652288271815
