,B.cell_control,CTL_control,MC_control,MoD.Ma_control,moDC_control,NKT_control,NKT.p_control,nrMa_control,pDC_control,rMa_control,Treg_control
RP4-758J18.2,4.602442630299783,4.575770623920645,NaN,NaN,NaN,8.671825305633394,NaN,NaN,NaN,NaN,3.607045009177361
MRPL20,5.977965448599902,6.165443261696718,6.429201434433088,7.299267898440078,NaN,NaN,7.921914923066309,6.9399989114895035,NaN,7.589774644130002,6.683854584302517
RP4-758J18.13,2.3211204117946287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1972691044678423
ANKRD65,NaN,NaN,NaN,4.456088442728701,NaN,NaN,6.012728287835447,4.766229715656712,NaN,6.310241398374052,NaN
RP4-758J18.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VWA1,NaN,NaN,NaN,NaN,NaN,NaN,-0.10067226176975268,NaN,NaN,NaN,NaN
ATAD3C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.877473048773427,4.42667903800398
ATAD3B,1.8892893221366074,2.5391840584921623,NaN,6.142184165269,NaN,NaN,NaN,3.630247339824384,5.726997425074969,NaN,NaN
ATAD3A,4.245722015976844,2.799470536772153,NaN,NaN,NaN,NaN,4.282046554962655,6.08955596775699,NaN,3.151404112347258,4.645916084521849
SSU72,6.179363659387034,7.094633093938366,NaN,4.035520039427065,NaN,NaN,5.794951662191588,5.698184399724273,NaN,7.680704203763732,6.76468494954715
AL645728.1,2.6815848128814967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C1orf233,NaN,NaN,5.663318997329682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP11-345P4.9,NaN,4.7689050293171515,NaN,NaN,NaN,NaN,NaN,1.1754488219163417,NaN,3.5910925325651575,3.051997284787554
MIB2,3.800017356734618,4.319259341086856,NaN,NaN,NaN,NaN,2.969032867241683,2.5300098617789275,NaN,NaN,5.805674003982151
MMP23B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.126630897272264,NaN,NaN
CDK11B,4.824667217668979,5.3305026486780065,NaN,6.156769346390537,NaN,NaN,3.267913996335478,2.092572831464838,NaN,3.942105084961245,5.591428891458944
RP11-345P4.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SLC35E2B,5.090721153962875,4.27020505487394,NaN,5.4081291299366665,NaN,NaN,5.606244458249773,4.655018222566373,8.711593397993424,NaN,5.161683345787669
RP11-345P4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDK11A,6.559497460205705,7.041957169206818,5.3669427065288025,NaN,NaN,NaN,2.121003210239777,4.511917234592124,8.126630897272264,3.926166846039273,7.681182273737812
SLC35E2,2.6815848128814967,NaN,NaN,NaN,NaN,NaN,NaN,2.1665026631401663,NaN,NaN,2.2060957962347967
NADK,4.680896195331543,3.6362479921813433,NaN,NaN,NaN,NaN,2.4012376757942535,5.865613888200982,NaN,NaN,4.152536690883692
GNB1,7.258434190776264,6.5918450494389145,7.80109119855482,5.914013734649759,NaN,NaN,3.8865899716712202,7.931860792456076,5.726997425074969,6.756209921474736,7.329658450324932
RP1-140A9.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TMEM52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C1orf222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRKCZ,NaN,3.3856388002387057,NaN,NaN,NaN,NaN,1.3491104739863211,NaN,NaN,0.9664325159347108,4.087553850489828
RP5-892K4.1,4.2343294769637385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP11-181G12.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1280932842335245
C1orf86,5.029696898297251,5.079698557618725,6.156092635306795,7.487072690497619,NaN,NaN,6.854553850232371,5.430954861138604,NaN,7.123305639164686,6.228976811570716
AL590822.2,2.837325900515159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AL590822.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SKI,4.920001537559953,6.453373767980157,5.3669427065288025,5.9930916306578235,NaN,NaN,2.349110473986324,4.841467756390534,NaN,NaN,6.997743721873503
MORN1,2.221986600214439,3.0978878206694325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RER1,5.301403419932404,7.353183079223436,7.704555834176416,NaN,NaN,NaN,6.831029108507387,5.89850713149728,5.726997425074969,6.539001679167197,7.160173240684993
PEX10,3.789685127071115,3.421555614411759,NaN,NaN,NaN,NaN,NaN,1.296619295854298,NaN,2.2895450895757077,2.1786326443262816
PLCH2,4.1093712065329235,3.172668729387739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PANK4,NaN,4.052392970178801,NaN,NaN,NaN,NaN,NaN,1.0046442892385439,NaN,NaN,3.417501802285859
HES5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP3-395M20.12,5.200107540274708,3.8123634960505743,NaN,NaN,NaN,NaN,NaN,5.688960970530974,NaN,6.509872301650533,3.856792274482641
TNFRSF14,5.6587232487632155,5.933705510262157,7.450463305199747,NaN,NaN,NaN,4.695428903540171,5.018286816780558,NaN,3.756300575756564,6.879584665148196
RP3-395M20.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FAM213B,3.825083467946256,2.799470536772153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MMEL1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TTC34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARHGEF16,NaN,NaN,NaN,NaN,NaN,NaN,5.694766690159008,NaN,NaN,NaN,NaN
RP11-168F9.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MEGF6,NaN,2.504714170629035,NaN,NaN,NaN,NaN,2.121003210239777,NaN,NaN,NaN,NaN
RP11-46F15.2,NaN,2.11303631986121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TPRG1L,3.600673972679178,3.8143711536337594,5.429201434433086,4.456088442728701,NaN,NaN,3.0853242347619583,3.623091646838234,NaN,3.2592422436473583,4.5494934400073985
WRAP73,4.308302161554727,5.151049291211211,4.488884201458341,NaN,NaN,NaN,3.507646252742286,NaN,NaN,2.2064952687670143,5.85171144577235
TP73,1.4835410151091604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2640966203267894
TP73-AS1,3.7243164774852273,3.1476495238512396,NaN,NaN,NaN,NaN,NaN,2.454640673868476,NaN,NaN,3.20168920077014
