ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
HSP90AA1	TGFBR2	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
HSP90B1	ASGR1	imm_enterocyte_2	downreg	10	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,DC1,DC2,ILC,cycling_Bcell,macrophage,mast_cell1,plasma
HSP90B1	LRP1	imm_enterocyte_2	downreg	12	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,ILC,Treg,cycling_Bcell,macrophage,plasma
HSP90B1	TLR1	imm_enterocyte_2	downreg	17	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,plasma
HSP90B1	TLR2	imm_enterocyte_2	downreg	9	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,DC1,DC2,cycling_Bcell,macrophage,mast_cell1,plasma
HSP90B1	TLR4	imm_enterocyte_2	downreg	5	CD4_activ_fos_hi,DC2,cycling_Bcell,macrophage,plasma
HSP90B1	TLR7	imm_enterocyte_2	downreg	13	CD4_MThi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC1,DC2,GC_Bcell,NK,Treg,cycling_Bcell,macrophage,plasma
ICAM1	CAV1	imm_enterocyte_2	upreg	15	CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD8_IEL,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,macrophage,mast_cell1,plasma
ICAM1	CDH5	imm_enterocyte_2	upreg	4	CD4_activ_fos_hi,CD4_activ_fos_lo,macrophage,plasma
ICAM1	IL2RA	imm_enterocyte_2	upreg	13	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,ILC,NK,Treg,cycling_Tcell,macrophage,plasma
ICAM1	IL2RG	imm_enterocyte_2	upreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
ICAM1	ITGAL	imm_enterocyte_2	upreg	19	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
ICAM1	ITGAM	imm_enterocyte_2	upreg	9	CD4_activ_fos_hi,CD8_LP,DC2,ILC,NK,macrophage,mast_cell1,mast_cell2,plasma
ICAM1	ITGAX	imm_enterocyte_2	upreg	9	CD4_activ_fos_hi,CD8_IEL,DC1,DC2,NK,Treg,macrophage,mast_cell1,plasma
IL32	MET	imm_enterocyte_2	downreg	4	CD8_IEL,Treg,mast_cell2,plasma
IL32	PTGER1	imm_enterocyte_2	downreg	7	CD4_activ_fos_lo,CD8_IEL,CD8_LP,NK,macrophage,mast_cell1,plasma
LAMB3	AKT1	imm_enterocyte_2	downreg	19	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
LAMB3	CD151	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMB3	COL17A1	imm_enterocyte_2	downreg	5	CD4_MThi,CD4_activ_fos_hi,CD8_IEL,cycling_Tcell,plasma
LAMB3	ITGA1	imm_enterocyte_2	downreg	14	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,NK,Treg,cycling_Tcell,macrophage,plasma
LAMB3	ITGA10	imm_enterocyte_2	downreg	12	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,ILC,cycling_Bcell,macrophage,plasma
LAMB3	ITGA11	imm_enterocyte_2	downreg	2	macrophage,plasma
LAMB3	ITGA2	imm_enterocyte_2	downreg	8	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD8_IEL,CD8_LP,cycling_Tcell,macrophage,plasma
LAMB3	ITGA3	imm_enterocyte_2	downreg	13	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,NK,Treg,mast_cell1,mast_cell2,plasma
LAMB3	ITGA4	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMB3	ITGA5	imm_enterocyte_2	downreg	16	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell2,plasma
LAMB3	ITGA6	imm_enterocyte_2	downreg	16	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,GC_Bcell,NK,Treg,cycling_Bcell,macrophage,mast_cell1,mast_cell2,plasma
LAMB3	ITGA7	imm_enterocyte_2	downreg	4	CD4_activ_fos_lo,CD8_IEL,macrophage,plasma
LAMB3	ITGA8	imm_enterocyte_2	downreg	10	CD4_MThi,CD4_activ_fos_lo,CD4_memory,CD8_LP,GC_Bcell,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
LAMB3	ITGA9	imm_enterocyte_2	downreg	7	CD4_memory,DC1,NK,macrophage,mast_cell1,mast_cell2,plasma
LAMB3	ITGAV	imm_enterocyte_2	downreg	13	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,GC_Bcell,NK,Treg,cycling_Bcell,macrophage,mast_cell1,plasma
