gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
CYB5A	0.00000	0.63286	0.93000	0.78600	0.00000	ciliated_sars_vs_healthy
PSMB8	0.00000	0.63385	0.92200	0.81700	0.00000	ciliated_sars_vs_healthy
DEFB4A	0.00000	0.63518	0.37200	0.06600	0.00000	ciliated_sars_vs_healthy
POLR2L	0.00000	0.63559	0.92700	0.87000	0.00000	ciliated_sars_vs_healthy
CSTB	0.00000	0.63828	0.97000	0.95600	0.00000	ciliated_sars_vs_healthy
HPGD	0.00000	0.63965	0.79500	0.44600	0.00000	ciliated_sars_vs_healthy
JTB	0.00000	0.64026	0.92100	0.77500	0.00000	ciliated_sars_vs_healthy
TSPAN13	0.00000	0.64272	0.93300	0.75100	0.00000	ciliated_sars_vs_healthy
BCAT1	0.00000	0.64722	0.47100	0.07500	0.00000	ciliated_sars_vs_healthy
SAT1	0.00000	0.64741	0.99900	0.98000	0.00000	ciliated_sars_vs_healthy
RND3	0.00000	0.64784	0.90100	0.60800	0.00000	ciliated_sars_vs_healthy
TMEM160	0.00000	0.65196	0.90000	0.70000	0.00000	ciliated_sars_vs_healthy
TCEB2	0.00000	0.65545	0.93500	0.90700	0.00000	ciliated_sars_vs_healthy
GSTK1	0.00000	0.65731	0.95500	0.89600	0.00000	ciliated_sars_vs_healthy
PGD	0.00000	0.65813	0.89400	0.65200	0.00000	ciliated_sars_vs_healthy
KRT7	0.00000	0.65836	0.97400	0.91700	0.00000	ciliated_sars_vs_healthy
EFHD2	0.00000	0.65886	0.93400	0.79700	0.00000	ciliated_sars_vs_healthy
RPL41	0.00000	0.66581	0.98000	0.99200	0.00000	ciliated_sars_vs_healthy
PLA2G10	0.00000	0.67071	0.83200	0.41000	0.00000	ciliated_sars_vs_healthy
NDUFA13	0.00000	0.67138	0.91900	0.76300	0.00000	ciliated_sars_vs_healthy
SCGB2A1	0.00000	0.67446	0.72900	0.30300	0.00000	ciliated_sars_vs_healthy
SLC9A3R2	0.00000	0.67599	0.87100	0.54400	0.00000	ciliated_sars_vs_healthy
CRYM	0.00000	0.68168	0.79400	0.36800	0.00000	ciliated_sars_vs_healthy
MX1	0.00000	0.68286	0.91200	0.62700	0.00000	ciliated_sars_vs_healthy
UQCR10	0.00000	0.68476	0.93300	0.83400	0.00000	ciliated_sars_vs_healthy
LAMTOR5	0.00000	0.68551	0.94000	0.83400	0.00000	ciliated_sars_vs_healthy
GLRX	0.00000	0.68962	0.84300	0.57600	0.00000	ciliated_sars_vs_healthy
SMIM14	0.00000	0.69093	0.92700	0.73700	0.00000	ciliated_sars_vs_healthy
S100A16	0.00000	0.69255	0.94100	0.84200	0.00000	ciliated_sars_vs_healthy
STARD10	0.00000	0.69535	0.94100	0.72000	0.00000	ciliated_sars_vs_healthy
ANXA1	0.00000	0.69597	0.97500	0.97500	0.00000	ciliated_sars_vs_healthy
DUOXA2	0.00000	0.69990	0.64800	0.30300	0.00000	ciliated_sars_vs_healthy
NDUFB1	0.00000	0.70409	0.93100	0.78700	0.00000	ciliated_sars_vs_healthy
HLA-DRB5	0.00000	0.70590	0.78900	0.37600	0.00000	ciliated_sars_vs_healthy
MUC1	0.00000	0.71030	0.98100	0.92500	0.00000	ciliated_sars_vs_healthy
CLDN7	0.00000	0.71224	0.97900	0.94400	0.00000	ciliated_sars_vs_healthy
UQCR11.1	0.00000	0.71348	0.90400	0.81300	0.00000	ciliated_sars_vs_healthy
DEFB1	0.00000	0.71929	0.72600	0.27200	0.00000	ciliated_sars_vs_healthy
COX6A1	0.00000	0.71941	0.95600	0.89700	0.00000	ciliated_sars_vs_healthy
IDO1	0.00000	0.72260	0.79300	0.38900	0.00000	ciliated_sars_vs_healthy
IL8	0.00000	0.72453	0.20300	0.08000	0.00000	ciliated_sars_vs_healthy
SEC61B	0.00000	0.72632	0.93600	0.84500	0.00000	ciliated_sars_vs_healthy
