gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
TP63	0.00000	-0.59139	0.04400	0.27300	0.00000	ciliated_sars_vs_healthy
PNISR	0.00000	-0.58970	0.90200	0.85500	0.00000	ciliated_sars_vs_healthy
RPL7	0.00000	-0.57150	0.94100	0.93800	0.00001	ciliated_sars_vs_healthy
PNN	0.00000	-0.56948	0.83600	0.83000	0.00000	ciliated_sars_vs_healthy
MT-ND4L	0.00000	-0.56881	0.71900	0.93400	0.00000	ciliated_sars_vs_healthy
SYNE2	0.00000	-0.55959	0.90400	0.88200	0.00000	ciliated_sars_vs_healthy
SEMA4B	0.00000	-0.55750	0.43900	0.55600	0.00000	ciliated_sars_vs_healthy
ANKRD12	0.00000	-0.55273	0.89100	0.84500	0.00000	ciliated_sars_vs_healthy
PTPN13	0.00000	-0.55249	0.81900	0.82700	0.00000	ciliated_sars_vs_healthy
FUS	0.00000	-0.54953	0.90900	0.86600	0.00000	ciliated_sars_vs_healthy
RHOB	0.00000	-0.54949	0.48700	0.47900	0.00000	ciliated_sars_vs_healthy
RASSF6	0.00000	-0.54576	0.39200	0.46300	0.00000	ciliated_sars_vs_healthy
FLNA	0.00000	-0.54511	0.01300	0.22700	0.00000	ciliated_sars_vs_healthy
YBX3	0.00000	-0.54334	0.89500	0.87700	0.00000	ciliated_sars_vs_healthy
GLTSCR2	0.00000	-0.53932	0.81800	0.77900	0.00000	ciliated_sars_vs_healthy
ANK3	0.00000	-0.53750	0.80200	0.80100	0.00000	ciliated_sars_vs_healthy
PVRL1	0.00000	-0.52882	0.47700	0.48700	0.00000	ciliated_sars_vs_healthy
CD9	0.00000	-0.52819	0.96700	0.97700	0.00000	ciliated_sars_vs_healthy
HIF1A	0.00000	-0.52814	0.66000	0.64100	0.00000	ciliated_sars_vs_healthy
ITGA2	0.00000	-0.52785	0.61200	0.59200	0.00000	ciliated_sars_vs_healthy
TSHZ2	0.00000	-0.52506	0.87500	0.83000	0.00000	ciliated_sars_vs_healthy
RPS11	0.00000	-0.52385	0.92000	0.95500	0.00000	ciliated_sars_vs_healthy
ZFP36	0.00000	-0.52305	0.67900	0.65500	0.00000	ciliated_sars_vs_healthy
OGFRL1	0.00000	-0.52185	0.74200	0.73400	0.00000	ciliated_sars_vs_healthy
MT-ATP8	0.00000	-0.52137	0.75200	0.82100	0.00000	ciliated_sars_vs_healthy
PERP	0.00000	-0.52110	0.98600	0.98700	0.00000	ciliated_sars_vs_healthy
SEMA5A	0.00000	-0.51959	0.28900	0.34600	0.00000	ciliated_sars_vs_healthy
BHLHE40	0.00000	-0.51948	0.66200	0.69200	0.00000	ciliated_sars_vs_healthy
HNRNPU	0.00000	-0.51885	0.91500	0.91000	0.00000	ciliated_sars_vs_healthy
ALDH3A2	0.00000	-0.51807	0.83600	0.80100	0.00000	ciliated_sars_vs_healthy
PBX1	0.00000	-0.51742	0.75800	0.77000	0.00000	ciliated_sars_vs_healthy
TRIM29	0.00000	-0.51309	0.85200	0.83800	0.00000	ciliated_sars_vs_healthy
LUC7L3	0.00000	-0.50883	0.85200	0.82400	0.00000	ciliated_sars_vs_healthy
CALD1	0.00000	-0.50867	0.11200	0.21400	0.00000	ciliated_sars_vs_healthy
MKL2	0.00000	-0.50769	0.66600	0.69400	0.00000	ciliated_sars_vs_healthy
CLDN1	0.00000	-0.50734	0.72000	0.74600	0.00000	ciliated_sars_vs_healthy
SDC1	0.00000	-0.50681	0.90400	0.87200	0.00000	ciliated_sars_vs_healthy
DUSP1	0.00000	-0.50593	0.58200	0.59600	0.00005	ciliated_sars_vs_healthy
RPL23	0.00000	-0.50123	0.94600	0.95900	0.00000	ciliated_sars_vs_healthy
GTF2I	0.00000	-0.50097	0.90400	0.87300	0.00000	ciliated_sars_vs_healthy
TXNDC17	0.00000	0.50124	0.91600	0.74900	0.00000	ciliated_sars_vs_healthy
UCP2	0.00000	0.50296	0.72000	0.28900	0.00000	ciliated_sars_vs_healthy
RAB25	0.00000	0.50301	0.90600	0.72100	0.00000	ciliated_sars_vs_healthy
RPS27L	0.00000	0.50360	0.87600	0.65200	0.00000	ciliated_sars_vs_healthy
SLPI	0.00000	0.50459	0.98500	0.98500	0.00000	ciliated_sars_vs_healthy
FXYD3	0.00000	0.50532	0.97600	0.96500	0.00000	ciliated_sars_vs_healthy
PHLDA2	0.00000	0.50815	0.72100	0.35200	0.00000	ciliated_sars_vs_healthy
EIF1AY	0.00000	0.50857	0.67300	0.08200	0.00000	ciliated_sars_vs_healthy
KLK11	0.00000	0.50945	0.72600	0.36300	0.00000	ciliated_sars_vs_healthy
CLIC1	0.00000	0.51244	0.95500	0.92100	0.00000	ciliated_sars_vs_healthy
UQCRQ	0.00000	0.51277	0.93900	0.88200	0.00000	ciliated_sars_vs_healthy
PRDX4	0.00000	0.51296	0.82200	0.51100	0.00000	ciliated_sars_vs_healthy
ALDOA	0.00000	0.51361	0.96600	0.94400	0.00000	ciliated_sars_vs_healthy
MRPL52	0.00000	0.51373	0.88800	0.69200	0.00000	ciliated_sars_vs_healthy
MRPL14	0.00000	0.51961	0.90200	0.68200	0.00000	ciliated_sars_vs_healthy
ATP5J2	0.00000	0.52219	0.92000	0.81800	0.00000	ciliated_sars_vs_healthy
LSMD1	0.00000	0.52372	0.87800	0.68300	0.00000	ciliated_sars_vs_healthy
AKR1A1	0.00000	0.52428	0.94800	0.85400	0.00000	ciliated_sars_vs_healthy
HLA-A	0.00000	0.52596	0.98700	0.96900	0.00000	ciliated_sars_vs_healthy
SSR4	0.00000	0.52823	0.93500	0.87300	0.00000	ciliated_sars_vs_healthy
OST4	0.00000	0.52978	0.91500	0.82400	0.00000	ciliated_sars_vs_healthy
HLA-DMA	0.00000	0.53127	0.80300	0.46300	0.00000	ciliated_sars_vs_healthy
